paperId,url,title,abstract,year,referenceCount,citationCount,influentialCitationCount,isOpenAccess,fieldsOfStudy/0,fieldsOfStudy/1,authors/0/authorId,authors/0/name,authors/1/authorId,authors/1/name,authors/2/authorId,authors/2/name,authors/3/authorId,authors/3/name,authors/4/authorId,authors/4/name,authors/5/authorId,authors/5/name,authors/6/authorId,authors/6/name,authors/7/authorId,authors/7/name,authors/8/authorId,authors/8/name,authors/9/authorId,authors/9/name,authors/10/authorId,authors/10/name,authors/11/authorId,authors/11/name,authors/12/authorId,authors/12/name,authors/13/authorId,authors/13/name,authors/14/authorId,authors/14/name,authors/15/authorId,authors/15/name,authors/16/authorId,authors/16/name,authors/17/authorId,authors/17/name,authors/18/authorId,authors/18/name,authors/19/authorId,authors/19/name,fieldsOfStudy/2,authors/20/authorId,authors/20/name,authors/21/authorId,authors/21/name,authors/22/authorId,authors/22/name,authors/23/authorId,authors/23/name,authors/24/authorId,authors/24/name,authors/25/authorId,authors/25/name,authors/26/authorId,authors/26/name,authors/27/authorId,authors/27/name,authors/28/authorId,authors/28/name,authors/29/authorId,authors/29/name
37b0dcf6dbb57074e7e7f0f81ca684be0fe9533c,https://www.semanticscholar.org/paper/37b0dcf6dbb57074e7e7f0f81ca684be0fe9533c,Benchmarking Least Squares Support Vector Machine Classifiers,,2004,62,506,23,true,Mathematics,Computer Science,1738575,T. V. Gestel,1744439,J. Suykens,1720683,B. Baesens,1712216,S. Viaene,1790055,J. Vanthienen,1740627,G. Dedene,143750713,B. Moor,1704135,J. Vandewalle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b5be3165d56580b60e29ad1a4a08b124d6cb8264,https://www.semanticscholar.org/paper/b5be3165d56580b60e29ad1a4a08b124d6cb8264,Scaling up machine learning: parallel and distributed approaches,"This tutorial gives a broad view of modern approaches for scaling up machine learning and data mining methods on parallel/distributed platforms. Demand for scaling up machine learning is task-specific: for some tasks it is driven by the enormous dataset sizes, for others by model complexity or by the requirement for real-time prediction. Selecting a task-appropriate parallelization platform and algorithm requires understanding their benefits, trade-offs and constraints. This tutorial focuses on providing an integrated overview of state-of-the-art platforms and algorithm choices. These span a range of hardware options (from FPGAs and GPUs to multi-core systems and commodity clusters), programming frameworks (including CUDA, MPI, MapReduce, and DryadLINQ), and learning settings (e.g., semi-supervised and online learning). The tutorial is example-driven, covering a number of popular algorithms (e.g., boosted trees, spectral clustering, belief propagation) and diverse applications (e.g., recommender systems and object recognition in vision).
 The tutorial is based on (but not limited to) the material from our upcoming Cambridge U. Press edited book which is currently in production.
 Visit the tutorial website at http://hunch.net/~large_scale_survey/",2011,6,386,16,false,Computer Science,,1988453,R. Bekkerman,47695762,M. Bilenko,144162125,J. Langford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56703e0ccba03378962f5006f299cd98d48198f9,https://www.semanticscholar.org/paper/56703e0ccba03378962f5006f299cd98d48198f9,Smart Machining Process Using Machine Learning: A Review and Perspective on Machining Industry,,2018,124,144,2,false,Computer Science,,47182192,Dong-Hyeon Kim,46760092,T. J. Y. Kim,2108072972,Xinlin Wang,123446787,Min-Cheol Kim,13640537,Ying-Jun Quan,49321942,Jin Woo Oh,6464425,S. Min,2277348,Hyungjung Kim,80598184,B. Bhandari,2064802297,Insoon Yang,6578920,Sung-hoon Ahn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008abebf4a9404db9050c9d2fbca769f4faf3ca6,https://www.semanticscholar.org/paper/008abebf4a9404db9050c9d2fbca769f4faf3ca6,Learning by Transduction,"We describe a method for predicting a classification of an object given classifications of the objects in the training set, assuming that the pairs object/classification are generated by an i.i.d. process from a continuous probability distribution. Our method is a modification of Vapnik's support-vector machine; its main novelty is that it gives not only the prediction itself but also a practicable measure of the evidence found in support of that prediction. We also describe a procedure for assigning degrees of confidence to predictions made by the support vector machine. Some experimental results are presented, and possible extensions of the algorithms are discussed.",1998,10,421,18,false,Computer Science,Mathematics,1793317,A. Gammerman,145675281,V. Vovk,50560492,V. Vapnik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4a77a2ed53529431d816c42ec4554364e80ee18b,https://www.semanticscholar.org/paper/4a77a2ed53529431d816c42ec4554364e80ee18b,Machine learning of molecular electronic properties in chemical compound space,"The combination of modern scientific computing with electronic structure theory can lead to an unprecedented amount of data amenable to intelligent data analysis for the identification of meaningful, novel and predictive structure–property relationships. Such relationships enable high-throughput screening for relevant properties in an exponentially growing pool of virtual compounds that are synthetically accessible. Here, we present a machine learning model, trained on a database of ab initio calculation results for thousands of organic molecules, that simultaneously predicts multiple electronic ground- and excited-state properties. The properties include atomization energy, polarizability, frontier orbital eigenvalues, ionization potential, electron affinity and excitation energies. The machine learning model is based on a deep multi-task artificial neural network, exploiting the underlying correlations between various molecular properties. The input is identical to ab initio methods, i.e. nuclear charges and Cartesian coordinates of all atoms. For small organic molecules, the accuracy of such a ‘quantum machine’ is similar, and sometimes superior, to modern quantum-chemical methods—at negligible computational cost.",2013,74,478,13,false,Physics,,144535526,G. Montavon,48041657,M. Rupp,49302932,Vivekanand V Gobre,1397645825,Á. Vázquez-Mayagoitia,39960184,K. Hansen,2462983,A. Tkatchenko,2113612432,Klaus-Robert Müller,12643877,O. Anatole von Lilienfeld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daf468f001c3a5c6f9e667417becb94fa83efb2f,https://www.semanticscholar.org/paper/daf468f001c3a5c6f9e667417becb94fa83efb2f,Exploiting machine learning for end-to-end drug discovery and development,,2019,112,231,4,true,Medicine,Computer Science,1887610,S. Ekins,39778181,A. C. Puhl,67164018,Kimberley M. Zorn,50556284,T. Lane,8903363,Daniel P. Russo,143722544,Jennifer J Klein,2053197,A. Hickey,143961624,A. Clark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46d0aa6b357c5427f46c7f8ff7053617c4309649,https://www.semanticscholar.org/paper/46d0aa6b357c5427f46c7f8ff7053617c4309649,Linguistic Input Features Improve Neural Machine Translation,"Neural machine translation has recently achieved impressive results, while using little in the way of external linguistic information. In this paper we show that the strong learning capability of neural MT models does not make linguistic features redundant; they can be easily incorporated to provide further improvements in performance. We generalize the embedding layer of the encoder in the attentional encoder--decoder architecture to support the inclusion of arbitrary features, in addition to the baseline word feature. We add morphological features, part-of-speech tags, and syntactic dependency labels as input features to English German, and English->Romanian neural machine translation systems. In experiments on WMT16 training and test sets, we find that linguistic input features improve model quality according to three metrics: perplexity, BLEU and CHRF3. An open-source implementation of our neural MT system is available, as are sample files and configurations.",2016,37,346,46,true,Computer Science,,2082372,Rico Sennrich,2259100,B. Haddow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7d89abfe87ed7d1b40391d37364560656d208117,https://www.semanticscholar.org/paper/7d89abfe87ed7d1b40391d37364560656d208117,Learning Memory Access Patterns,"The explosion in workload complexity and the recent slow-down in Moore's law scaling call for new approaches towards efficient computing. Researchers are now beginning to use recent advances in machine learning in software optimizations, augmenting or replacing traditional heuristics and data structures. However, the space of machine learning for computer hardware architecture is only lightly explored. In this paper, we demonstrate the potential of deep learning to address the von Neumann bottleneck of memory performance. We focus on the critical problem of learning memory access patterns, with the goal of constructing accurate and efficient memory prefetchers. We relate contemporary prefetching strategies to n-gram models in natural language processing, and show how recurrent neural networks can serve as a drop-in replacement. On a suite of challenging benchmark datasets, we find that neural networks consistently demonstrate superior performance in terms of precision and recall. This work represents the first step towards practical neural-network based prefetching, and opens a wide range of exciting directions for machine learning in computer architecture research.",2018,50,122,20,false,Computer Science,Mathematics,33798741,Milad Hashemi,1754860,Kevin Swersky,2119124568,Jamie A. Smith,46369381,Grant Ayers,2655459,Heiner Litz,1698747,Jichuan Chang,1700331,C. Kozyrakis,1770926,P. Ranganathan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86e5827087e11dc929d592ee7b3d7581fc48265e,https://www.semanticscholar.org/paper/86e5827087e11dc929d592ee7b3d7581fc48265e,Generating Adversarial Malware Examples for Black-Box Attacks Based on GAN,"Machine learning has been used to detect new malware in recent years, while malware authors have strong motivation to attack such algorithms. Malware authors usually have no access to the detailed structures and parameters of the machine learning models used by malware detection systems, and therefore they can only perform black-box attacks. This paper proposes a generative adversarial network (GAN) based algorithm named MalGAN to generate adversarial malware examples, which are able to bypass black-box machine learning based detection models. MalGAN uses a substitute detector to fit the black-box malware detection system. A generative network is trained to minimize the generated adversarial examples' malicious probabilities predicted by the substitute detector. The superiority of MalGAN over traditional gradient based adversarial example generation algorithms is that MalGAN is able to decrease the detection rate to nearly zero and make the retraining based defensive method against adversarial examples hard to work.",2017,32,383,45,false,Computer Science,,2146241447,Weiwei Hu,143692919,Ying Tan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0bf08d3dcc1f4a3b7b4f9a68f9c980c0a3f4ed2a,https://www.semanticscholar.org/paper/0bf08d3dcc1f4a3b7b4f9a68f9c980c0a3f4ed2a,A review of automatic selection methods for machine learning algorithms and hyper-parameter values,,2016,86,188,8,false,Computer Science,,144050855,Gang Luo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
