paperId,url,title,abstract,year,referenceCount,citationCount,influentialCitationCount,isOpenAccess,fieldsOfStudy/0,authors/0/authorId,authors/0/name,authors/1/authorId,authors/1/name,authors/2/authorId,authors/2/name,authors/3/authorId,authors/3/name,fieldsOfStudy/1,authors/4/authorId,authors/4/name,authors/5/authorId,authors/5/name,authors/6/authorId,authors/6/name,authors/7/authorId,authors/7/name,authors/8/authorId,authors/8/name,authors/9/authorId,authors/9/name,authors/10/authorId,authors/10/name,authors/11/authorId,authors/11/name,authors/12/authorId,authors/12/name,authors/13/authorId,authors/13/name,authors/14/authorId,authors/14/name,authors/15/authorId,authors/15/name,authors/16/authorId,authors/16/name,authors/17/authorId,authors/17/name,authors/18/authorId,authors/18/name,authors/19/authorId,authors/19/name,authors/20/authorId,authors/20/name,authors/21/authorId,authors/21/name,authors/22/authorId,authors/22/name,authors/23/authorId,authors/23/name,authors/24/authorId,authors/24/name,authors/25/authorId,authors/25/name,authors/26/authorId,authors/26/name,authors/27/authorId,authors/27/name,authors/28/authorId,authors/28/name,authors/29/authorId,authors/29/name,authors/30/authorId,authors/30/name,authors/31/authorId,authors/31/name,authors/32/authorId,authors/32/name,authors/33/authorId,authors/33/name,authors/34/authorId,authors/34/name,authors/35/authorId,authors/35/name,authors/36/authorId,authors/36/name,authors/37/authorId,authors/37/name,authors/38/authorId,authors/38/name,authors/39/authorId,authors/39/name,authors/40/authorId,authors/40/name,authors/41/authorId,authors/41/name,authors/42/authorId,authors/42/name,authors/43/authorId,authors/43/name,authors/44/authorId,authors/44/name,authors/45/authorId,authors/45/name,authors/46/authorId,authors/46/name,authors/47/authorId,authors/47/name,authors/48/authorId,authors/48/name,authors/49/authorId,authors/49/name,authors/50/authorId,authors/50/name,authors/51/authorId,authors/51/name,authors/52/authorId,authors/52/name,authors/53/authorId,authors/53/name,authors/54/authorId,authors/54/name,authors/55/authorId,authors/55/name,authors/56/authorId,authors/56/name,authors/57/authorId,authors/57/name,authors/58/authorId,authors/58/name,authors/59/authorId,authors/59/name,authors/60/authorId,authors/60/name,authors/61/authorId,authors/61/name,authors/62/authorId,authors/62/name,authors/63/authorId,authors/63/name,authors/64/authorId,authors/64/name,fieldsOfStudy/2
64ad89855f829d0587e0f77d1be52030616c67cb,https://www.semanticscholar.org/paper/64ad89855f829d0587e0f77d1be52030616c67cb,Sentiment analysis in twitter using machine learning techniques,"Sentiment analysis deals with identifying and classifying opinions or sentiments expressed in source text. Social media is generating a vast amount of sentiment rich data in the form of tweets, status updates, blog posts etc. Sentiment analysis of this user generated data is very useful in knowing the opinion of the crowd. Twitter sentiment analysis is difficult compared to general sentiment analysis due to the presence of slang words and misspellings. The maximum limit of characters that are allowed in Twitter is 140. Knowledge base approach and Machine learning approach are the two strategies used for analyzing sentiments from the text. In this paper, we try to analyze the twitter posts about electronic products like mobiles, laptops etc using Machine Learning approach. By doing sentiment analysis in a specific domain, it is possible to identify the effect of domain information in sentiment classification. We present a new feature vector for classifying the tweets as positive, negative and extract peoples' opinion about products.",2013,18,316,9,false,Computer Science,9388856,M. Neethu,144357907,R. Rajasree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36aa0d0936b2cf128c646c36a1981807b5a27aaf,https://www.semanticscholar.org/paper/36aa0d0936b2cf128c646c36a1981807b5a27aaf,On Kernel-Target Alignment,,2001,24,1080,145,false,Computer Science,1685083,N. Cristianini,1404459229,J. Shawe-Taylor,1766703,A. Elisseeff,145536952,J. Kandola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831edc3d67457db83da40d260e93bfd7559347ae,https://www.semanticscholar.org/paper/831edc3d67457db83da40d260e93bfd7559347ae,"Dyna, an integrated architecture for learning, planning, and reacting","Dyna is an AI architecture that integrates learning, planning, and reactive execution. Learning methods are used in Dyna both for compiling planning results and for updating a model of the effects of the agent's actions on the world. Planning is incremental and can use the probabilistic and ofttimes incorrect world models generated by learning processes. Execution is fully reactive in the sense that no planning intervenes between perception and action. Dyna relies on machine learning methods for learning from examples---these are among the basic building blocks making up the architecture---yet is not tied to any particular method. This paper briefly introduces Dyna and discusses its strengths and weaknesses with respect to other architectures.",1990,29,721,64,true,Computer Science,1699645,R. Sutton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3c52164751a7c116657c8e95790d84aa7308e43,https://www.semanticscholar.org/paper/c3c52164751a7c116657c8e95790d84aa7308e43,Pattern Recognition & Machine Learning,,2016,11,120,9,false,Computer Science,2006062040,Y. Anzai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f1024a28c977c9555b77ef2b7c8cada2ae3b36b,https://www.semanticscholar.org/paper/5f1024a28c977c9555b77ef2b7c8cada2ae3b36b,Machine Learning: Hands-On for Developers and Technical Professionals,"Dig deep into the data with a hands-on guide to machine learning Machine Learning: Hands-On for Developers and Technical Professionals provides hands-on instruction and fully-coded working examples for the most common machine learning techniques used by developers and technical professionals. The book contains a breakdown of each ML variant, explaining how it works and how it is used within certain industries, allowing readers to incorporate the presented techniques into their own work as they follow along. A core tenant of machine learning is a strong focus on data preparation, and a full exploration of the various types of learning algorithms illustrates how the proper tools can help any developer extract information and insights from existing data. The book includes a full complement of Instructor's Materials to facilitate use in the classroom, making this resource useful for students and as a professional reference.",2014,0,128,14,false,Computer Science,51011457,J. Bell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd2e5b8f07a4b4675f4b5ab8273ab10eb80704a9,https://www.semanticscholar.org/paper/bd2e5b8f07a4b4675f4b5ab8273ab10eb80704a9,Fast and Scalable Local Kernel Machines,"A computationally efficient approach to local learning with kernel methods is presented. The Fast Local Kernel Support Vector Machine (FaLK-SVM) trains a set of local SVMs on redundant neighbourhoods in the training set and an appropriate model for each query point is selected at testing time according to a proximity strategy. Supported by a recent result by Zakai and Ritov (2009) relating consistency and localizability, our approach achieves high classification accuracies by dividing the separation function in local optimisation problems that can be handled very efficiently from the computational viewpoint. The introduction of a fast local model selection further speeds-up the learning process. Learning and complexity bounds are derived for FaLK-SVM, and the empirical evaluation of the approach (with data sets up to 3 million points) showed that it is much faster and more accurate and scalable than state-of-the-art accurate and approximated SVM solvers at least for non high-dimensional data sets. More generally, we show that locality can be an important factor to sensibly speed-up learning approaches and kernel methods, differently from other recent techniques that tend to dismiss local information in order to improve scalability.",2010,84,93,5,false,Computer Science,47429813,N. Segata,2930903,E. Blanzieri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1b1d5da2b18bb3740a24ff3c75c19c82feae375,https://www.semanticscholar.org/paper/f1b1d5da2b18bb3740a24ff3c75c19c82feae375,Data Mining and Machine Learning Techniques for the Identification of Mutagenicity Inducing Substructures and Structure Activity Relationships of Noncongeneric Compounds,"This paper explores the utility of data mining and machine learning algorithms for the induction of mutagenicity structure-activity relationships (SARs) from noncongeneric data sets. We compare (i) a newly developed algorithm (MOLFEA) for the generation of descriptors (molecular fragments) for noncongeneric compounds with traditional SAR approaches (molecular properties) and (ii) different machine learning algorithms for the induction of SARs from these descriptors. In addition we investigate the optimal parameter settings for these programs and give an exemplary interpretation of the derived models. The predictive accuracies of models using MOLFEA derived descriptors is approximately 10-15%age points higher than those using molecular properties alone. Using both types of descriptors together does not improve the derived models. From the applied machine learning techniques the rule learner PART and support vector machines gave the best results, although the differences between the learning algorithms are only marginal. We were able to achieve predictive accuracies up to 78% for 10-fold cross-validation. The resulting models are relatively easy to interpret and usable for predictive as well as for explanatory purposes.",2004,27,240,10,true,Computer Science,3323969,C. Helma,2070118303,Tobias Cramer,145471896,Stefan Kramer,1740042,L. D. Raedt,Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5ee696025d1651e8e8cae7f399ef11c3dc31976,https://www.semanticscholar.org/paper/c5ee696025d1651e8e8cae7f399ef11c3dc31976,Big Data Meets Quantum Chemistry Approximations: The Δ-Machine Learning Approach.,"Chemically accurate and comprehensive studies of the virtual space of all possible molecules are severely limited by the computational cost of quantum chemistry. We introduce a composite strategy that adds machine learning corrections to computationally inexpensive approximate legacy quantum methods. After training, highly accurate predictions of enthalpies, free energies, entropies, and electron correlation energies are possible, for significantly larger molecular sets than used for training. For thermochemical properties of up to 16k isomers of C7H10O2 we present numerical evidence that chemical accuracy can be reached. We also predict electron correlation energy in post Hartree-Fock methods, at the computational cost of Hartree-Fock, and we establish a qualitative relationship between molecular entropy and electron correlation. The transferability of our approach is demonstrated, using semiempirical quantum chemistry and machine learning models trained on 1 and 10% of 134k organic molecules, to reproduce enthalpies of all remaining molecules at density functional theory level of accuracy.",2015,50,415,4,true,Physics,6781829,R. Ramakrishnan,5378288,Pavlo O. Dral,48041657,M. Rupp,7847508,O. A. von Lilienfeld,Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24d21ecaeb2d2ecc20e26a5e3f5128247704ccfe,https://www.semanticscholar.org/paper/24d21ecaeb2d2ecc20e26a5e3f5128247704ccfe,Swarm Learning for decentralized and confidential clinical machine learning,,2021,50,158,4,true,Medicine,1441363881,Stefanie Warnat-Herresthal,1491641853,Hartmut Schultze,39126788,K. Shastry,2530831,Sathyanarayanan Manamohan,,3040289,Saikat Mukherjee,2067125343,Vishesh Garg,7765742,Ravi Sarveswara,48648791,K. Händler,5953896,P. Pickkers,31528430,N. Aziz,8297290,S. Ktena,12668727,F. Tran,2220233,M. Bitzer,32478749,S. Ossowski,3818521,N. Casadei,6317095,C. Herr,51327074,Daniel Petersheim,4829125,U. Behrends,37417418,Fabian Kern,4846639,T. Fehlmann,10371954,P. Schommers,4764355,C. Lehmann,30137838,M. Augustin,5775372,J. Rybniker,1963213,J. Altmüller,150247497,N. Mishra,1820956545,J. P. Bernardes,5634144,B. Krämer,145567472,L. Bonaguro,1397963301,J. Schulte-Schrepping,5342859,Elena De Domenico,1780746912,Christian Siever,50333718,Michael Kraut,153555977,Milind Desai,1780578787,Bruno Monnet,2128923813,M. Saridaki,144307851,C. Siegel,49572483,A. Drews,1780708283,Melanie Nuesch-Germano,4505843,H. Theis,5172855,J. Heyckendorf,2172440244,S. Schreiber,1398942621,S. Kim-Hellmuth,6316085,J. Nattermann,6273548,D. Skowasch,6177275,I. Kurth,145122867,A. Keller,6664655,R. Bals,1701925,P. Nürnberg,2070590037,O. Riess,144883195,P. Rosenstiel,145123820,M. Netea,2051758169,F. Theis,145807368,S. Mukherjee,145598514,Michael Backes,143690088,A. Aschenbrenner,4796855,T. Ulas,145189483,M. Breteler,1381717153,E. Giamarellos‐Bourboulis,4713521,M. Kox,144332474,M. Becker,34936176,S. Cheran,2546502,M. Woodacre,17836661,E. L. Goh,2356294,J. Schultze,
c393c48a2d634acb1daee3567eaaea733a1224fb,https://www.semanticscholar.org/paper/c393c48a2d634acb1daee3567eaaea733a1224fb,Efficient Convolution Kernels for Dependency and Constituent Syntactic Trees,,2006,28,499,66,true,Computer Science,1719404,Alessandro Moschitti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
