paperId,url,title,abstract,year,referenceCount,citationCount,influentialCitationCount,isOpenAccess,fieldsOfStudy/0,authors/0/authorId,authors/0/name,authors/1/authorId,authors/1/name,fieldsOfStudy/1,fieldsOfStudy/2,authors/2/authorId,authors/2/name,authors/3/authorId,authors/3/name,authors/4/authorId,authors/4/name,authors/5/authorId,authors/5/name,authors/6/authorId,authors/6/name,authors/7/authorId,authors/7/name,authors/8/authorId,authors/8/name,authors/9/authorId,authors/9/name,authors/10/authorId,authors/10/name,authors/11/authorId,authors/11/name,authors/12/authorId,authors/12/name,fieldsOfStudy/3,authors/13/authorId,authors/13/name,authors/14/authorId,authors/14/name,authors/15/authorId,authors/15/name,authors/16/authorId,authors/16/name,authors/17/authorId,authors/17/name,authors/18/authorId,authors/18/name,authors/19/authorId,authors/19/name,authors/20/authorId,authors/20/name,authors/21/authorId,authors/21/name,authors/22/authorId,authors/22/name
b1448f55029e007b1ba04bb3b64d7d571ed5bf58,https://www.semanticscholar.org/paper/b1448f55029e007b1ba04bb3b64d7d571ed5bf58,Bias-Variance Analysis of Support Vector Machines for the Development of SVM-Based Ensemble Methods,"Bias-variance analysis provides a tool to study learning algorithms and can be used to properly design ensemble methods well tuned to the properties of a specific base learner. Indeed the effectiveness of ensemble methods critically depends on accuracy, diversity and learning characteristics of base learners. We present an extended experimental analysis of bias-variance decomposition of the error in Support Vector Machines (SVMs), considering Gaussian, polynomial and dot product kernels. A characterization of the error decomposition is provided, by means of the analysis of the relationships between bias, variance, kernel type and its parameters, offering insights into the way SVMs learn. The results show that the expected trade-off between bias and variance is sometimes observed, but more complex relationships can be detected, especially in Gaussian and polynomial kernels. We show that the bias-variance decomposition offers a rationale to develop ensemble methods using SVMs as base learners, and we outline two directions for developing SVM ensembles, exploiting the SVM bias characteristics and the bias-variance dependence on the kernel param",2004,51,254,20,false,Computer Science,37659088,G. Valentini,144299726,Thomas G. Dietterich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0ebf91b31c0d491af6f269d1e3c9a9a9b6d4cd8,https://www.semanticscholar.org/paper/b0ebf91b31c0d491af6f269d1e3c9a9a9b6d4cd8,Deep Convolutional Neural Networks for Raman Spectrum Recognition: A Unified Solution,"Machine learning methods have found many applications in Raman spectroscopy, especially for the identification of chemical species. However, almost all of these methods require non-trivial preprocessing such as baseline correction and/or PCA as an essential step. Here we describe our unified solution for the identification of chemical species in which a convolutional neural network is trained to automatically identify substances according to their Raman spectrum without the need for preprocessing. We evaluated our approach using the RRUFF spectral database, comprising mineral sample data. Superior classification performance is demonstrated compared with other frequently used machine learning algorithms including the popular support vector machine method.",2017,40,191,13,true,Computer Science,2144149279,Jinchao Liu,1700737,Margarita Osadchy,Mathematics,Medicine,144915866,L. Ashton,145373668,Michael Foster,2490634,C. Solomon,3354810,S. Gibson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e9fd1a7ae0322d417ab2d32017e373dd50efc063,https://www.semanticscholar.org/paper/e9fd1a7ae0322d417ab2d32017e373dd50efc063,A comparison of two learning algorithms for text categorization,"This paper examines the use of inductive learning to categorize natural language documents into predeened content categories. Categorization of text is of increasing importance in information retrieval and natural language processing systems. Previous research on automated text categorization has mixed machine learning and knowledge engineering methods, making it diicult to draw conclusions about the performance of particular methods. In this paper we present empirical results on the performance of a Bayesian classiier and a decision tree learning algorithm on two text categorization data sets. We nd that both algorithms achieve reasonable performance and allow controlled tradeoos between false positives and false negatives. The stepwise feature selection in the decision tree algorithm is particularly eeective in dealing with the large feature sets common in text categorization. However, even this algorithm is aided by an initial preeltering of features, connrming the results found by Almuallim and Dietterich on artiicial data sets. We also demonstrate the impact of the time-varying nature of category deenitions.",1994,25,751,42,false,Computer Science,35153517,D. Lewis,2697855,M. Ringuette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1b4c906704cd125adf5c9a974e16c56e49925bf3,https://www.semanticscholar.org/paper/1b4c906704cd125adf5c9a974e16c56e49925bf3,Variational Relevance Vector Machines,"The Support Vector Machine (SVM) of Vapnik (1998) has become widely established as one of the leading approaches to pattern recognition and machine learning. It expresses predictions in terms of a linear combination of kernel functions centred on a subset of the training data, known as support vectors. 
Despite its widespread success, the SVM suffers from some important limitations, one of the most significant being that it makes point predictions rather than generating predictive distributions. Recently Tipping (1999) has formulated the Relevance Vector Machine (RVM), a probabilistic model whose functional form is equivalent to the SVM. It achieves comparable recognition accuracy to the SVM, yet provides a full predictive distribution, and also requires substantially fewer kernel functions. 
The original treatment of the RVM relied on the use of type II maximum likelihood (the `evidence framework') to provide point estimates of the hyperparameters which govern model sparsity. In this paper we show how the RVM can be formulated and solved within a completely Bayesian paradigm through the use of variational inference, thereby giving a posterior distribution over both parameters and hyperparameters. We demonstrate the practicality and performance of the variational RVM using both synthetic and real world examples.",2000,16,394,53,false,Computer Science,1792884,Charles M. Bishop,2831141,Michael E. Tipping,Mathematics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6df333b6e4dc95a19fb5dcfa49dbd3ac11db967b,https://www.semanticscholar.org/paper/6df333b6e4dc95a19fb5dcfa49dbd3ac11db967b,Empirical Methods in Information Extraction,"This article surveys the use of empirical, machine-learning methods for a particular natural language-understanding task-information extraction. The author presents a generic architecture for information-extraction systems and then surveys the learning algorithms that have been developed to address the problems of accuracy, portability, and knowledge acquisition for each component of the architecture.",1997,47,295,6,false,Computer Science,1748501,Claire Cardie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2ee6d382f5a34d04fa2b61b2e2c6bd9fb57ef8c3,https://www.semanticscholar.org/paper/2ee6d382f5a34d04fa2b61b2e2c6bd9fb57ef8c3,On the Scaling of Machine Learning Attacks on PUFs with Application to Noise Bifurcation,,2015,16,96,15,false,Computer Science,2869144,Johannes Tobisch,4277384,G. Becker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77cf2d8a174c5a9a6b41c44203695c1d7f83f391,https://www.semanticscholar.org/paper/77cf2d8a174c5a9a6b41c44203695c1d7f83f391,"Machine learning for medical diagnosis: history, state of the art and perspective",,2001,100,1246,43,true,Computer Science,143986204,I. Kononenko,,,Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29cedf9f9edd5179aa2e78654a7b81c9da45f0d0,https://www.semanticscholar.org/paper/29cedf9f9edd5179aa2e78654a7b81c9da45f0d0,Learning and optimization using the clonal selection principle,"The clonal selection principle is used to explain the basic features of an adaptive immune response to an antigenic stimulus. It establishes the idea that only those cells that recognize the antigens (Ag's) are selected to proliferate. The selected cells are subject to an affinity maturation process, which improves their affinity to the selective Ag's. This paper proposes a computational implementation of the clonal selection principle that explicitly takes into account the affinity maturation of the immune response. The general algorithm, named CLONALG, is derived primarily to perform machine learning and pattern recognition tasks, and then it is adapted to solve optimization problems, emphasizing multimodal and combinatorial optimization. Two versions of the algorithm are derived, their computational cost per iteration is presented, and a sensitivity analysis in relation to the user-defined parameters is given. CLONALG is also contrasted with evolutionary algorithms. Several benchmark problems are considered to evaluate the performance of CLONALG and it is also compared to a niching method for multimodal function optimization.",2002,61,2279,208,false,Computer Science,145390561,L. Castro,7359553,F. V. Zuben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a20f94ee49d9f29720cf9555457e1fea9050c0b2,https://www.semanticscholar.org/paper/a20f94ee49d9f29720cf9555457e1fea9050c0b2,"Machine learning, medical diagnosis, and biomedical engineering research - commentary",,2014,32,267,7,false,Computer Science,49910875,K. Foster,3244609,R. Koprowski,Medicine,,145274856,J. Skufca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
944905f417869766d0bccd654211cf45584075f3,https://www.semanticscholar.org/paper/944905f417869766d0bccd654211cf45584075f3,Using Iterated Bagging to Debias Regressions,,2001,25,223,13,true,Mathematics,2423230,L. Breiman,,,Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
