paperId,url,title,abstract,year,referenceCount,citationCount,influentialCitationCount,isOpenAccess,fieldsOfStudy/0,authors/0/authorId,authors/0/name,authors/1/authorId,authors/1/name,authors/2/authorId,authors/2/name,authors/3/authorId,authors/3/name,authors/4/authorId,authors/4/name,authors/5/authorId,authors/5/name,fieldsOfStudy/1,authors/6/authorId,authors/6/name,authors/7/authorId,authors/7/name,authors/8/authorId,authors/8/name,authors/9/authorId,authors/9/name,authors/10/authorId,authors/10/name,authors/11/authorId,authors/11/name,fieldsOfStudy/2,fieldsOfStudy/3,authors/12/authorId,authors/12/name,authors/13/authorId,authors/13/name,authors/14/authorId,authors/14/name,authors/15/authorId,authors/15/name,authors/16/authorId,authors/16/name,authors/17/authorId,authors/17/name,authors/18/authorId,authors/18/name,authors/19/authorId,authors/19/name,authors/20/authorId,authors/20/name,authors/21/authorId,authors/21/name,authors/22/authorId,authors/22/name,authors/23/authorId,authors/23/name,authors/24/authorId,authors/24/name
a4f981c06d398849eb78894e98e7c16ae4372d7e,https://www.semanticscholar.org/paper/a4f981c06d398849eb78894e98e7c16ae4372d7e,Learning multidimensional signal processing,"This paper presents our general strategy for designing learning machines as well as a number of particular designs. The search for methods allowing a sufficient level of adaptivity are based on two main principles: 1) simple adaptive local models; and 2) adaptive model distribution. Particularly important concepts in our work is mutual information and canonical correlation. Examples are given on learning feature descriptors, modeling disparity, synthesis of a global 3-mode model and a setup for reinforcement learning of online video coder parameter control.",1998,192,224,13,false,Computer Science,3117916,H. Knutsson,145290346,M. Borga,2976013,T. Landelius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8d5ffc4e6ed933f8f21258e1147ecf6bdca8539d,https://www.semanticscholar.org/paper/8d5ffc4e6ed933f8f21258e1147ecf6bdca8539d,Performance evaluation of Botnet DDoS attack detection using machine learning,,2020,61,74,7,false,Computer Science,104194322,Tong Anh Tuan,2086181,H. Long,144904069,Le Hoang Son,2107921481,Raghvendra Kumar,47979571,Ishaani Priyadarshini,145594963,N. T. K. Son,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6956c05171ba71ee8442a49bfb8316127873b62,https://www.semanticscholar.org/paper/c6956c05171ba71ee8442a49bfb8316127873b62,Aleatoric and Epistemic Uncertainty in Machine Learning: A Tutorial Introduction,"The notion of uncertainty is of major importance in machine learning and constitutes a key element of machine learning methodology. In line with the statistical tradition, uncertainty has long been perceived as almost synonymous with standard probability and probabilistic predictions. Yet, due to the steadily increasing relevance of machine learning for practical applications and related issues such as safety requirements, new problems and challenges have recently been identified by machine learning scholars, and these problems may call for new methodological developments. In particular, this includes the importance of distinguishing between (at least) two different types of uncertainty, often refereed to as aleatoric and epistemic. In this paper, we provide an introduction to the topic of uncertainty in machine learning as well as an overview of hitherto attempts at handling uncertainty in general and formalizing this distinction in particular.",2019,86,61,9,false,Computer Science,1691955,E. Hüllermeier,3249834,W. Waegeman,,,,,,,,,Mathematics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8077a34c426acff10f0717c0cf0b99958fc3c5ed,https://www.semanticscholar.org/paper/8077a34c426acff10f0717c0cf0b99958fc3c5ed,AUTOMATIC TEXT CLASSIFICATION: A TECHNICAL REVIEW,"Automatic Text Classification is a semi-supervised machine learning task that automatically assigns a given document to a set of pre-defined categories based on its textual content and extracted features. Automatic Text Classification has important applications in content management, contextual search, opinion mining, product review analysis, spam filtering and text sentiment mining. This paper explains the generic strategy for automatic text classification and surveys existing solutions to major issues such as dealing with unstructured text, handling large number of attributes and selecting a machine learning technique appropriate to the text-classification application.",2011,32,160,9,true,Computer Science,36244416,M. K. Dalal,144123655,M. Zaveri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544950fb0f1353accc40b3a5cc675f0eb939f1da,https://www.semanticscholar.org/paper/544950fb0f1353accc40b3a5cc675f0eb939f1da,A Lockdown Technique to Prevent Machine Learning on PUFs for Lightweight Authentication,"We present a lightweight PUF-based authentication approach that is practical in settings where a server authenticates a device, and for use cases where the number of authentications is limited over a device's lifetime. Our scheme uses a server-managed challenge/response pair (CRP) lockdown protocol: unlike prior approaches, an adaptive chosen-challenge adversary with machine learning capabilities cannot obtain new CRPs without the server's implicit permission. The adversary is faced with the problem of deriving a PUF model with a limited amount of machine learning training data. Our system-level approach allows a so-called strong PUF to be used for lightweight authentication in a manner that is heuristically secure against today's best machine learning methods through a worst-case CRP exposure algorithmic validation. We also present a degenerate instantiation using a weak PUF that is secure against computationally unrestricted adversaries, which includes any learning adversary, for practical device lifetimes and read-out rates. We validate our approach using silicon PUF data, and demonstrate the feasibility of supporting 10, 1,000, and 1M authentications, including practical configurations that are not learnable with polynomial resources, e.g., the number of CRPs and the attack runtime, using recent results based on the probably-approximately-correct (PAC) complexity-theoretic framework.",2016,41,141,25,true,Computer Science,2888811,M. Yu,2077185,Matthias Hiller,34396254,Jeroen Delvaux,2066538436,R. Sowell,1695217,S. Devadas,1722064,I. Verbauwhede,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05f39431776d2b8858132b2118b68a6a68bf4f14,https://www.semanticscholar.org/paper/05f39431776d2b8858132b2118b68a6a68bf4f14,Revolt: Collaborative Crowdsourcing for Labeling Machine Learning Datasets,"Crowdsourcing provides a scalable and efficient way to construct labeled datasets for training machine learning systems. However, creating comprehensive label guidelines for crowdworkers is often prohibitive even for seemingly simple concepts. Incomplete or ambiguous label guidelines can then result in differing interpretations of concepts and inconsistent labels. Existing approaches for improving label quality, such as worker screening or detection of poor work, are ineffective for this problem and can lead to rejection of honest work and a missed opportunity to capture rich interpretations about data. We introduce Revolt, a collaborative approach that brings ideas from expert annotation workflows to crowd-based labeling. Revolt eliminates the burden of creating detailed label guidelines by harnessing crowd disagreements to identify ambiguous concepts and create rich structures (groups of semantically related items) for post-hoc label decisions. Experiments comparing Revolt to traditional crowdsourced labeling show that Revolt produces high quality labels without requiring label guidelines in turn for an increase in monetary cost. This up front cost, however, is mitigated by Revolt's ability to produce reusable structures that can accommodate a variety of label boundaries without requiring new data to be collected. Further comparisons of Revolt's collaborative and non-collaborative variants show that collaboration reaches higher label accuracy with lower monetary cost.",2017,61,170,10,false,Computer Science,48808806,Joseph Chee Chang,1719124,Saleema Amershi,1783184,Ece Kamar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46f45109ba90ce7ac6068e9c27097949dc3e1c4d,https://www.semanticscholar.org/paper/46f45109ba90ce7ac6068e9c27097949dc3e1c4d,1 Support Vector Machine Solvers,"The support vector machine (SVM) algorithm (Cortes and Vapnik, 1995) is probably the most widely used kernel learning algorithm. It achieves relatively robust pattern recognition performance using well-established concepts in optimization theory. Despite this mathematical classicism, the implementation of efficient SVM solvers has diverged from the classical methods of numerical optimization. This divergence is common to virtually all learning algorithms. The numerical optimization literature focuses on the asymptotic performance: how quickly the accuracy of the solution increases with computing time. In the case of learning algorithms, two other factors mitigate the impact of optimization accuracy.",2007,0,88,7,false,,52184096,L. Bottou,1711460,Chih-Jen Lin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051f6c8aea41f3f52d39a1cafd2d7e2bfa60a564,https://www.semanticscholar.org/paper/051f6c8aea41f3f52d39a1cafd2d7e2bfa60a564,Protein sequence classification using extreme learning machine,"Traditionally, two protein sequences are classified into the same class if they have high homology in terms of feature patterns extracted through sequence alignment algorithms. These algorithms compare an unseen protein sequence with all the identified protein sequences and returned the higher scored protein sequences. As the sizes of the protein sequence databases are very large, it is a very time consuming job to perform exhaustive comparison of existing protein sequence. Therefore, there is a need to build an improved classification system for effectively identifying protein sequences. In this paper, a recently developed machine learning algorithm referred to as the extreme learning machine (ELM) is used to classify protein sequences with ten classes of super-families downloaded from a public domain database. A comparative study on system performance is conducted between ELM and the main conventional neural network classifier - backpropagation neural networks. Results show that ELM needs up to four orders of magnitude less training time compared to BP Network. The classification accuracy of ELM is also higher than that of BP network. For given network architecture, ELM does not have any control parameters (i.e, stopping criteria, learning rate, learning epoches, etc.) to be manually tuned and can be implemented easily.",2005,13,102,11,false,Computer Science,49371187,Dianhui Wang,145678691,G. Huang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40e5a40ae66d44e6c00d562d068d35db6922715d,https://www.semanticscholar.org/paper/40e5a40ae66d44e6c00d562d068d35db6922715d,Improving the Accuracy and Speed of Support Vector Machines,"Support Vector Learning Machines (SVM) are finding application in pattern recognition, regression estimation, and operator inversion for ill-posed problems. Against this very general backdrop, any methods for improving the generalization performance, or for improving the speed in test phase, of SVMs are of increasing interest. In this paper we combine two such techniques on a pattern recognition problem. The method for improving generalization performance (the ""virtual support vector"" method) does so by incorporating known invariances of the problem. This method achieves a drop in the error rate on 10,000 NIST test digit images of 1.4% to 1.0%. The method for improving the speed (the ""reduced set"" method) does so by approximating the support vector decision surface. We apply this method to achieve a factor of fifty speedup in test phase over the virtual support vector machine. The combined approach yields a machine which is both 22 times faster than the original machine, and which has better generalization performance, achieving 1.1 % error. The virtual support vector method is applicable to any SVM problem with known invariances. The reduced set method is applicable to any support vector machine.",1996,10,424,30,false,Computer Science,2676309,C. Burges,1707625,B. Schölkopf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192e7880535131f28b76a4bb6936105c45c6f485,https://www.semanticscholar.org/paper/192e7880535131f28b76a4bb6936105c45c6f485,Can Children Understand Machine Learning Concepts?: The Effect of Uncovering Black Boxes,"Machine Learning services are integrated into various aspects of everyday life. Their underlying processes are typically black-boxed to increase ease-of-use. Consequently, children lack the opportunity to explore such processes and develop essential mental models. We present a gesture recognition research platform, designed to support learning from experience by uncovering Machine Learning building blocks: Data Labeling and Evaluation. Children used the platform to perform physical gestures, iterating between sampling and evaluation. Their understanding was tested in a pre/post experimental design, in three conditions: learning activity uncovering Data Labeling only, Evaluation only, or both. Our findings show that both building blocks are imperative to enhance children's understanding of basic Machine Learning concepts. Children were able to apply their new knowledge to everyday life context, including personally meaningful applications. We conclude that children's interaction with uncovered black boxes of Machine Learning contributes to a better understanding of the world around them.",2019,44,65,7,false,Computer Science,19190271,Tom Hitron,17787357,Yoav Orlev,40521060,I. Wald,2947946,Ariel Shamir,49983945,H. Erel,1790753,Oren Zuckerman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
