paperId,url,title,abstract,year,referenceCount,citationCount,influentialCitationCount,isOpenAccess,fieldsOfStudy/0,authors/0/authorId,authors/0/name,authors/1/authorId,authors/1/name,authors/2/authorId,authors/2/name,authors/3/authorId,authors/3/name,authors/4/authorId,authors/4/name,authors/5/authorId,authors/5/name,fieldsOfStudy/1,fieldsOfStudy/2,authors/6/authorId,authors/6/name,authors/7/authorId,authors/7/name,authors/8/authorId,authors/8/name,authors/9/authorId,authors/9/name,authors/10/authorId,authors/10/name,authors/11/authorId,authors/11/name,authors/12/authorId,authors/12/name,authors/13/authorId,authors/13/name,authors/14/authorId,authors/14/name,authors/15/authorId,authors/15/name,authors/16/authorId,authors/16/name,authors/17/authorId,authors/17/name,authors/18/authorId,authors/18/name,authors/19/authorId,authors/19/name,authors/20/authorId,authors/20/name,authors/21/authorId,authors/21/name,authors/22/authorId,authors/22/name,authors/23/authorId,authors/23/name,authors/24/authorId,authors/24/name,authors/25/authorId,authors/25/name,authors/26/authorId,authors/26/name,authors/27/authorId,authors/27/name,authors/28/authorId,authors/28/name,authors/29/authorId,authors/29/name,authors/30/authorId,authors/30/name,authors/31/authorId,authors/31/name,authors/32/authorId,authors/32/name,authors/33/authorId,authors/33/name,fieldsOfStudy/3
a8ed44cbf02da0f135335bc2986ddff9109d9b53,https://www.semanticscholar.org/paper/a8ed44cbf02da0f135335bc2986ddff9109d9b53,MLACP: machine-learning-based prediction of anticancer peptides,"Cancer is the second leading cause of death globally, and use of therapeutic peptides to target and kill cancer cells has received considerable attention in recent years. Identification of anticancer peptides (ACPs) through wet-lab experimentation is expensive and often time consuming; therefore, development of an efficient computational method is essential to identify potential ACP candidates prior to in vitro experimentation. In this study, we developed support vector machine- and random forest-based machine-learning methods for the prediction of ACPs using the features calculated from the amino acid sequence, including amino acid composition, dipeptide composition, atomic composition, and physicochemical properties. We trained our methods using the Tyagi-B dataset and determined the machine parameters by 10-fold cross-validation. Furthermore, we evaluated the performance of our methods on two benchmarking datasets, with our results showing that the random forest-based method outperformed the existing methods with an average accuracy and Matthews correlation coefficient value of 88.7% and 0.78, respectively. To assist the scientific community, we also developed a publicly accessible web server at www.thegleelab.org/MLACP.html.",2017,79,149,10,true,Medicine,49557292,Balachandran Manavalan,2793986,S. Basith,7143195,T. Shin,144073777,Sun Choi,2224756,M. Kim,145543795,Gwang Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7e02c5b0e83cd6bba4c94c458bdb7079e97c36cd,https://www.semanticscholar.org/paper/7e02c5b0e83cd6bba4c94c458bdb7079e97c36cd,"Entity Resolution: Theory, Practice & Open Challenges","This tutorial brings together perspectives on ER from a variety of fields, including databases, machine learning, natural language processing and information retrieval, to provide, in one setting, a survey of a large body of work. We discuss both the practical aspects and theoretical underpinnings of ER. We describe existing solutions, current challenges, and open research problems.",2012,32,293,10,false,Computer Science,1746034,L. Getoor,2357165,Ashwin Machanavajjhala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3a7d3ce9e69b102dc4e8863752e956e19f125e9a,https://www.semanticscholar.org/paper/3a7d3ce9e69b102dc4e8863752e956e19f125e9a,Depression detection from social network data using machine learning techniques,,2018,59,149,9,true,Computer Science,2110073056,Md. Rafiqul Islam,3207804,M. A. Kabir,50731932,Ashir Ahmed,28904888,A. Kamal,2113255188,Hua Wang,35035828,A. Ulhaq,Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bb82053d4229357925b28ffe647377f56d93b06e,https://www.semanticscholar.org/paper/bb82053d4229357925b28ffe647377f56d93b06e,Intelligent nanophotonics: merging photonics and artificial intelligence at the nanoscale,"Abstract Nanophotonics has been an active research field over the past two decades, triggered by the rising interests in exploring new physics and technologies with light at the nanoscale. As the demands of performance and integration level keep increasing, the design and optimization of nanophotonic devices become computationally expensive and time-inefficient. Advanced computational methods and artificial intelligence, especially its subfield of machine learning, have led to revolutionary development in many applications, such as web searches, computer vision, and speech/image recognition. The complex models and algorithms help to exploit the enormous parameter space in a highly efficient way. In this review, we summarize the recent advances on the emerging field where nanophotonics and machine learning blend. We provide an overview of different computational methods, with the focus on deep learning, for the nanophotonic inverse design. The implementation of deep neural networks with photonic platforms is also discussed. This review aims at sketching an illustration of the nanophotonic design with machine learning and giving a perspective on the future tasks.",2018,237,170,2,true,Physics,2305129,Kan Yao,1944881178,R. Unni,4011641,Yuebing Zheng,,,,,,,Medicine,Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9fba31ec64ce23405e36cabf4f31c2fe2d12826c,https://www.semanticscholar.org/paper/9fba31ec64ce23405e36cabf4f31c2fe2d12826c,Reinforcement Learning in a large scale photonic Recurrent Neural Network,"Photonic Neural Network implementations have been gaining considerable attention as a potentially disruptive future technology. Demonstrating learning in large scale neural networks is essential to establish photonic machine learning substrates as viable information processing systems. Realizing photonic Neural Networks with numerous nonlinear nodes in a fully parallel and efficient learning hardware was lacking so far. We demonstrate a network of up to 2500 diffractively coupled photonic nodes, forming a large scale Recurrent Neural Network. Using a Digital Micro Mirror Device, we realize reinforcement learning. Our scheme is fully parallel, and the passive weights maximize energy efficiency and bandwidth. The computational output efficiently converges and we achieve very good performance.",2017,34,197,7,false,Computer Science,49206957,Julián Bueno,3445665,S. Maktoobi,1783005,L. Froehly,1795232,Ingo Fischer,143753357,M. Jacquot,1760452,L. Larger,Physics,,145711155,D. Brunner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2d55ff4542eaae18dcd10c2cd74199396e260402,https://www.semanticscholar.org/paper/2d55ff4542eaae18dcd10c2cd74199396e260402,Rawlsian Fairness for Machine Learning,"Motivated by concerns that automated decision-making procedures can unintentionally lead to discriminatory behavior, we study a technical definition of fairness modeled after John Rawls' notion of ""fair equality of opportunity"". In the context of a simple model of online decision making, we give an algorithm that satisfies this fairness constraint, while still being able to learn at a rate that is comparable to (but necessarily worse than) that of the best algorithms absent a fairness constraint. We prove a regret bound for fair algorithms in the linear contextual bandit framework that is a significant improvement over our technical companion paper [16], which gives black-box reductions in a more general setting. We analyze our algorithms both theoretically and experimentally. Finally, we introduce the notion of a ""discrimination index"", and show that standard algorithms for our problem exhibit structured discriminatory behavior, whereas the ""fair"" algorithms we develop do not.",2016,36,74,2,false,Mathematics,144525693,Matthew Joseph,81338045,M. Kearns,144848816,Jamie H. Morgenstern,5880154,Seth Neel,1682008,Aaron Roth,,,Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81fd20c2b903d979075e0c6a59258b0a84213095,https://www.semanticscholar.org/paper/81fd20c2b903d979075e0c6a59258b0a84213095,Strategic Classification,"Machine learning relies on the assumption that unseen test instances of a classification problem follow the same distribution as observed training data. However, this principle can break down when machine learning is used to make important decisions about the welfare (employment, education, health) of strategic individuals. Knowing information about the classifier, such individuals may manipulate their attributes in order to obtain a better classification outcome. As a result of this behavior -- often referred to as gaming -- the performance of the classifier may deteriorate sharply. Indeed, gaming is a well-known obstacle for using machine learning methods in practice; in financial policy-making, the problem is widely known as Goodhart's law. In this paper, we formalize the problem, and pursue algorithms for learning classifiers that are robust to gaming. We model classification as a sequential game between a player named ""Jury"" and a player named ""Contestant."" Jury designs a classifier, and Contestant receives an input to the classifier drawn from a distribution. Before being classified, Contestant may change his input based on Jury's classifier. However, Contestant incurs a cost for these changes according to a cost function. Jury's goal is to achieve high classification accuracy with respect to Contestant's original input and some underlying target classification function, assuming Contestant plays best response. Contestant's goal is to achieve a favorable classification outcome while taking into account the cost of achieving it. For a natural class of ""separable"" cost functions, and certain generalizations, we obtain computationally efficient learning algorithms which are near optimal, achieving a classification error that is arbitrarily close to the theoretical minimum. Surprisingly, our algorithms are efficient even on concept classes that are computationally hard to learn. For general cost functions, designing an approximately optimal strategy-proof classifier, for inverse-polynomial approximation, is NP-hard.",2015,15,215,25,true,Computer Science,1775622,Moritz Hardt,1706816,N. Megiddo,144102674,C. Papadimitriou,1759738,Mary Wootters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c094a192dbc6478b57e14d101a0afdbba13f39e2,https://www.semanticscholar.org/paper/c094a192dbc6478b57e14d101a0afdbba13f39e2,On Testing Machine Learning Programs,,2018,57,76,5,true,Computer Science,51125810,Houssem Ben Braiek,1703493,F. Khomh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3d25eb8241345f86101fda145d95d89c27844fd1,https://www.semanticscholar.org/paper/3d25eb8241345f86101fda145d95d89c27844fd1,Distributed Submodular Maximization: Identifying Representative Elements in Massive Data,"Many large-scale machine learning problems (such as clustering, non-parametric learning, kernel machines, etc.) require selecting, out of a massive data set, a manageable yet representative subset. Such problems can often be reduced to maximizing a submodular set function subject to cardinality constraints. Classical approaches require centralized access to the full data set; but for truly large-scale problems, rendering the data centrally is often impractical. In this paper, we consider the problem of submodular function maximization in a distributed fashion. We develop a simple, two-stage protocol GREEDI, that is easily implemented using MapReduce style computations. We theoretically analyze our approach, and show, that under certain natural conditions, performance close to the (impractical) centralized approach can be achieved. In our extensive experiments, we demonstrate the effectiveness of our approach on several applications, including sparse Gaussian process inference and exemplar-based clustering, on tens of millions of data points using Hadoop.",2013,35,248,29,false,Computer Science,2389094,Baharan Mirzasoleiman,1697131,Amin Karbasi,2810893,R. Sarkar,145343838,Andreas Krause,,,,,Mathematics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00bc2153cd21001860e43758273945110f0ae40d,https://www.semanticscholar.org/paper/00bc2153cd21001860e43758273945110f0ae40d,Consistent Feature Selection for Pattern Recognition in Polynomial Time,"We analyze two different feature selection problems: finding a minimal feature set optimal for classification (MINIMAL-OPTIMAL) vs. finding all features relevant to the target variable (ALL-RELEVANT). The latter problem is motivated by recent applications within bioinformatics, particularly gene expression analysis. For both problems, we identify classes of data distributions for which there exist consistent, polynomial-time algorithms. We also prove that ALL-RELEVANT is much harder than MINIMAL-OPTIMAL and propose two consistent, polynomial-time algorithms. We argue that the distribution classes considered are reasonable in many practical cases, so that our results simplify feature selection in a wide range of machine learning tasks.",2007,40,161,12,false,Computer Science,1681221,R. Nilsson,70048667,J. Peña,145491933,J. Björkegren,1687483,J. Tegner,,,,,Mathematics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
