paperId,url,title,abstract,year,referenceCount,citationCount,influentialCitationCount,isOpenAccess,fieldsOfStudy/0,fieldsOfStudy/1,authors/0/authorId,authors/0/name,authors/1/authorId,authors/1/name,authors/2/authorId,authors/2/name,authors/3/authorId,authors/3/name,authors/4/authorId,authors/4/name,authors/5/authorId,authors/5/name,authors/6/authorId,authors/6/name,authors/7/authorId,authors/7/name,authors/8/authorId,authors/8/name,authors/9/authorId,authors/9/name,authors/10/authorId,authors/10/name,authors/11/authorId,authors/11/name,authors/12/authorId,authors/12/name,authors/13/authorId,authors/13/name,authors/14/authorId,authors/14/name,authors/15/authorId,authors/15/name,authors/16/authorId,authors/16/name,authors/17/authorId,authors/17/name,authors/18/authorId,authors/18/name,authors/19/authorId,authors/19/name,authors/20/authorId,authors/20/name,authors/21/authorId,authors/21/name,authors/22/authorId,authors/22/name,authors/23/authorId,authors/23/name,authors/24/authorId,authors/24/name,fieldsOfStudy/2
c603c4b406b846541950d62495ac2910788c0669,https://www.semanticscholar.org/paper/c603c4b406b846541950d62495ac2910788c0669,A comparative study of machine learning methods for time-to-event survival data for radiomics risk modelling,,2017,42,139,1,true,Computer Science,Medicine,47381059,S. Leger,6894503,A. Zwanenburg,35024445,K. Pilz,12558422,F. Lohaus,7285475,A. Linge,2922388,K. Zöphel,3205319,J. Kotzerke,47614337,A. Schreiber,50123462,I. Tinhofer,78864846,V. Budach,144206434,A. Sak,76999719,M. Stuschke,4545017,P. Balermpas,46530648,C. Rödel,5541025,U. Ganswindt,87801872,C. Belka,6681673,S. Pigorsch,144359719,S. Combs,6904313,D. Mönnich,2838825,D. Zips,145415677,M. Krause,144564734,M. Baumann,145626495,E. Troost,6284311,S. Löck,46293464,C. Richter,
5ed4617d39833a8dd8e931282ca2fcee136db634,https://www.semanticscholar.org/paper/5ed4617d39833a8dd8e931282ca2fcee136db634,Unsupervised Generative Modeling Using Matrix Product States,"Generative modeling, which learns joint probability distribution from data and generates samples according to it, is an important task in machine learning and artificial intelligence. Inspired by probabilistic interpretation of quantum physics, we propose a generative model using matrix product states, which is a tensor network originally proposed for describing (particularly one-dimensional) entangled quantum states. Our model enjoys efficient learning analogous to the density matrix renormalization group method, which allows dynamically adjusting dimensions of the tensors and offers an efficient direct sampling approach for generative tasks. We apply our method to generative modeling of several standard datasets including the Bars and Stripes, random binary patterns and the MNIST handwritten digits to illustrate the abilities, features and drawbacks of our model over popular generative models such as Hopfield model, Boltzmann machines and generative adversarial networks. Our work sheds light on many interesting directions of future exploration on the development of quantum-inspired algorithms for unsupervised machine learning, which are promisingly possible to be realized on quantum devices.",2017,74,178,21,true,Computer Science,Physics,114687692,Zhaoyu Han,2152809604,Jun Wang,143911167,H. Fan,2152508799,Lei Wang,1410544411,Pan Zhang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mathematics
1f11be4b6dd9e8cda1733651fd914c50cf760bb9,https://www.semanticscholar.org/paper/1f11be4b6dd9e8cda1733651fd914c50cf760bb9,A comparative evaluation of the generalised predictive ability of eight machine learning algorithms across ten clinical metabolomics data sets for binary classification,,2019,93,65,4,true,Computer Science,Medicine,83201140,Kevin M. Mendez,4114666,S. Reinke,49934155,D. Broadhurst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ae7b9345e8182859f131916b2618d879c3df668b,https://www.semanticscholar.org/paper/ae7b9345e8182859f131916b2618d879c3df668b,Machine Learning for Health Services Researchers.,,2019,35,97,3,true,Computer Science,Medicine,7504840,P. Doupe,1986735,James H. Faghmous,152168277,S. Basu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a70f958ea5ac770978377b9d6d9c715ae7af52bd,https://www.semanticscholar.org/paper/a70f958ea5ac770978377b9d6d9c715ae7af52bd,Morphological and molecular breast cancer profiling through explainable machine learning,,2021,40,50,1,false,Computer Science,Biology,2063967997,A. Binder,2482827,M. Bockmayr,21810423,M. Hägele,2348573,S. Wienert,39271054,D. Heim,46238642,Katharina Hellweg,145298825,M. Ishii,4487059,A. Stenzinger,4884986,A. Hocke,2135439,C. Denkert,145034054,K. Müller,3245416,F. Klauschen,,,,,,,,,,,,,,,,,,,,,,,,,,,
fb48b584ed52284db257ca438c2a3a40e6550c44,https://www.semanticscholar.org/paper/fb48b584ed52284db257ca438c2a3a40e6550c44,Machine learning in heart failure: ready for prime time,"Purpose of review The aim of this review is to present an up-to-date overview of the application of machine learning methods in heart failure including diagnosis, classification, readmissions and medication adherence. Recent findings Recent studies have shown that the application of machine learning techniques may have the potential to improve heart failure outcomes and management, including cost savings by improving existing diagnostic and treatment support systems. Recently developed deep learning methods are expected to yield even better performance than traditional machine learning techniques in performing complex tasks by learning the intricate patterns hidden in big medical data. Summary The review summarizes the recent developments in the application of machine and deep learning methods in heart failure management.",2017,30,51,1,false,Medicine,,32299082,S. Awan,2470423,Ferdous Sohel,39242730,F. Sanfilippo,1698675,Bennamoun,144084518,G. Dwivedi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ad0b891162d47f9bc4538c48d9153d42078c3d70,https://www.semanticscholar.org/paper/ad0b891162d47f9bc4538c48d9153d42078c3d70,Empirical assessment of machine learning-based malware detectors for Android,,2016,39,115,12,true,Computer Science,,1790388,Kevin Allix,3023999,Tegawendé F. Bissyandé,7330140,Quentin Jérôme,2445617,Jacques Klein,1757227,R. State,47681863,Yves Le Traon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4893f7b4d0adbbfd2b3025df3502ab7e902dd79,https://www.semanticscholar.org/paper/d4893f7b4d0adbbfd2b3025df3502ab7e902dd79,Random Feature Expansions for Deep Gaussian Processes,"The composition of multiple Gaussian Processes as a Deep Gaussian Process (DGP) enables a deep probabilistic nonparametric approach to flexibly tackle complex machine learning problems with sound quantification of uncertainty. Existing inference approaches for DGP models have limited scalability and are notoriously cumbersome to construct. In this work we introduce a novel formulation of DGPs based on random feature expansions that we train using stochastic variational inference. This yields a practical learning framework which significantly advances the state-of-the-art in inference for DGPs, and enables accurate quantification of uncertainty. We extensively showcase the scalability and performance of our proposal on several datasets with up to 8 million observations, and various DGP architectures with up to 30 hidden layers.",2016,47,115,14,false,Computer Science,Mathematics,3428811,Kurt Cutajar,30561807,Edwin V. Bonilla,143822502,P. Michiardi,3138895,M. Filippone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f7f3c904cfa555bc55d65b4cf40e4a73c09190a7,https://www.semanticscholar.org/paper/f7f3c904cfa555bc55d65b4cf40e4a73c09190a7,Active Task Selection for Lifelong Machine Learning,"
 
 In a lifelong learning framework, an agent acquires knowledge incrementally over consecutive learning tasks, continually building upon its experience. Recent lifelong learning algorithms have achieved nearly identical performance to batch multi-task learning methods while reducing learning time by three orders of magnitude. In this paper, we further improve the scalability of lifelong learning by developing curriculum selection methods that enable an agent to actively select the next task to learn in order to maximize performance on future learning tasks. We demonstrate that active task selection is highly reliable and effective, allowing an agent to learn high performance models using up to 50% fewer tasks than when the agent has no control over the task order. We also explore a variant of transfer learning in the lifelong learning setting in which the agent can focus knowledge acquisition toward a particular target task.
 
",2013,20,62,10,true,Computer Science,,12114845,P. Ruvolo,144020269,Eric Eaton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2748bf26635e1d3a1918fb9316ff9cee06e20ded,https://www.semanticscholar.org/paper/2748bf26635e1d3a1918fb9316ff9cee06e20ded,Machine learning for tracking illegal wildlife trade on social media,,2018,5,119,1,false,Business,Medicine,7852704,E. Di Minin,39402485,Christoph Fink,46406399,H. Tenkanen,3294817,Tuomo Hiippala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
