paperId,url,title,abstract,year,referenceCount,citationCount,influentialCitationCount,isOpenAccess,fieldsOfStudy/0,fieldsOfStudy/1,authors/0/authorId,authors/0/name,authors/1/authorId,authors/1/name,authors/2/authorId,authors/2/name,authors/3/authorId,authors/3/name,authors/4/authorId,authors/4/name,authors/5/authorId,authors/5/name,fieldsOfStudy/2,authors/6/authorId,authors/6/name,authors/7/authorId,authors/7/name,authors/8/authorId,authors/8/name,authors/9/authorId,authors/9/name,authors/10/authorId,authors/10/name,authors/11/authorId,authors/11/name,authors/12/authorId,authors/12/name
62b6c6c7f3cd1583cec342f7483bee4d725a0cca,https://www.semanticscholar.org/paper/62b6c6c7f3cd1583cec342f7483bee4d725a0cca,LoAdaBoost: Loss-based AdaBoost federated machine learning with reduced computational complexity on IID and non-IID intensive care data,"Intensive care data are valuable for improvement of health care, policy making and many other purposes. Vast amount of such data are stored in different locations, on many different devices and in different data silos. Sharing data among different sources is a big challenge due to regulatory, operational and security reasons. One potential solution is federated machine learning, which is a method that sends machine learning algorithms simultaneously to all data sources, trains models in each source and aggregates the learned models. This strategy allows utilization of valuable data without moving them. One challenge in applying federated machine learning is the possibly different distributions of data from diverse sources. To tackle this problem, we proposed an adaptive boosting method named LoAdaBoost that increases the efficiency of federated machine learning. Using intensive care unit data from hospitals, we investigated the performance of learning in IID and non-IID data distribution scenarios, and showed that the proposed LoAdaBoost method achieved higher predictive accuracy with lower computational complexity than the baseline method.",2018,24,64,2,false,Computer Science,Medicine,2143702320,Li Huang,1640266327,Yifeng Yin,2068057580,Z. Fu,50202240,Shifa Zhang,2072970968,Hao Deng,6396156,Dianbo Liu,,,,,,,,,,,,,,,
7ac7b6dbcf5107c7ad0ce29161f60c2834a06795,https://www.semanticscholar.org/paper/7ac7b6dbcf5107c7ad0ce29161f60c2834a06795,Alignment for Advanced Machine Learning Systems,"We survey eight research areas organized around one question: As learning systems become increasingly intelligent and autonomous, what design principles can best ensure that their behavior is aligned with the interests of the operators? We focus on two major technical obstacles to AI alignment: the challenge of specifying the right kind of objective functions, and the challenge of designing AI systems that avoid unintended consequences and undesirable behavior even in cases where the objective function does not line up perfectly with the intentions of the designers. Open problems surveyed in this research proposal include: How can we train reinforcement learners to take actions that are more amenable to meaningful assessment by intelligent overseers? What kinds of objective functions incentivize a system to “not have an overly large impact” or “not have many side effects”? We discuss these questions, related work, and potential directions for future research, with the goal of highlighting relevant research topics in machine learning that appear tractable today.",2020,109,58,4,false,Computer Science,,144364160,Jessica Taylor,2542795,Eliezer Yudkowsky,2254026,Patrick LaVictoire,2651789,Andrew Critch,,,,,,,,,,,,,,,,,,,
7069a994c150b0228c4e471ca48ed55d7646bc62,https://www.semanticscholar.org/paper/7069a994c150b0228c4e471ca48ed55d7646bc62,Fast Visual Tracking via Dense Spatio-temporal Context Learning,,2014,35,665,91,true,Computer Science,,3198263,Kaihua Zhang,36685537,Lei Zhang,48873988,Qingshan Liu,66396175,D. Zhang,1715634,Ming-Hsuan Yang,,,,,,,,,,,,,,,,,
f4f9c7a52882e46fef6bca5e4732f3ca7ddefc65,https://www.semanticscholar.org/paper/f4f9c7a52882e46fef6bca5e4732f3ca7ddefc65,"BioSeq-Analysis: a platform for DNA, RNA and protein sequence analysis based on machine learning approaches","With the avalanche of biological sequences generated in the post-genomic age, one of the most challenging problems is how to computationally analyze their structures and functions. Machine learning techniques are playing key roles in this field. Typically, predictors based on machine learning techniques contain three main steps: feature extraction, predictor construction and performance evaluation. Although several Web servers and stand-alone tools have been developed to facilitate the biological sequence analysis, they only focus on individual step. In this regard, in this study a powerful Web server called BioSeq-Analysis (http://bioinformatics.hitsz.edu.cn/BioSeq-Analysis/) has been proposed to automatically complete the three main steps for constructing a predictor. The user only needs to upload the benchmark data set. BioSeq-Analysis can generate the optimized predictor based on the benchmark data set, and the performance measures can be reported as well. Furthermore, to maximize user's convenience, its stand-alone program was also released, which can be downloaded from http://bioinformatics.hitsz.edu.cn/BioSeq-Analysis/download/, and can be directly run on Windows, Linux and UNIX. Applied to three sequence analysis tasks, experimental results showed that the predictors generated by BioSeq-Analysis even outperformed some state-of-the-art methods. It is anticipated that BioSeq-Analysis will become a useful tool for biological sequence analysis.",2019,118,226,6,false,Biology,Computer Science,47655556,Bin Liu,,,,,,,,,,,Medicine,,,,,,,,,,,,,,
01cb4071a0a43aeef63e5d568ad5afe1fb8b2411,https://www.semanticscholar.org/paper/01cb4071a0a43aeef63e5d568ad5afe1fb8b2411,Domain Separation Networks,"The cost of large scale data collection and annotation often makes the application of machine learning algorithms to new tasks or datasets prohibitively expensive. One approach circumventing this cost is training models on synthetic data where annotations are provided automatically. Despite their appeal, such models often fail to generalize from synthetic to real images, necessitating domain adaptation algorithms to manipulate these models before they can be successfully applied. Existing approaches focus either on mapping representations from one domain to the other, or on learning to extract features that are invariant to the domain from which they were extracted. However, by focusing only on creating a mapping or shared representation between the two domains, they ignore the individual characteristics of each domain. We hypothesize that explicitly modeling what is unique to each domain can improve a model's ability to extract domain-invariant features. Inspired by work on private-shared component analysis, we explicitly learn to extract image representations that are partitioned into two subspaces: one component which is private to each domain and one which is shared across domains. Our model is trained to not only perform the task we care about in the source domain, but also to use the partitioned representation to reconstruct the images from both domains. Our novel architecture results in a model that outperforms the state-of-the-art on a range of unsupervised domain adaptation scenarios and additionally produces visualizations of the private and shared representations enabling interpretation of the domain adaptation process.",2016,34,1045,122,false,Computer Science,,2732737,Konstantinos Bousmalis,2814229,George Trigeorgis,2286640,N. Silberman,1707347,Dilip Krishnan,1761978,D. Erhan,,,,,,,,,,,,,,,,,
4a83b5a3967457b4f6d55396833f43aa3d97ff81,https://www.semanticscholar.org/paper/4a83b5a3967457b4f6d55396833f43aa3d97ff81,Machine fault classification: a neural network approach,"This paper presents a neural network approach for machine fault diagnosis. Specifically, two tasks are explained and discussed: (1) a neural network-based machine fault diagnosis model is developed using the back propagation (BP) learning paradigm; (2) network training efficiency is studied by varying the learning rate and learning momentum of the activation function. The results are presented and discussed.",1992,12,56,1,false,Engineering,,4265272,G. Knapp,2464624,Hsu-Pin Wang,,,,,,,,,,,,,,,,,,,,,,,
c6cf69976f1abc19e4ee4f138d8a49c0e5803b3d,https://www.semanticscholar.org/paper/c6cf69976f1abc19e4ee4f138d8a49c0e5803b3d,Learning machines and sleeping brains: Automatic sleep stage classification using decision-tree multi-class support vector machines,,2015,86,237,13,false,Computer Science,Medicine,2274531,Tarek Lajnef,2716472,S. Chaibi,145310561,P. Ruby,1889169,P. Aguera,4160775,Jean-Baptiste Eichenlaub,3146042,M. Samet,,2480885,A. Kachouri,1714811,K. Jerbi,,,,,,,,,,
6ee1181b36af21e226e4c7c6fcb82bda63c1363a,https://www.semanticscholar.org/paper/6ee1181b36af21e226e4c7c6fcb82bda63c1363a,pCAMP: Performance Comparison of Machine Learning Packages on the Edges,"Machine learning has changed the computing paradigm. Products today are built with machine intelligence as a central attribute, and consumers are beginning to expect near-human interaction with the appliances they use. However, much of the deep learning revolution has been limited to the cloud. Recently, several machine learning packages based on edge devices have been announced which aim to offload the computing to the edges. However, little research has been done to evaluate these packages on the edges, making it difficult for end users to select an appropriate pair of software and hardware. In this paper, we make a performance comparison of several state-of-the-art machine learning packages on the edges, including TensorFlow, Caffe2, MXNet, PyTorch, and TensorFlow Lite. We focus on evaluating the latency, memory footprint, and energy of these tools with two popular types of neural networks on different edge devices. This evaluation not only provides a reference to select appropriate combinations of hardware and software packages for end users but also points out possible future directions to optimize packages for developers.",2019,29,67,5,false,Computer Science,,2153648026,Xingzhou Zhang,2118420197,Yifan Wang,38737155,Weisong Shi,,,,,,,,,,,,,,,,,,,,,
33e1bbb2c76b69f7a2d64d0cf754d1cddc056be1,https://www.semanticscholar.org/paper/33e1bbb2c76b69f7a2d64d0cf754d1cddc056be1,Near-linear time approximation algorithms for optimal transport via Sinkhorn iteration,"Computing optimal transport distances such as the earth mover's distance is a fundamental problem in machine learning, statistics, and computer vision. Despite the recent introduction of several algorithms with good empirical performance, it is unknown whether general optimal transport distances can be approximated in near-linear time. This paper demonstrates that this ambitious goal is in fact achieved by Cuturi's Sinkhorn Distances. This result relies on a new analysis of Sinkhorn iteration, which also directly suggests a new greedy coordinate descent algorithm, Greenkhorn, with the same theoretical guarantees. Numerical simulations illustrate that Greenkhorn significantly outperforms the classical Sinkhorn algorithm in practice.",2017,45,402,52,false,Computer Science,Mathematics,3407979,Jason M. Altschuler,51071691,J. Weed,2352281,P. Rigollet,,,,,,,,,,,,,,,,,,,,,
bf3fd0a26f7d4c4037aa0fb7fa54e947f498bca6,https://www.semanticscholar.org/paper/bf3fd0a26f7d4c4037aa0fb7fa54e947f498bca6,Lowering the barrier to applying machine learning,"Machine learning algorithms are key components in many cutting edge applications of computation. However, the full potential of machine learning has not been realized because using machine learning is hard, even for otherwise tech-savvy developers. This is because developing with machine learning is different than normal programming. My thesis is that developers applying machine learning need new general-purpose tools that provide structure for common processes and common pipelines while remaining flexible to account for variability in problems. In this paper, I describe my efforts to understanding the difficulties that developers face when applying machine learning. I then describe Gestalt, a general-purpose integrated development environment designed the application of machine learning. Finally, I describe work on developing a pattern language for building machine learning systems and creating new techniques that help developers understand the interaction between their data and learning algorithms.",2010,122,29,3,true,Computer Science,,39699737,Kayur Patel,,,,,,,,,,,,,,,,,,,,,,,,,
