paperId,url,title,abstract,year,referenceCount,citationCount,influentialCitationCount,isOpenAccess,fieldsOfStudy/0,authors/0/authorId,authors/0/name,authors/1/authorId,authors/1/name,fieldsOfStudy/1,authors/2/authorId,authors/2/name,fieldsOfStudy/2,authors/3/authorId,authors/3/name,authors/4/authorId,authors/4/name,authors/5/authorId,authors/5/name,authors/6/authorId,authors/6/name,authors/7/authorId,authors/7/name,authors/8/authorId,authors/8/name,authors/9/authorId,authors/9/name,authors/10/authorId,authors/10/name,authors/11/authorId,authors/11/name,authors/12/authorId,authors/12/name,authors/13/authorId,authors/13/name,authors/14/authorId,authors/14/name,authors/15/authorId,authors/15/name,authors/16/authorId,authors/16/name
771dc593e9760ae8decf2a197ddbc2f4cb6f5cfd,https://www.semanticscholar.org/paper/771dc593e9760ae8decf2a197ddbc2f4cb6f5cfd,Bayesian Nonparametric Models,,2010,18,160,2,true,Computer Science,2497523,Peter Orbanz,1725303,Y. Teh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371322935e635ff56c10a74395b6b66a7487fa83,https://www.semanticscholar.org/paper/371322935e635ff56c10a74395b6b66a7487fa83,Deep Multitask Learning for Railway Track Inspection,"Railroad tracks need to be periodically inspected and monitored to ensure safe transportation. Automated track inspection using computer vision and pattern recognition methods has recently shown the potential to improve safety by allowing for more frequent inspections while reducing human errors. Achieving full automation is still very challenging due to the number of different possible failure modes, as well as the broad range of image variations that can potentially trigger false alarms. In addition, the number of defective components is very small, so not many training examples are available for the machine to learn a robust anomaly detector. In this paper, we show that detection performance can be improved by combining multiple detectors within a multitask learning framework. We show that this approach results in improved accuracy for detecting defects on railway ties and fasteners.",2015,54,246,5,true,Engineering,2067146341,Xavier Gibert,1741177,Vishal M. Patel,Computer Science,9215658,R. Chellappa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b78849f7f32323ca1c84ba573c3affe978756580,https://www.semanticscholar.org/paper/b78849f7f32323ca1c84ba573c3affe978756580,Machine learning for cognitive networks : technology assessment and research challenges,"The field of machine learning has made major strides over the last 20 years. This document summarizes the major problem formulations that the discipline has studied, then reviews three tasks in cognitive networking and briefly discusses how aspects of those tasks fit these formulations. After this, it discusses challenges for machine learning research raised by Knowledge Plane applications and closes with proposals for the evaluation of learning systems developed for these problems.",2003,49,48,2,false,Computer Science,144299726,Thomas G. Dietterich,1713919,P. Langley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84165bf3df155ef6e279d5629590072a759589c2,https://www.semanticscholar.org/paper/84165bf3df155ef6e279d5629590072a759589c2,"Mutual information, neural networks and the renormalization group",,2017,42,126,4,true,Computer Science,1389564819,M. Koch-Janusz,9817504,Z. Ringel,Physics,,,Mathematics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7065e52e37ead103f47a0aa076bb556ecc399d56,https://www.semanticscholar.org/paper/7065e52e37ead103f47a0aa076bb556ecc399d56,The State of Machine Learning Methodology in Software Fault Prediction,The aim of this paper is to investigate the quality of methodology in software fault prediction studies using machine learning. Over two hundred studies of fault prediction have been published in the last 10 years. There is evidence to suggest that the quality of methodology used in some of these studies does not allow us to have confidence in the predictions reported by them. We evaluate the machine learning methodology used in 21 fault prediction studies. All of these studies use NASA data sets. We score each study from 1 to 10 in terms of the quality of their machine learning methodology (e.g. whether or not studies report randomising their cross validation folds). Only 10 out of the 21 studies scored 5 or more out of 10. Furthermore 1 study scored only 1 out of 10. When we plot these scores over time there is no evidence that the quality of machine learning methodology is better in recent studies. Our results suggest that there remains much to be done by both researchers and reviewers to improve the quality of machine learning methodology used in software fault prediction. We conclude that the results reported in some studies need to be treated with caution.,2012,47,22,0,false,Computer Science,143936625,T. Hall,143969104,David Bowes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06402538dc0024a1021ff988a637c0cb71dc6ad8,https://www.semanticscholar.org/paper/06402538dc0024a1021ff988a637c0cb71dc6ad8,Unsupervised language acquisition,"Children are exposed to speech and other environmental evidence, from which they learn language. How do they do this? More specifically, how do children map from complex, physical signals to grammars that enable them to generate and interpret new utterances from their language? 
This thesis presents a computational theory of unsupervised language acquisition. By computational we mean that the theory precisely defines procedures for learning language, procedures that have been implemented and tested in the form of computer programs. By unsupervised we mean that the theory explains how language learning can take place with no explicit help from a teacher, but only exposure to ordinary spoken or written utterances. The theory requires very little of the learning environment. For example, it predicts that much knowledge of language can be acquired even in situations where the learner has no access to the meaning of utterances. In this way the theory is extremely conservative, making few or no assumptions that are not obviously true of the situation children learn in. 
The theory is based heavily on concepts borrowed from machine learning and statistical estimation. In particular, learning takes place by fitting a stochastic, generative model of language to the evidence. Thus, the goal of the learner is to acquire a grammar under which the evidence is ""typical"", in a statistical sense. Much of the thesis is devoted to explaining conditions that must hold for this learning strategy to arrive at the desired form of grammar. The thesis introduces a variety of technical innovations, among them a common representation for evidence and grammars that has many linguistically and statistically desirable properties. In this representation, both utterances and parameters in the grammar are represented by composing parameters. A second contribution is a learning strategy that separates the ""content"" of linguistic parameters from their representation. Algorithms based on it suffer from few of the search problems that have plagued other computational approaches to language acquisition. 
The theory has been tested on problems of learning lexicons (vocabularies) from text and speech signals. It performs extremely well on various objective criteria, acquiring knowledge that causes it to assign almost exactly the same linguistic structure to utterances as humans do. The theory has application to data compression, speech recognition, machine translation, information retrieval, and other tasks that rely on either structural or stochastic descriptions of language. (Copies available exclusively from MIT Libraries, Rm. 14-0551, Cambridge, MA 02139-4307. Ph. 617-253-5668; Fax 617-253-1690.)",1996,150,252,14,false,Computer Science,8184544,C. D. Marcken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bb85ce38e114489fca36a4c5ab09a500f04edee4,https://www.semanticscholar.org/paper/bb85ce38e114489fca36a4c5ab09a500f04edee4,Unsupervised and semi-supervised extreme learning machine with wavelet kernel for high dimensional data,,2017,25,35,1,false,Computer Science,47899254,Nan Zhang,2066430561,Shifei Ding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4b9955402487fce0a69a8dcf4df177b2169d15ab,https://www.semanticscholar.org/paper/4b9955402487fce0a69a8dcf4df177b2169d15ab,Artificial intelligence in medical imaging of the liver,"Artificial intelligence (AI), particularly deep learning algorithms, is gaining extensive attention for its excellent performance in image-recognition tasks. They can automatically make a quantitative assessment of complex medical image characteristics and achieve an increased accuracy for diagnosis with higher efficiency. AI is widely used and getting increasingly popular in the medical imaging of the liver, including radiology, ultrasound, and nuclear medicine. AI can assist physicians to make more accurate and reproductive imaging diagnosis and also reduce the physicians’ workload. This article illustrates basic technical knowledge about AI, including traditional machine learning and deep learning algorithms, especially convolutional neural networks, and their clinical application in the medical imaging of liver diseases, such as detecting and evaluating focal liver lesions, facilitating treatment, and predicting liver treatment response. We conclude that machine-assisted medical services will be a promising solution for future liver medical care. Lastly, we discuss the challenges and future directions of clinical application of deep learning techniques.",2019,65,90,1,false,Computer Science,2157516233,Li-Qiang Zhou,2110271911,Jia-Yu Wang,Medicine,2116495420,Song-Yuan Yu,,82254265,Ge-Ge Wu,2114826983,Qi Wei,80240642,Youbin Deng,48661908,Xingxing Wu,144359513,X. Cui,145281006,C. Dietrich,,,,,,,,,,,,,,,,
f18aa6fd43b3de04c54d69f13b917fd6adab4b28,https://www.semanticscholar.org/paper/f18aa6fd43b3de04c54d69f13b917fd6adab4b28,First experiences of using semantic knowledge learned by ASIUM for information extraction task using INTEX,"Our aim in this article is to show how semantic knowledge learned for a specific domain can help the creating of a powerful information extraction system. We describe a first experiment of coupling an information extraction system based and the machine learning system ASIUM. We will show how semantic knowledge learned by ASIUM helps the user to write an information extraction system more efficiently, in reducing the time spent on the development of resources. Our approach will be compared to the European ECRAN project, that aims at the same result, regarding development time and performances.",2000,34,112,7,false,Computer Science,2061423391,David Faure,1736763,T. Poibeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbde0306f1d580b445b8d6ef6b3c3262395de5a4,https://www.semanticscholar.org/paper/cbde0306f1d580b445b8d6ef6b3c3262395de5a4,A 1 TOPS/W Analog Deep Machine-Learning Engine With Floating-Gate Storage in 0.13 µm CMOS,"An analog implementation of a deep machine-learning system for efficient feature extraction is presented in this work. It features online unsupervised trainability and non-volatile floating-gate analog storage. It utilizes a massively parallel reconfigurable current-mode analog architecture to realize efficient computation, and leverages algorithm-level feedback to provide robustness to circuit imperfections in analog signal processing. A 3-layer, 7-node analog deep machine-learning engine was fabricated in a 0.13 μm standard CMOS process, occupying 0.36 mm 2 active area. At a processing speed of 8300 input vectors per second, it consumes 11.4 μW from the 3 V supply, achieving 1×10 12 operation per second per Watt of peak energy efficiency. Measurement demonstrates real-time cluster analysis, and feature extraction for pattern recognition with 8-fold dimension reduction with an accuracy comparable to the floating-point software simulation baseline.",2014,61,110,10,false,Computer Science,2257194,Junjie Lu,144266132,Steven R. Young,,1804314,I. Arel,,144057592,J. Holleman,,,,,,,,,,,,,,,,,,,,,,,,,,
486edf39b88ad34db11628887a9e7b799ece43b9,https://www.semanticscholar.org/paper/486edf39b88ad34db11628887a9e7b799ece43b9,Extreme re-balancing for SVMs: a case study,"There are many practical applications where learning from single class examples is either, the only possible solution, or has a distinct performance advantage. The first case occurs when obtaining examples of a second class is difficult, e.g., classifying sites of ""interest"" based on web accesses. The second situation is exemplified by the gene knock-out experiments for understanding Aryl Hydrocarbon Receptor signalling pathway that provided the data for the second task of the KDD 2002 Cup, where minority one-class SVMs significantly outperform models learnt using examples from both classes.This paper explores the limits of supervised learning of a two class discrimination from data with heavily unbalanced class proportions. We focus on the case of supervised learning with support vector machines. We consider the impact of both sampling and weighting imbalance compensation techniques and then extend the balancing to extreme situations when one of the classes is ignored completely and the learning is accomplished using examples from a single class.Our investigation with the data for KDD 2002 Cup as well as text benchmarks such as Reuters Newswire shows that there is a consistent pattern of performance differences between one and two-class learning for all SVMs investigated, and these patterns persist even with aggressive dimensionality reduction through automated feature selection. Using insight gained from the above analysis, we generate synthetic data showing similar pattern of performance.",2004,24,340,16,false,Computer Science,1693373,Bhavani Raskutti,97484233,A. Kowalczyk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d5c26e47890f90d7b9ff64f9b395ff4210349b1b,https://www.semanticscholar.org/paper/d5c26e47890f90d7b9ff64f9b395ff4210349b1b,Robust Estimators in High Dimensions without the Computational Intractability,"We study high-dimensional distribution learning in an agnostic setting where an adversary is allowed to arbitrarily corrupt an epsilon fraction of the samples. Such questions have a rich history spanning statistics, machine learning and theoretical computer science. Even in the most basic settings, the only known approaches are either computationally inefficient or lose dimension dependent factors in their error guarantees. This raises the following question: Is high-dimensional agnostic distribution learning even possible, algorithmically? In this work, we obtain the first computationally efficient algorithms for agnostically learning several fundamental classes of high-dimensional distributions: (1) a single Gaussian, (2) a product distribution on the hypercube, (3) mixtures of two product distributions (under a natural balancedness condition), and (4) mixtures of k Gaussians with identical spherical covariances. All our algorithms achieve error that is independent of the dimension, and in many cases depends nearly-linearly on the fraction of adversarially corrupted samples. Moreover, we develop a general recipe for detecting and correcting corruptions in high-dimensions, that may be applicable to many other problems.",2016,97,383,46,true,Computer Science,1808354,Ilias Diakonikolas,143835728,Gautam Kamath,Mathematics,2452522,D. Kane,,46276596,J. Li,1690962,Ankur Moitra,144369932,Alistair Stewart,,,,,,,,,,,,,,,,,,,,,,
4dc1a7844c0f9500e0b6fe4c6c137b543471f356,https://www.semanticscholar.org/paper/4dc1a7844c0f9500e0b6fe4c6c137b543471f356,What can Android mobile app developers do about the energy consumption of machine learning?,,2018,63,34,0,false,Computer Science,2054054349,Andrea K. McIntosh,35706963,Safwat Hassan,,145369636,Abram Hindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381217c09f6c5463ae89c4c248d3a77df87fe56a,https://www.semanticscholar.org/paper/381217c09f6c5463ae89c4c248d3a77df87fe56a,Novel jet observables from machine learning,,2017,53,57,0,true,Physics,2057333926,Kaustuv Datta,31917262,A. Larkoski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
