paperId,url,title,abstract,year,referenceCount,citationCount,influentialCitationCount,isOpenAccess,fieldsOfStudy/0,fieldsOfStudy/1,fieldsOfStudy/2,authors/0/authorId,authors/0/name,authors/1/authorId,authors/1/name,authors/2/authorId,authors/2/name,authors/3/authorId,authors/3/name,authors/4/authorId,authors/4/name,authors/5/authorId,authors/5/name,authors/6/authorId,authors/6/name,authors/7/authorId,authors/7/name,authors/8/authorId,authors/8/name,fieldsOfStudy/3,authors/9/authorId,authors/9/name,authors/10/authorId,authors/10/name,authors/11/authorId,authors/11/name,authors/12/authorId,authors/12/name,authors/13/authorId,authors/13/name
89c2a023e0eb3d46bfa9e849e77afb83d6d870f4,https://www.semanticscholar.org/paper/89c2a023e0eb3d46bfa9e849e77afb83d6d870f4,Machine learning and excited-state molecular dynamics,"Machine learning is employed at an increasing rate in the research field of quantum chemistry. While the majority of approaches target the investigation of chemical systems in their electronic ground state, the inclusion of light into the processes leads to electronically excited states and gives rise to several new challenges. Here, we survey recent advances for excited-state dynamics based on machine learning. In doing so, we highlight successes, pitfalls, challenges and future avenues for machine learning approaches for light-induced molecular processes.",2020,306,28,0,False,Computer Science,Physics,Mathematics,90050189,J. Westermayr,4850899.0,P. Marquetand,,,,,,,,,,,,,,,,,,,,,,,,,
508571db5d2f77c17d2829878bb1dc645010dda8,https://www.semanticscholar.org/paper/508571db5d2f77c17d2829878bb1dc645010dda8,A Comparative Analysis of Methods for Pruning Decision Trees,"In this paper, we address the problem of retrospectively pruning decision trees induced from data, according to a top-down approach. This problem has received considerable attention in the areas of pattern recognition and machine learning, and many distinct methods have been proposed in literature. We make a comparative study of six well-known pruning methods with the aim of understanding their theoretical foundations, their computational complexity, and the strengths and weaknesses of their formulation. Comments on the characteristics of each method are empirically supported. In particular, a wide experimentation performed on several data sets leads us to opposite conclusions on the predictive accuracy of simplified trees from some drawn in the literature. We attribute this divergence to differences in experimental designs. Finally, we prove and make use of a property of the reduced error pruning method to obtain an objective evaluation of the tendency to overprune/underprune observed in each method.",1997,27,554,35,False,Computer Science,,,1700821,F. Esposito,1738657.0,D. Malerba,145467353.0,G. Semeraro,,,,,,,,,,,,,,,,,,,,,,,
0dd8bf3c15c19355846719d8eaf300d6954dac95,https://www.semanticscholar.org/paper/0dd8bf3c15c19355846719d8eaf300d6954dac95,A Survey of Machine Learning Techniques Applied to Self-Organizing Cellular Networks,"In this paper, a survey of the literature of the past 15 years involving machine learning (ML) algorithms applied to self-organizing cellular networks is performed. In order for future networks to overcome the current limitations and address the issues of current cellular systems, it is clear that more intelligence needs to be deployed so that a fully autonomous and flexible network can be enabled. This paper focuses on the learning perspective of self-organizing networks (SON) solutions and provides, not only an overview of the most common ML techniques encountered in cellular networks but also manages to classify each paper in terms of its learning solution, while also giving some examples. The authors also classify each paper in terms of its self-organizing use-case and discuss how each proposed solution performed. In addition, a comparison between the most commonly found ML algorithms in terms of certain SON metrics is performed and general guidelines on when to choose each ML algorithm for each SON function are proposed. Lastly, this paper also provides future research directions and new paradigms that the use of more robust and intelligent algorithms, together with data gathered by operators, can bring to the cellular networks domain and fully enable the concept of SON in the near future.",2017,273,301,16,True,Computer Science,,,30927268,P. V. Klaine,143948770.0,M. Imran,2929470.0,Oluwakayode Onireti,1705996.0,R. Souza,,,,,,,,,,,,,,,,,,,,,
fbe6553641ce3c6a1914ef5d9f8797fa762c8bad,https://www.semanticscholar.org/paper/fbe6553641ce3c6a1914ef5d9f8797fa762c8bad,Chained Anomaly Detection Models for Federated Learning: An Intrusion Detection Case Study,"The adoption of machine learning and deep learning is on the rise in the cybersecurity domain where these AI methods help strengthen traditional system monitoring and threat detection solutions. However, adversaries too are becoming more effective in concealing malicious behavior amongst large amounts of benign behavior data. To address the increasing time-to-detection of these stealthy attacks, interconnected and federated learning systems can improve the detection of malicious behavior by joining forces and pooling together monitoring data. The major challenge that we address in this work is that in a federated learning setup, an adversary has many more opportunities to poison one of the local machine learning models with malicious training samples, thereby influencing the outcome of the federated learning and evading detection. We present a solution where contributing parties in federated learning can be held accountable and have their model updates audited. We describe a permissioned blockchain-based federated learning method where incremental updates to an anomaly detection machine learning model are chained together on the distributed ledger. By integrating federated learning with blockchain technology, our solution supports the auditing of machine learning models without the necessity to centralize the training data. Experiments with a realistic intrusion detection use case and an autoencoder for anomaly detection illustrate that the increased complexity caused by blockchain technology has a limited performance impact on the federated learning, varying between 5 and 15%, while providing full transparency over the distributed training process of the neural network. Furthermore, our blockchain-based federated learning solution can be generalized and applied to more sophisticated neural network architectures and other use cases.",2018,42,109,8,True,Computer Science,,,1722184,D. Preuveneers,23974422.0,Vera Rimmer,103060139.0,Ilias Tsingenopoulos,2967638.0,Jan Spooren,1752104.0,W. Joosen,1410421035.0,E. Ilie-Zudor,,,,,,,,,,,,,,,,,
29e6b12d3c6cd55e04bdfb9c22201f99578f4080,https://www.semanticscholar.org/paper/29e6b12d3c6cd55e04bdfb9c22201f99578f4080,"Federated Learning for Internet of Things: Recent Advances, Taxonomy, and Open Challenges","The Internet of Things (IoT) will be ripe for the deployment of novel machine learning algorithm for both network and application management. However, given the presence of massively distributed and private datasets, it is challenging to use classical centralized learning algorithms in the IoT. To overcome this challenge, federated learning can be a promising solution that enables on-device machine learning without the need to migrate the private end-user data to a central cloud. In federated learning, only learning model updates are transferred between end-devices and the aggregation server. Although federated learning can offer better privacy preservation than centralized machine learning, it has still privacy concerns. In this paper, first, we present the recent advances of federated learning towards enabling federated learning-powered IoT applications. A set of metrics such as sparsification, robustness, quantization, scalability, security, and privacy, is delineated in order to rigorously evaluate the recent advances. Second, we devise a taxonomy for federated learning over IoT networks. Finally, we present several open research challenges with their possible solutions.",2020,182,117,2,True,Computer Science,,,2280048,L. U. Khan,145412074.0,W. Saad,145169163.0,Zhu Han,144158811.0,E. Hossain,143849708.0,C. Hong,,,,,,,,,,,,,,,,,,,
1f4a4769e4d2fb846e59c2f185e0377190739f18,https://www.semanticscholar.org/paper/1f4a4769e4d2fb846e59c2f185e0377190739f18,Learning Structured Embeddings of Knowledge Bases,"
 
 Many Knowledge Bases (KBs) are now readily available and encompass colossal quantities of information thanks to either a long-term funding effort (e.g. WordNet, OpenCyc) or a collaborative process (e.g. Freebase, DBpedia). However, each of them is based on a different rigorous symbolic framework which makes it hard to use their data in other systems. It is unfortunate because such rich structured knowledge might lead to a huge leap forward in many other areas of AI like nat- ural language processing (word-sense disambiguation, natural language understanding, ...), vision (scene classification, image semantic annotation, ...) or collaborative filtering. In this paper, we present a learning process based on an innovative neural network architecture designed to embed any of these symbolic representations into a more flexible continuous vector space in which the original knowledge is kept and enhanced. These learnt embeddings would allow data from any KB to be easily used in recent machine learning meth- ods for prediction and information retrieval. We illustrate our method on WordNet and Freebase and also present a way to adapt it to knowledge extraction from raw text.
 
",2011,23,798,89,True,Computer Science,Mathematics,,1713934,Antoine Bordes,145183709.0,J. Weston,2939803.0,Ronan Collobert,1751762.0,Yoshua Bengio,,,,,,,,,,,,,,,,,,,,,
ddacf4b9dea711d2ac50f0d6a29e62f3cd96bccb,https://www.semanticscholar.org/paper/ddacf4b9dea711d2ac50f0d6a29e62f3cd96bccb,Applications of support vector machines to speech recognition,"Recent work in machine learning has focused on models, such as the support vector machine (SVM), that automatically control generalization and parameterization as part of the overall optimization process. In this paper, we show that SVMs provide a significant improvement in performance on a static pattern classification task based on the Deterding vowel data. We also describe an application of SVMs to large vocabulary speech recognition and demonstrate an improvement in error rate on a continuous alphadigit task (OGI Alphadigits) and a large vocabulary conversational speech task (Switchboard). Issues related to the development and optimization of an SVM/HMM hybrid system are discussed.",2004,66,292,12,False,Computer Science,,,1782807,A. Ganapathiraju,144170973.0,J. Hamaker,1744408.0,J. Picone,,,,,,,,,,,,,,,,,,,,,,,
779e4492f1cf93fe9d92f58e70ee56003e3c5970,https://www.semanticscholar.org/paper/779e4492f1cf93fe9d92f58e70ee56003e3c5970,Big data and black-box medical algorithms,"New machine-learning techniques entering medicine present challenges in validation, regulation, and integration into practice. New machine-learning techniques entering medicine present challenges in validation, regulation, and integration into practice.",2018,15,89,0,True,Medicine,Computer Science,,40503754,W. Price,,,,,,,,,,,,,,,,,,,,,,,,,,,
274c938a70de1afb9ef1489cab2186c1d699725e,https://www.semanticscholar.org/paper/274c938a70de1afb9ef1489cab2186c1d699725e,Electricity Price Forecasting With Extreme Learning Machine and Bootstrapping,"Artificial neural networks (ANNs) have been widely applied in electricity price forecasts due to their nonlinear modeling capabilities. However, it is well known that in general, traditional training methods for ANNs such as back-propagation (BP) approach are normally slow and it could be trapped into local optima. In this paper, a fast electricity market price forecast method is proposed based on a recently emerged learning method for single hidden layer feed-forward neural networks, the extreme learning machine (ELM), to overcome these drawbacks. The new approach also has improved price intervals forecast accuracy by incorporating bootstrapping method for uncertainty estimations. Case studies based on chaos time series and Australian National Electricity Market price series show that the proposed method can effectively capture the nonlinearity from the highly volatile price data series with much less computation time compared with other methods. The results show the great potential of this proposed approach for online accurate price forecasting for the spot market prices analysis.",2012,41,214,12,False,Engineering,,,2109481241,Xia Chen,144402926.0,Z. Dong,145734483.0,K. Meng,2118040272.0,Yan Xu,144568755.0,K. Wong,144948800.0,H. Ngan,,,,,,,,,,,,,,,,,
e0f05b84b81a0416b849e604b14f92d573c51635,https://www.semanticscholar.org/paper/e0f05b84b81a0416b849e604b14f92d573c51635,Building Domain-Specific Search Engines with Machine Learning Techniques,"Domain-specific search engines are growing in popularity because they offer increased accuracy and extra functionality not possible with the general, Web-wide search engines. For example, www.campsearch.com allows complex queries by age-group, size, location and cost over .summer camps. Unfortunately these domain-specific search engines are difficult and timeconsuming to maintain. This paper proposes the use of machine learning techniques to greatly automate the creation and maintenance of domain-specific search engines. We describe new research in reinforcement learning, information extraction and text classification that enables efficient spidering, identifying informative text segments, and populating topic hierarchies. Using these techniques, we have built a demonstration system: a search engine for computer science research papers. It already contaius over 50,000 papers and is publicly available at ~w. cora.justres earch, com.",1999,25,171,8,False,Computer Science,,,143753639,A. McCallum,145172877.0,K. Nigam,35211659.0,Jason D. M. Rennie,2544946.0,K. Seymore,,,,,,,,,,,,,,,,,,,,,
