paperId,url,title,abstract,year,referenceCount,citationCount,influentialCitationCount,isOpenAccess,fieldsOfStudy/0,fieldsOfStudy/1,authors/0/authorId,authors/0/name,authors/1/authorId,authors/1/name,authors/2/authorId,authors/2/name,authors/3/authorId,authors/3/name,authors/4/authorId,authors/4/name,authors/5/authorId,authors/5/name,fieldsOfStudy/2,fieldsOfStudy/3,authors/6/authorId,authors/6/name,authors/7/authorId,authors/7/name,authors/8/authorId,authors/8/name,authors/9/authorId,authors/9/name,authors/10/authorId,authors/10/name,authors/11/authorId,authors/11/name,authors/12/authorId,authors/12/name,authors/13/authorId,authors/13/name,authors/14/authorId,authors/14/name,authors/15/authorId,authors/15/name,authors/16/authorId,authors/16/name,authors/17/authorId,authors/17/name,authors/18/authorId,authors/18/name,authors/19/authorId,authors/19/name
8229fc91f497e40a9092d4544248491fe40203e7,https://www.semanticscholar.org/paper/8229fc91f497e40a9092d4544248491fe40203e7,Sparse Bayesian nonparametric regression,"One of the most common problems in machine learning and statistics consists of estimating the mean response <i>Xβ</i> from a vector of observations <i>y</i> assuming <i>y</i> = <i>Xβ</i> + <i>ε</i> where <i>X</i> is known, β is a vector of parameters of interest and <i>ε</i> a vector of stochastic errors. We are particularly interested here in the case where the dimension <i>K</i> of β is much higher than the dimension of <i>y</i>. We propose some flexible Bayesian models which can yield sparse estimates of β. We show that as <i>K</i> → ∞ these models are closely related to a class of Lévy processes. Simulations demonstrate that our models outperform significantly a range of popular alternatives.",2008,23,105,14,True,Mathematics,Computer Science,1774837,F. Caron,1701800.0,A. Doucet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa917268d42bf36ee31a442b47cf578b9c4143f3,https://www.semanticscholar.org/paper/fa917268d42bf36ee31a442b47cf578b9c4143f3,Georgia Institute of Technology,"Interactive and intelligent computing is an emerging discipline on the frontier of ways computation impacts the external world. The School of Interactive Computing advances computing-mediated interactions by encompassing fields ranging from artificial intelligence and machine learning to graphics and computer vision to interface design and empirical methods. We don't just evaluate technology, we create technology that makes interactions better. Much of the research within the School of Interactive Computing produces new artifacts that embody new capabilities or methods. Examples include:",2002,47,269,8,False,,,2100834673,Music Musi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0f5954b91a2f7bdd343caecab123cf077f566fb4,https://www.semanticscholar.org/paper/0f5954b91a2f7bdd343caecab123cf077f566fb4,"Going Deep in Medical Image Analysis: Concepts, Methods, Challenges, and Future Directions","Medical image analysis is currently experiencing a paradigm shift due to deep learning. This technology has recently attracted so much interest of the Medical Imaging Community that it led to a specialized conference in “Medical Imaging with Deep Learning” in the year 2018. This paper surveys the recent developments in this direction and provides a critical review of the related major aspects. We organize the reviewed literature according to the underlying pattern recognition tasks and further sub-categorize it following a taxonomy based on human anatomy. This paper does not assume prior knowledge of deep learning and makes a significant contribution in explaining the core deep learning concepts to the non-experts in the Medical Community. This paper provides a unique computer vision/machine learning perspective taken on the advances of deep learning in medical imaging. This enables us to single out “lack of appropriately annotated large-scale data sets” as the core challenge (among other challenges) in this research direction. We draw on the insights from the sister research fields of computer vision, pattern recognition, and machine learning, where the techniques of dealing with such challenges have already matured, to provide promising directions for the Medical Imaging Community to fully harness deep learning in the future.",2019,322,116,8,True,Computer Science,,48438050,F. Altaf,2112527803.0,S. M. Islam,47398812.0,Naveed Akhtar,1979066.0,N. Janjua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ebcf6037c0aae64a65e3fc7b058b806defbe22c,https://www.semanticscholar.org/paper/0ebcf6037c0aae64a65e3fc7b058b806defbe22c,VILLAGE - Virtual Immersive Language Learning and Gaming Environment: Immersion and presence,"3 D virtual worlds are promising for immersive learning in English as a Foreign Language ( EFL). Unlike English as a Second Language ( ESL), EFL typically takes place in the learners' home countries, and the potential of the language is limited by geography. Although learning contexts where English is spoken is important, in most EFL courses at the college level, EFL is taught by acquiring vocabularies, grammar and pragmatic features without contextual immersion. In this study, an immersive English learning environment in a 3 D virtual world, Open Simulator, was developed with two key learning artifacts, chatbot and time machine. A single-factor, independent measures design was used to examines learners' presence under four learning conditions: virtual learning environment without digital learning artifacts ( VE), virtual learning environment with chatbot ( VEC), virtual learning environment with time machine ( VETM) and virtual learning environment with chatbot and time machine ( VECTM). Three research questions emerging from the four learning conditions form the backbone of this study: (1) Does chatbot increase language learners' presence in the immersive virtual English learning environment? (2) Does time machine increase language learners' presence in the immersive virtual English learning environment? (3) Does the combined use of chatbot and time machine increase presence more than either learning artifact alone? The experimental results indicate that the chatbot and time machine increase the learners' sense of immersion and presence. Best design practices should address how immersion and presence can be integrated into affordances of virtual worlds. [ABSTRACT FROM AUTHOR]",2017,24,51,2,False,Computer Science,,2115568428,Yifei Wang,9675772.0,S. Petrina,46782202.0,Franc Feng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c31b35fbac605b6c47e29eae1c68ba0c267ebd09,https://www.semanticscholar.org/paper/c31b35fbac605b6c47e29eae1c68ba0c267ebd09,Software Defect Identification Using Machine Learning Techniques,"Software engineering is a tedious job that includes people, tight deadlines and limited budgets. Delivering what customer wants involves minimizing the defects in the programs. Hence, it is important to establish quality measures early on in the project life cycle. The main objective of this research is to analyze problems in software code and propose a model that will help catching those problems earlier in the project life cycle. Our proposed model uses machine learning methods. Principal component analysis is used for dimensionality reduction, and decision tree, multi layer perceptron and radial basis functions are used for defect prediction. The experiments in this research are carried out with different software metric datasets that are obtained from real-life projects of three big software companies in Turkey. We can say that, the improved method that we proposed brings out satisfactory results in terms of defect prediction",2006,18,61,2,False,Computer Science,,15371442,Evren Ceylan,2530616.0,F. O. Kutlubay,1730000.0,A. Bener,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817f5e02d30195305e8e7f9f7e036152b48faf53,https://www.semanticscholar.org/paper/817f5e02d30195305e8e7f9f7e036152b48faf53,Evaluating Late Blight Severity in Potato Crops Using Unmanned Aerial Vehicles and Machine Learning Algorithms,"This work presents quantitative prediction of severity of the disease caused by Phytophthora infestans in potato crops using machine learning algorithms such as multilayer perceptron, deep learning convolutional neural networks, support vector regression, and random forests. The machine learning algorithms are trained using datasets extracted from multispectral data captured at the canopy level with an unmanned aerial vehicle, carrying an inexpensive digital camera. The results indicate that deep learning convolutional neural networks, random forests and multilayer perceptron using band differences can predict the level of Phytophthora infestans affectation on potato crops with acceptable accuracy.",2018,39,60,4,True,Computer Science,Geology,1397244014,J. Duarte-Carvajalino,2064606609.0,Diego F. Alzate,144909163.0,Andrés A. Ramirez,1423439241.0,Juan D. Santa-Sepulveda,1423438724.0,Alexandra E. Fajardo-Rojas,1490706353.0,Mauricio Soto-Suárez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93e348038aebdc6b4c728527635a06d72d261f4f,https://www.semanticscholar.org/paper/93e348038aebdc6b4c728527635a06d72d261f4f,ASD-DiagNet: A Hybrid Learning Approach for Detection of Autism Spectrum Disorder Using fMRI Data,"Heterogeneous mental disorders such as Autism Spectrum Disorder (ASD) are notoriously difficult to diagnose, especially in children. The current psychiatric diagnostic process is based purely on the behavioral observation of symptomology (DSM-5/ICD-10) and may be prone to misdiagnosis. In order to move the field toward more quantitative diagnosis, we need advanced and scalable machine learning infrastructure that will allow us to identify reliable biomarkers of mental health disorders. In this paper, we propose a framework called ASD-DiagNet for classifying subjects with ASD from healthy subjects by using only fMRI data. We designed and implemented a joint learning procedure using an autoencoder and a single layer perceptron (SLP) which results in improved quality of extracted features and optimized parameters for the model. Further, we designed and implemented a data augmentation strategy, based on linear interpolation on available feature vectors, that allows us to produce synthetic datasets needed for training of machine learning models. The proposed approach is evaluated on a public dataset provided by Autism Brain Imaging Data Exchange including 1, 035 subjects coming from 17 different brain imaging centers. Our machine learning model outperforms other state of the art methods from 10 imaging centers with increase in classification accuracy up to 28% with maximum accuracy of 82%. The machine learning technique presented in this paper, in addition to yielding better quality, gives enormous advantages in terms of execution time (40 min vs. 7 h on other methods). The implemented code is available as GPL license on GitHub portal of our lab (https://github.com/pcdslab/ASD-DiagNet).",2019,62,111,6,True,Computer Science,Engineering,23131613,Taban Eslami,2067221484.0,Vahid Mirjalili,32250369.0,A. Fong,8075165.0,A. Laird,145052952.0,F. Saeed,,,Mathematics,Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d9cb035237c76349015373fec54a1b07ce2f4503,https://www.semanticscholar.org/paper/d9cb035237c76349015373fec54a1b07ce2f4503,Accelerated Coordinate Descent with Adaptive Coordinate Frequencies,"Coordinate descent (CD) algorithms have become the method of choice for solving a number of machine learning tasks. They are particularly popular for training linear models, includ- ing linear support vector machine classication, LASSO regression, and logistic regression. We propose an extension of the CD algorithm, called the adaptive coordinate frequencies (ACF) method. This modied CD scheme does not treat all coordinates equally, in that it does not pick all coordinates equally often for optimization. Instead the relative frequen- cies of coordinates are subject to online adaptation. The resulting optimization scheme can result in signicant speed-ups. We demonstrate the usefulness of our approach on a number of large scale machine learning problems.",2013,19,29,1,False,Mathematics,Computer Science,1756710,T. Glasmachers,2154404.0,Ü. Dogan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9c93dd3ea94a3e81e6240a51968ad6f1d40380f3,https://www.semanticscholar.org/paper/9c93dd3ea94a3e81e6240a51968ad6f1d40380f3,Automatic classification of citation function,"Citation function is defined as the author's reason for citing a given paper (e.g. acknowledgement of the use of the cited method). The automatic recognition of the rhetorical function of citations in scientific text has many applications, from improvement of impact factor calculations to text summarisation and more informative citation indexers. We show that our annotation scheme for citation function is reliable, and present a supervised machine learning framework to automatically classify citation function, using both shallow and linguistically-inspired features. We find, amongst other things, a strong relationship between citation function and sentiment classification.",2006,43,435,67,True,Computer Science,,2480901,Simone Teufel,1722590.0,Advaith Siddharthan,2542428.0,Dan Tidhar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77332906ee0dabba93ddf6a088d80d8b13329574,https://www.semanticscholar.org/paper/77332906ee0dabba93ddf6a088d80d8b13329574,Low-Rank Tensor Networks for Dimensionality Reduction and Large-Scale Optimization Problems: Perspectives and Challenges PART 1,"Machine learning and data mining algorithms are becoming increasingly important in analyzing large volume, multi-relational and ∗Copyright A.Cichocki et al. Please make reference to: A. Cichocki, N. Lee, I. Oseledets, A.-H. Phan, Q. Zhao and D.P. Mandic (2016), “Tensor Networks for Dimensionality Reduction and Large-scale Optimization: Part 1 Low-Rank Tensor Decompositions”, Foundations and Trends in Machine Learning: Vol. 9: No. 4-5, pp 249-429.",2016,327,81,6,True,Computer Science,,145683892,A. Cichocki,1777061.0,Namgil Lee,1738205.0,I. Oseledets,9377326.0,A. Phan,144251712.0,Qibin Zhao,9368519.0,D. Mandic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
