paperId,url,title,abstract,year,referenceCount,citationCount,influentialCitationCount,isOpenAccess,fieldsOfStudy/0,fieldsOfStudy/1,authors/0/authorId,authors/0/name,authors/1/authorId,authors/1/name,authors/2/authorId,authors/2/name,authors/3/authorId,authors/3/name,authors/4/authorId,authors/4/name,authors/5/authorId,authors/5/name,authors/6/authorId,authors/6/name,authors/7/authorId,authors/7/name,authors/8/authorId,authors/8/name,authors/9/authorId,authors/9/name,authors/10/authorId,authors/10/name,authors/11/authorId,authors/11/name,authors/12/authorId,authors/12/name,authors/13/authorId,authors/13/name,authors/14/authorId,authors/14/name,authors/15/authorId,authors/15/name,authors/16/authorId,authors/16/name,authors/17/authorId,authors/17/name,authors/18/authorId,authors/18/name,authors/19/authorId,authors/19/name,fieldsOfStudy/2,fieldsOfStudy/3
403333e80da4be137710b7c48c2f0a15cd196455,https://www.semanticscholar.org/paper/403333e80da4be137710b7c48c2f0a15cd196455,Machine Learning Techniques in Optical Communication,"Machine learning techniques relevant for nonlinearity mitigation, carrier recovery, and nanoscale device characterization are reviewed and employed. Markov Chain Monte Carlo in combination with Bayesian filtering is employed within the nonlinear state-space framework and demonstrated for parameter estimation. It is shown that the time-varying effects of cross-phase modulation (XPM) induced polarization scattering and phase noise can be formulated within the nonlinear state-space model (SSM). This allows for tracking and compensation of the XPM induced impairments by employing approximate stochastic filtering methods such as extended Kalman or particle filtering. The achievable gains are dependent on the autocorrelation (AC) function properties of the impairments under consideration which is strongly dependent on the transmissions scenario. The gain of the compensation method are therefore investigated by varying the parameters of the AC function describing XPM-induced polarization scattering and phase noise. It is shown that an increase in the nonlinear tolerance of more than 2 dB is achievable for 32 Gbaud QPSK and 16-quadratic-amplitude modulation (QAM). It is also reviewed how laser rate equations can be formulated within the nonlinear state-space framework which allows for tracking of nonLorentzian laser phase noise lineshapes. It is experimentally demonstrated for 28 Gbaud 16-QAM signals that if the laser phase noise shape strongly deviates from the Lorentzian, phase noise tracking algorithms employing rate equation-based SSM result in a significant performance improvement (>8 dB) compared to traditional approaches using digital phase-locked loop. Finally, Gaussian mixture model is reviewed and employed for nonlinear phase noise compensation and characterization of nanoscale devices structure variations.",2015,30,162,2,False,Mathematics,Computer Science,2735803,D. Zibar,3630976.0,M. Piels,2158596750.0,R. Jones,39228587.0,C. Schaeffer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d7f4d7d9acfe8b89a88ab45ee8480adb7fd0489,https://www.semanticscholar.org/paper/5d7f4d7d9acfe8b89a88ab45ee8480adb7fd0489,Bundle Methods for Regularized Risk Minimization,"A wide variety of machine learning problems can be described as minimizing a regularized risk functional, with different algorithms using different notions of risk and different regularizers. Examples include linear Support Vector Machines (SVMs), Gaussian Processes, Logistic Regression, Conditional Random Fields (CRFs), and Lasso amongst others. This paper describes the theory and implementation of a scalable and modular convex solver which solves all these estimation problems. It can be parallelized on a cluster of workstations, allows for data-locality, and can deal with regularizers such as L1 and L2 penalties. In addition to the unified framework we present tight convergence bounds, which show that our algorithm converges in O(1/e) steps to e precision for general convex problems and in O(log (1/e)) steps for continuously differentiable problems. We demonstrate the performance of our general purpose solver on a variety of publicly available data sets.",2010,95,275,35,False,Mathematics,Computer Science,37077406,C. Teo,145713876.0,S. Vishwanathan,46234526.0,Alex Smola,2827616.0,Quoc V. Le,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726af4cfc44d1b8d20a104d2cf045d47f66b0428,https://www.semanticscholar.org/paper/726af4cfc44d1b8d20a104d2cf045d47f66b0428,The Intuitive Appeal of Explainable Machines,"Algorithmic decision-making has become synonymous with inexplicable decision-making, but what makes algorithms so difficult to explain? This Article examines what sets machine learning apart from other ways of developing rules for decision-making and the problem these properties pose for explanation. We show that machine learning models can be both inscrutable and nonintuitive and that these are related, but distinct, properties. Calls for explanation have treated these problems as one and the same, but disentangling the two reveals that they demand very different responses. Dealing with inscrutability requires providing a sensible description of the rules; addressing nonintuitiveness requires providing a satisfying explanation for why the rules are what they are. Existing laws like the Fair Credit Reporting Act (FCRA), the Equal Credit Opportunity Act (ECOA), and the General Data Protection Regulation (GDPR), as well as techniques within machine learning, are focused almost entirely on the problem of inscrutability. While such techniques could allow a machine learning system to comply with existing law, doing so may not help if the goal is to assess whether the basis for decision-making is normatively defensible. In most cases, intuition serves as the unacknowledged bridge between a descriptive account and a normative evaluation. But because machine learning is often valued for its ability to uncover statistical relationships that defy intuition, relying on intuition is not a satisfying approach. This Article thus argues for other mechanisms for normative evaluation. To know why the rules are what they are, one must seek explanations of the process behind a model’s development, not just explanations of the model itself.",2018,1,189,11,True,Computer Science,,46432110,Andrew D. Selbst,2881033.0,Solon Barocas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20b877e96201a08332b5dcd4e73a1a30c9ac5a9e,https://www.semanticscholar.org/paper/20b877e96201a08332b5dcd4e73a1a30c9ac5a9e,MapReduce : Distributed Computing for Machine Learning,"We use Hadoop, an open-source implementation of Google’s distributed file system and the MapReduce framework for distributed data processing, on modestly-sized compute clusters to evaluate its efficacy for standard machine learning tasks. We show benchmark performance on searching and sorting tasks to investigate the effects of various system configurations. We also distinguish classes of machine-learning problems that are reasonable to address within the MapReduce framework, and offer improvements to the Hadoop implementation. We conclude that MapReduce is a good choice for basic operations on large datasets, although there are complications to be addressed for more complex machine learning tasks.",2006,6,116,6,False,,,2396669,D. Gillick,27001288.0,Arlo Faria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e761bc3b6028308dcd48f9ba0964533c2e6fe43,https://www.semanticscholar.org/paper/5e761bc3b6028308dcd48f9ba0964533c2e6fe43,The Kernel-Adatron Algorithm: A Fast and Simple Learning Procedure for Support Vector Machines,"Support Vector Machines work by mapping training data for classiication tasks into a high dimensional feature space. In the feature space they then nd a maximal margin hyperplane which separates the data. This hyperplane is usually found using a quadratic programming routine which is computation-ally intensive, and is non trivial to implement. In this paper we propose an adaptation of the Adatron algorithm for clas-siication with kernels in high dimensional spaces. The algorithm is simple and can nd a solution very rapidly with an exponentially fast rate of convergence (in the number of iterations) towards the optimal solution. Experimental results with real and artiicial datasets are provided.",1998,26,304,15,False,Computer Science,,34999823,T. Frieß,1685083.0,N. Cristianini,145990261.0,C. Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225fbfd99465033e993460a1bc838a87fbf42346,https://www.semanticscholar.org/paper/225fbfd99465033e993460a1bc838a87fbf42346,Gaussian-Bernoulli deep Boltzmann machine,"In this paper, we study a model that we call Gaussian-Bernoulli deep Boltzmann machine (GDBM) and discuss potential improvements in training the model. GDBM is designed to be applicable to continuous data and it is constructed from Gaussian-Bernoulli restricted Boltzmann machine (GRBM) by adding multiple layers of binary hidden neurons. The studied improvements of the learning algorithm for GDBM include parallel tempering, enhanced gradient, adaptive learning rate and layer-wise pretraining. We empirically show that they help avoid some of the common difficulties found in training deep Boltzmann machines such as divergence of learning, the difficulty in choosing right learning rate scheduling, and the existence of meaningless higher layers.",2013,31,126,21,True,Computer Science,,1979489,Kyunghyun Cho,2785022.0,T. Raiko,145096481.0,A. Ilin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ad906fb0dc38f0e7a59f48c968647bd81ed778bb,https://www.semanticscholar.org/paper/ad906fb0dc38f0e7a59f48c968647bd81ed778bb,A Review of User Interface Design for Interactive Machine Learning,"Interactive Machine Learning (IML) seeks to complement human perception and intelligence by tightly integrating these strengths with the computational power and speed of computers. The interactive process is designed to involve input from the user but does not require the background knowledge or experience that might be necessary to work with more traditional machine learning techniques. Under the IML process, non-experts can apply their domain knowledge and insight over otherwise unwieldy datasets to find patterns of interest or develop complex data-driven applications. This process is co-adaptive in nature and relies on careful management of the interaction between human and machine. User interface design is fundamental to the success of this approach, yet there is a lack of consolidated principles on how such an interface should be implemented. This article presents a detailed review and characterisation of Interactive Machine Learning from an interactive systems perspective. We propose and describe a structural and behavioural model of a generalised IML system and identify solution principles for building effective interfaces for IML. Where possible, these emergent solution principles are contextualised by reference to the broader human-computer interaction literature. Finally, we identify strands of user interface research key to unlocking more efficient and productive non-expert interactive machine learning applications.",2018,118,156,25,True,Computer Science,,31818759,John J. Dudley,1683133.0,P. Kristensson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74cd77a3f33ce48373277e7ce9f34d028410bbad,https://www.semanticscholar.org/paper/74cd77a3f33ce48373277e7ce9f34d028410bbad,Malware detection using machine learning,"We propose a versatile framework in which one can employ different machine learning algorithms to successfully distinguish between malware files and clean files, while aiming to minimise the number of false positives. In this paper we present the ideas behind our framework by working firstly with cascade one-sided perceptrons and secondly with cascade kernelized one-sided perceptrons. After having been successfully tested on medium-size datasets of malware and clean files, the ideas behind this framework were submitted to a scaling-up process that enable us to work with very large datasets of malware and clean files.",2009,27,102,6,False,Computer Science,,3172788,Dragos Gavrilut,2332459.0,Mihai Cimpoesu,2069835267.0,Dan Anton,3214990.0,Liviu Ciortuz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d74a1419d75e8743eb7e3da2bb425340c7753342,https://www.semanticscholar.org/paper/d74a1419d75e8743eb7e3da2bb425340c7753342,A Short Introduction to Learning to Rank,"Learning to rank refers to machine learning techniques for training the model in a ranking task. Learning to rank is useful for many applications in Information Retrieval, Natural Language Processing, and Data Mining. Intensive studies have been conducted on the problem and significant progress has been made[1],[2]. This short paper gives an introduction to learning to rank, and it specifically explains the fundamental problems, existing approaches, and future work of learning to rank. Several learning to rank methods using SVM techniques are described in details.",2011,26,314,27,True,Computer Science,,49404233,Hang Li,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640e70226454d4ed8934c40183b31ad4a057fbf8,https://www.semanticscholar.org/paper/640e70226454d4ed8934c40183b31ad4a057fbf8,Radiomic Machine-Learning Classifiers for Prognostic Biomarkers of Head and Neck Cancer,"Introduction “Radiomics” extracts and mines a large number of medical imaging features in a non-invasive and cost-effective way. The underlying assumption of radiomics is that these imaging features quantify phenotypic characteristics of an entire tumor. In order to enhance applicability of radiomics in clinical oncology, highly accurate and reliable machine-learning approaches are required. In this radiomic study, 13 feature selection methods and 11 machine-learning classification methods were evaluated in terms of their performance and stability for predicting overall survival in head and neck cancer patients. Methods Two independent head and neck cancer cohorts were investigated. Training cohort HN1 consisted of 101 head and neck cancer patients. Cohort HN2 (n = 95) was used for validation. A total of 440 radiomic features were extracted from the segmented tumor regions in CT images. Feature selection and classification methods were compared using an unbiased evaluation framework. Results We observed that the three feature selection methods minimum redundancy maximum relevance (AUC = 0.69, Stability = 0.66), mutual information feature selection (AUC = 0.66, Stability = 0.69), and conditional infomax feature extraction (AUC = 0.68, Stability = 0.7) had high prognostic performance and stability. The three classifiers BY (AUC = 0.67, RSD = 11.28), RF (AUC = 0.61, RSD = 7.36), and NN (AUC = 0.62, RSD = 10.52) also showed high prognostic performance and stability. Analysis investigating performance variability indicated that the choice of classification method is the major factor driving the performance variation (29.02% of total variance). Conclusion Our study identified prognostic and reliable machine-learning methods for the prediction of overall survival of head and neck cancer patients. Identification of optimal machine-learning methods for radiomics-based prognostic analyses could broaden the scope of radiomics in precision oncology and cancer care.",2015,45,281,7,True,Medicine,,40470674,C. Parmar,49405431.0,P. Grossmann,4383629.0,D. Rietveld,143763610.0,M. Rietbergen,1693233.0,P. Lambin,143849569.0,H. Aerts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1a700d6cce09f1711cdaf8f5f21b6ab2a8ce7bae,https://www.semanticscholar.org/paper/1a700d6cce09f1711cdaf8f5f21b6ab2a8ce7bae,Enhanced Gradient and Adaptive Learning Rate for Training Restricted Boltzmann Machines,"Boltzmann machines are often used as building blocks in greedy learning of deep networks. However, training even a simplified model, known as restricted Boltzmann machine (RBM), can be extremely laborious: Traditional learning algorithms often converge only with the right choice of the learning rate scheduling and the scale of the initial weights. They are also sensitive to specific data representation: An equivalent RBM can be obtained by flipping some bits and changing the weights and biases accordingly, but traditional learning rules are not invariant to such transformations. Without careful tuning of these training settings, traditional algorithms can easily get stuck at plateaus or even diverge. In this work, we present an enhanced gradient which is derived such that it is invariant to bit-flipping transformations. We also propose a way to automatically adjust the learning rate by maximizing a local likelihood estimate. Our experiments confirm that the proposed improvements yield more stable training of RBMs.",2011,19,83,8,False,Computer Science,,1979489,Kyunghyun Cho,2785022.0,T. Raiko,145096481.0,A. Ilin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03e755815b69e3f37c2c9df6a1c6a8df7649706f,https://www.semanticscholar.org/paper/03e755815b69e3f37c2c9df6a1c6a8df7649706f,Incremental nonlinear dimensionality reduction by manifold learning,"Understanding the structure of multidimensional patterns, especially in unsupervised cases, is of fundamental importance in data mining, pattern recognition, and machine learning. Several algorithms have been proposed to analyze the structure of high-dimensional data based on the notion of manifold learning. These algorithms have been used to extract the intrinsic characteristics of different types of high-dimensional data by performing nonlinear dimensionality reduction. Most of these algorithms operate in a ""batch"" mode and cannot be efficiently applied when data are collected sequentially. In this paper, we describe an incremental version of ISOMAP, one of the key manifold learning algorithms. Our experiments on synthetic data as well as real world images demonstrate that our modified algorithm can maintain an accurate low-dimensional representation of the data in an efficient manner.",2006,55,284,18,False,Computer Science,Mathematics,40004085,Martin H. C. Law,145295484.0,Anil K. Jain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medicine,
d6c233d54e33e18dcec5090dcbac7cac3d168f95,https://www.semanticscholar.org/paper/d6c233d54e33e18dcec5090dcbac7cac3d168f95,Probability and computing: randomized algorithms and probabilistic analysis,"Randomized algorithms (making random choices during their execution) play an important role in modern computer science, with applications ranging from combinatorial optimization and machine learning to communications networks and secure protocols. Two advantages of randomization over determinism are crucial in the design of algorithms: simplicity and speed. For many applications, a randomized algorithm is often the simplest algorithm available, the fastest, or both.",2006,0,607,56,False,Mathematics,Computer Science,1713711,H. Niederreiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2aadb938af2f77a6ad9321ff873c1c9b9a579fcb,https://www.semanticscholar.org/paper/2aadb938af2f77a6ad9321ff873c1c9b9a579fcb,A Survey of Data Mining and Machine Learning Methods for Cyber Security Intrusion Detection,"Cyber security is that the body of technologies, processes and practices designed to safeguard networks, computers, programs and knowledge from attack, harm or unauthorized access. During a computing context, the term security implies cyber security. This survey paper describes a targeted literature survey of machine learning (ML) and data processing (DM) strategies for cyber analytics in support of intrusion detection. This paper focuses totally on cyber intrusion detection as it applies to wired networks. With a wired network, associate oppose must experience many layers of defense at firewalls and operative systems, or gain physical access to the network. The quality of ML/DM algorithms is addressed, discussion of challenges for victimization ML/DM for cyber security is conferred, and some recommendations on once to use a given methodology area unit provided.",2017,13,861,70,False,Engineering,,100818765,Lalu Banoth,70392354.0,M. S. Teja,2102149819.0,M. Saicharan,143612469.0,N. Chandra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f3203d0bdefc9670ed508ca776d08aa9f024bafa,https://www.semanticscholar.org/paper/f3203d0bdefc9670ed508ca776d08aa9f024bafa,Neuro-fuzzy And Soft Computing: A Computational Approach To Learning And Machine Intelligence [Books in Brief],"Included in Prentice Hall's MATLAB Curriculum Series, this text provides a comprehensive treatment of the methodologies underlying neuro-fuzzy and soft computing. The book places equal emphasis on theoretical aspects of covered methodologies, empirical observations, and verifications of various applications in practice.",1997,0,1332,28,False,Computer Science,,144293175,J. Jang,2166330393.0,Chuen-Tsai Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7b753e096f6dfe61f397bd85e83f63d9dda23af1,https://www.semanticscholar.org/paper/7b753e096f6dfe61f397bd85e83f63d9dda23af1,Sentiment in short strength detection informal text,"A huge number of informal messages are posted every day in social network sites, blogs, and discussion forums. Emotions seem to be frequently important in these texts for expressing friendship, showing social support or as part of online arguments. Algorithms to identify sentiment and sentiment strength are needed to help understand the role of emotion in this informal communication and also to identify inappropriate or anomalous affective utterances, potentially associated with threatening behavior to the self or others. Nevertheless, existing sentiment detection algorithms tend to be commercially oriented, designed to identify opinions about products rather than user behaviors. This article partly fills this gap with a new algorithm, SentiStrength, to extract sentiment strength from informal English text, using new methods to exploit the de facto grammars and spelling styles of cyberspace. Applied to MySpace comments and with a lookup table of term sentiment strengths optimized by machine learning, SentiStrength is able to predict positive emotion with 60.6p accuracy and negative emotion with 72.8p accuracy, both based upon strength scales of 1–5. The former, but not the latter, is better than baseline and a wide range of general machine learning approaches. © 2010 Wiley Periodicals, Inc.",2010,68,1210,57,True,Computer Science,,1701298,M. Thelwall,144563108.0,K. Buckley,1718676.0,G. Paltoglou,2052543565.0,Di Cai,1742554.0,A. Kappas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21faf54f062bb3061885e407539ce43e7ce19156,https://www.semanticscholar.org/paper/21faf54f062bb3061885e407539ce43e7ce19156,Anticipating Cryptocurrency Prices Using Machine Learning,"Machine learning and AI-assisted trading have attracted growing interest for the past few years. Here, we use this approach to test the hypothesis that the inefficiency of the cryptocurrency market can be exploited to generate abnormal profits. We analyse daily data for 1,681 cryptocurrencies for the period between Nov. 2015 and Apr. 2018. We show that simple trading strategies assisted by state-of-the-art machine learning algorithms outperform standard benchmarks. Our results show that nontrivial, but ultimately simple, algorithmic mechanisms can help anticipate the short-term evolution of the cryptocurrency market.",2018,98,133,3,False,Computer Science,Physics,2818774,Laura Alessandretti,70058324.0,Abeer ElBahrawy,2905635.0,L. Aiello,2836702.0,A. Baronchelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Economics,
8f1692be8abd2b2130107c3cf36e31b3abf86903,https://www.semanticscholar.org/paper/8f1692be8abd2b2130107c3cf36e31b3abf86903,mlpy: Machine Learning Python,"mlpy is a Python Open Source Machine Learning library built on top of NumPy/SciPy and the GNU Scientific Libraries. mlpy provides a wide range of state-of-the-art machine learning methods for supervised and unsupervised problems and it is aimed at finding a reasonable compromise among modularity, maintainability, reproducibility, usability and efficiency.mlpy is multiplatform, it works with Python 2 and 3 and it is distributed under GPL3 at the website http://mlpy.fbk.eu.",2012,12,75,3,False,Computer Science,Mathematics,2620660,D. Albanese,1683587.0,R. Visintainer,49446819.0,S. Merler,1706884.0,S. Riccadonna,1680819.0,Giuseppe Jurman,1687584.0,Cesare Furlanello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
