paperId,url,title,abstract,year,referenceCount,citationCount,influentialCitationCount,isOpenAccess,fieldsOfStudy/0,authors/0/authorId,authors/0/name,authors/1/authorId,authors/1/name,fieldsOfStudy/1,fieldsOfStudy/2,authors/2/authorId,authors/2/name,authors/3/authorId,authors/3/name,authors/4/authorId,authors/4/name,authors/5/authorId,authors/5/name,authors/6/authorId,authors/6/name,authors/7/authorId,authors/7/name,authors/8/authorId,authors/8/name,authors/9/authorId,authors/9/name,authors/10/authorId,authors/10/name,authors/11/authorId,authors/11/name,authors/12/authorId,authors/12/name,authors/13/authorId,authors/13/name,authors/14/authorId,authors/14/name,authors/15/authorId,authors/15/name,authors/16/authorId,authors/16/name,authors/17/authorId,authors/17/name,authors/18/authorId,authors/18/name,authors/19/authorId,authors/19/name,authors/20/authorId,authors/20/name,authors/21/authorId,authors/21/name,authors/22/authorId,authors/22/name,authors/23/authorId,authors/23/name,authors/24/authorId,authors/24/name,authors/25/authorId,authors/25/name,authors/26/authorId,authors/26/name,fieldsOfStudy/3
74aba549f4dcb97d64b9c71640d669946d2f6583,https://www.semanticscholar.org/paper/74aba549f4dcb97d64b9c71640d669946d2f6583,Efficient Algorithms for Decision Tree Cross-validation,"Cross-validation is a useful and generally applicable technique often employed in machine learning, including decision tree induction. An important disadvantage of straightforward implementation of the technique is its computational overhead. In this paper we show that, for decision trees, the computational overhead of cross-validation can be reduced significantly by integrating the cross-validation with the normal decision tree induction process. We discuss how existing decision tree algorithms can be adapted to this aim, and provide an analysis of the speedups these adaptations may yield. We identify a number of parameters that influence the obtainable speedups, and validate and refine our analysis with experiments on a variety of data sets with two different implementations. Besides cross-validation, we also briefly explore the usefulness of these techniques for bagging. We conclude with some guidelines concerning when these optimizations should be considered.",2001,23,149,13,False,Computer Science,1755851,H. Blockeel,1862544.0,Jan Struyf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b24ca7c00b5aa1ad920a86b12613a5245125e15b,https://www.semanticscholar.org/paper/b24ca7c00b5aa1ad920a86b12613a5245125e15b,Plant Species Classification Using a 3D LIDAR Sensor and Machine Learning,"In the domain of agricultural robotics, one major application is crop scouting, e.g., for the task of weed control. For this task a key enabler is a robust detection and classification of the plant and species. Automatically distinguishing between plant species is a challenging task, because some species look very similar. It is also difficult to translate the symbolic high level description of the appearances and the differences between the plants used by humans, into a formal, computer understandable form. Also it is not possible to reliably detect structures, like leaves and branches in 3D data provided by our sensor. One approach to solve this problem is to learn how to classify the species by using a set of example plants and machine learning methods. In this paper we are introducing a method for distinguishing plant species using a 3D LIDAR sensor and supervised learning. For that we have developed a set of size and rotation invariant features and evaluated experimentally which are the most descriptive ones. Besides these features we have also compared different learning methods using the toolbox Weka. It turned out that the best methods for our application are simple logistic regression functions, support vector machines and neural networks. In our experiments we used six different plant species, typically available at common nurseries, and about 20 examples of each species. In the laboratory we were able to identify over 98% of these plants correctly.",2010,15,49,3,True,Computer Science,2052869067,Ulrich Weiss,1491174572.0,P. Biber,,,3220215.0,Stefan Laible,1735789.0,K. Bohlmann,144625394.0,A. Zell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9e754f7d176b4199bcaaad673a05bfc5c4e6a53e,https://www.semanticscholar.org/paper/9e754f7d176b4199bcaaad673a05bfc5c4e6a53e,Optimizing Network Performance in Distributed Machine Learning,"To cope with the ever growing availability of training data, there have been several proposals to scale machine learning computation beyond a single server and distribute it across a cluster. While this enables reducing the training time, the observed speed up is often limited by network bottlenecks. To address this, we design MLNET, a host-based communication layer that aims to improve the network performance of distributed machine learning systems. This is achieved through a combination of traffic reduction techniques (to diminish network load in the core and at the edges) and traffic management (to reduce average training time). A key feature of MLNET is its compatibility with existing hardware and software infrastructure so it can be immediately deployed. We describe the main techniques underpinning MLNET and show through simulation that the overall training time can be reduced by up to 78%. While preliminary, our results indicate the critical role played by the network and the benefits of introducing a new communication layer to increase the performance of distributed machine learning systems.",2015,43,50,4,False,Computer Science,32214483,Luo Mai,2107093521.0,C. Hong,,,1912518.0,Paolo Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2abd739b76ab844988017a3963fef2620ebf482,https://www.semanticscholar.org/paper/d2abd739b76ab844988017a3963fef2620ebf482,SVM kernel functions for classification,"A new generation learning system based on recent advances in statistical learning theory deliver state-of-the-art performance in real-world applications that is Support Vector Machines [2]. Applications such as text categorization, hand-written character recognition, image classification, bio-sequence analysis [9] etc for the classification and regression Most of the existing supervised classification methods are based on traditional statistics, which can provide ideal results when sample size is tending to infinity. However, only finite samples can be acquired in practice. In this paper, a novel learning method, Support Vector Machine (SVM), is applied on different data. This paper emphasizes the classification task with Support Vector Machine with different kernel function. It has several kernel functions including linear, polynomial and radial basis for performing classification [13].",2013,16,82,4,False,Computer Science,2079294778,A. Patle,2081719897.0,D. S. Chouhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4cd7d43de8ec59b50d44828ea6964599155bf93a,https://www.semanticscholar.org/paper/4cd7d43de8ec59b50d44828ea6964599155bf93a,Toward a Semiautomatic Machine Learning Retrieval of Biophysical Parameters,"Biophysical parameters such as leaf chlorophyll content (LCC) and leaf area index (LAI) are standard vegetation products that can be retrieved from Earth observation imagery. This paper introduces a new machine learning regression algorithms (MLRAs) toolbox into the scientific Automated Radiative Transfer Models Operator (ARTMO) software package. ARTMO facilitates retrieval of biophysical parameters from remote observations in a MATLAB graphical user interface (GUI) environment. The MLRA toolbox enables analyzing the predictive power of various MLRAs in a semiautomatic and systematic manner, and applying a selected MLRA to multispectral or hyperspectral imagery for mapping applications. It contains both linear and nonlinear state-of-the-art regression algorithms, in particular linear feature extraction via principal component regression (PCR), partial least squares regression (PLSR), decision trees (DTs), neural networks (NNs), kernel ridge regression (KRR), and Gaussian processes regression (GPR). The performance of multiple implemented regression strategies has been evaluated against the SPARC dataset (Barrax, Spain) and simulated Sentinel-2 (8 bands), CHRIS (62 bands) and HyMap (125 bands) observations. In general, nonlinear regression algorithms (NN, KRR, and GPR) outperformed linear techniques (PCR and PLSR) in terms of accuracy, bias, and robustness. Most robust results along gradients of training/validation partitioning and noise variance were obtained by KRR while GPR delivered most accurate estimations. We applied a GPR model to a hyperspectral HyMap flightline to map LCC and LAI. We exploited the associated uncertainty intervals to gain insight in the per-pixel performance of the model.",2014,59,93,4,False,Computer Science,33311787,J. Caicedo,2069785.0,J. Verrelst,,,1397420485.0,J. Muñoz-Marí,144394874.0,J. Moreno,1397959153.0,G. Camps-Valls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d8d0d81dbe9dd74918b62d7230b5df6343134480,https://www.semanticscholar.org/paper/d8d0d81dbe9dd74918b62d7230b5df6343134480,Imaging and machine learning techniques for diagnosis of Alzheimer’s disease,"Abstract Alzheimer’s disease (AD) is a common health problem in elderly people. There has been considerable research toward the diagnosis and early detection of this disease in the past decade. The sensitivity of biomarkers and the accuracy of the detection techniques have been defined to be the key to an accurate diagnosis. This paper presents a state-of-the-art review of the research performed on the diagnosis of AD based on imaging and machine learning techniques. Different segmentation and machine learning techniques used for the diagnosis of AD are reviewed including thresholding, supervised and unsupervised learning, probabilistic techniques, Atlas-based approaches, and fusion of different image modalities. More recent and powerful classification techniques such as the enhanced probabilistic neural network of Ahmadlou and Adeli should be investigated with the goal of improving the diagnosis accuracy. A combination of different image modalities can help improve the diagnosis accuracy rate. Research is needed on the combination of modalities to discover multi-modal biomarkers.",2016,161,69,2,False,Computer Science,3296202,G. Mirzaei,1402038422.0,Anahita Adeli,Medicine,,1750050.0,H. Adeli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269d91e79049092bdf0651241d0d66830aa9fafc,https://www.semanticscholar.org/paper/269d91e79049092bdf0651241d0d66830aa9fafc,Machine Learning Algorithms for Opinion Mining and Sentiment Classification,"With the evolution of web technology, there is a huge amount of data present in the web for the internet users. These users not only use the available resources in the web, but also give their feedback, thus generating additional useful information. Due to overwhelming amount of user's opinions, views, feedback and suggestions available through the web resources, it's very much essential to explore, analyse and organize their views for better decision making. Opinion Mining or Sentiment Analysis is a Natural Language Processing and Information Extraction task that identifies the user's views or opinions explained in the form of positive, negative or neutral comments and quotes underlying the text. Various supervised or data-driven techniques to Sentiment analysis like Naive Byes, Maximum Entropy and SVM.For classification use support vector machine (SVM), it performs the sentiment classification task also consider sentiment classification accuracy.",2013,17,110,7,False,Computer Science,70269607,J. Khairnar,9414124.0,M. Kinikar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dd02c244d7db7f94b710dc14dcf011cb24348ee2,https://www.semanticscholar.org/paper/dd02c244d7db7f94b710dc14dcf011cb24348ee2,CUNI System for WMT16 Automatic Post-Editing and Multimodal Translation Tasks,"Neural sequence to sequence learning recently became a very promising paradigm in machine translation, achieving competitive results with statistical phrase-based systems. In this system description paper, we attempt to utilize several recently published methods used for neural sequential learning in order to build systems for WMT 2016 shared tasks of Automatic Post-Editing and Multimodal Machine Translation.",2016,39,66,10,True,Computer Science,3448602,Jindřich Libovický,46407634.0,Jindřich Helcl,,,1400001159.0,Marek Tlustý,143832874.0,Ondrej Bojar,1758528.0,Pavel Pecina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399272f836058dcf6054ea2ae0ec90a73c9f5009,https://www.semanticscholar.org/paper/399272f836058dcf6054ea2ae0ec90a73c9f5009,Formal Detection of Attentional Tunneling in Human Operator–Automation Interactions,"The allocation of visual attention is a key factor for the humans when operating complex systems under time pressure with multiple information sources. In some situations, attentional tunneling is likely to appear and leads to excessive focus and poor decision making. In this study, we propose a formal approach to detect the occurrence of such an attentional impairment that is based on machine learning techniques. An experiment was conducted to provoke attentional tunneling during which psycho-physiological and oculomotor data from 23 participants were collected. Data from 18 participants were used to train an adaptive neuro-fuzzy inference system (ANFIS). From a machine learning point of view, the classification performance of the trained ANFIS proved the validity of this approach. Furthermore, the resulting classification rules were consistent with the attentional tunneling literature. Finally, the classifier was robust to detect attentional tunneling when performing over test data from four participants.",2014,56,50,0,False,Computer Science,2843552,N. Regis,1714464.0,F. Dehais,,,2558054.0,E. Rachelson,3196994.0,Charles Thooris,2295310.0,Sergio Pizziol,37142282.0,M. Causse,37072511.0,C. Tessier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aee1e402d5a2fe7c3096f5406bb8088ba587565c,https://www.semanticscholar.org/paper/aee1e402d5a2fe7c3096f5406bb8088ba587565c,Using supervised machine learning on large-scale online forums to classify course-related Facebook messages in predicting learning achievement within the personal learning environment,"ABSTRACT This paper demonstrated the use of the supervised Machine Learning (ML) for text classification to predict students’ final course grades in a hybrid Advanced Statistics course and exhibited the potential of using ML classified messages to identify students at risk of course failure. We built three classification models with training data of 76,936 posts from two large online forums and applied the models to classify messages into statistics-related and non-statistics-related posts in a private Facebook group. Three ML algorithms were compared in terms of classification effectiveness and congruency with human coding. Students with more messages endorsed by two or more ML algorithms as statistics-related had higher final course grades. Students who failed the course also had significantly fewer messages endorsed by all three ML algorithms than those who passed. Results suggest that ML can be used for identifying students in need of support within the personal learning environment and for quality control of the large-scale educational data.",2018,59,52,2,False,Computer Science,47876037,Jiun-Yu Wu,25219613.0,Yi-Cheng Hsiao,,,40373696.0,Mei-Wen Nian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
