paperId,url,title,abstract,year,referenceCount,citationCount,influentialCitationCount,isOpenAccess,fieldsOfStudy/0,authors/0/authorId,authors/0/name,authors/1/authorId,authors/1/name,authors/2/authorId,authors/2/name,authors/3/authorId,authors/3/name,authors/4/authorId,authors/4/name,authors/5/authorId,authors/5/name,authors/6/authorId,authors/6/name,fieldsOfStudy/1,fieldsOfStudy/2,authors/7/authorId,authors/7/name,fieldsOfStudy/3,authors/8/authorId,authors/8/name,authors/9/authorId,authors/9/name,authors/10/authorId,authors/10/name,authors/11/authorId,authors/11/name,authors/12/authorId,authors/12/name,authors/13/authorId,authors/13/name,authors/14/authorId,authors/14/name,authors/15/authorId,authors/15/name,authors/16/authorId,authors/16/name
0cb7ebc80fadaa775c3ca64da8930384d910f00e,https://www.semanticscholar.org/paper/0cb7ebc80fadaa775c3ca64da8930384d910f00e,Predicting the Price of Bitcoin Using Machine Learning,"The goal of this paper is to ascertain with what accuracy the direction of Bitcoin price in USD can be predicted. The price data is sourced from the Bitcoin Price Index. The task is achieved with varying degrees of success through the implementation of a Bayesian optimised recurrent neural network (RNN) and a Long Short Term Memory (LSTM) network. The LSTM achieves the highest classification accuracy of 52% and a RMSE of 8%. The popular ARIMA model for time series forecasting is implemented as a comparison to the deep learning models. As expected, the non-linear deep learning methods outperform the ARIMA forecast which performs poorly. Finally, both deep learning models are benchmarked on both a GPU and a CPU with the training time on the GPU outperforming the CPU implementation by 67.7%.",2018,56,335,26,true,Computer Science,46391717,S. Mcnally,2059704800,Jason Roche,2452441,Simon Caton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b34fc78de28be598e21118d7cb9d84d63374addc,https://www.semanticscholar.org/paper/b34fc78de28be598e21118d7cb9d84d63374addc,Analysis of Dimensionality Reduction Techniques on Big Data,"Due to digitization, a huge volume of data is being generated across several sectors such as healthcare, production, sales, IoT devices, Web, organizations. Machine learning algorithms are used to uncover patterns among the attributes of this data. Hence, they can be used to make predictions that can be used by medical practitioners and people at managerial level to make executive decisions. Not all the attributes in the datasets generated are important for training the machine learning algorithms. Some attributes might be irrelevant and some might not affect the outcome of the prediction. Ignoring or removing these irrelevant or less important attributes reduces the burden on machine learning algorithms. In this work two of the prominent dimensionality reduction techniques, Linear Discriminant Analysis (LDA) and Principal Component Analysis (PCA) are investigated on four popular Machine Learning (ML) algorithms, Decision Tree Induction, Support Vector Machine (SVM), Naive Bayes Classifier and Random Forest Classifier using publicly available Cardiotocography (CTG) dataset from University of California and Irvine Machine Learning Repository. The experimentation results prove that PCA outperforms LDA in all the measures. Also, the performance of the classifiers, Decision Tree, Random Forest examined is not affected much by using PCA and LDA.To further analyze the performance of PCA and LDA the eperimentation is carried out on Diabetic Retinopathy (DR) and Intrusion Detection System (IDS) datasets. Experimentation results prove that ML algorithms with PCA produce better results when dimensionality of the datasets is high. When dimensionality of datasets is low it is observed that the ML algorithms without dimensionality reduction yields better results.",2020,44,245,7,true,Computer Science,38608914,G. T. Reddy,49247239,M. S. K. Reddy,51017707,K. Lakshmanna,46234199,Rajesh Kaluri,32336300,D. Rajput,144369609,Gautam Srivastava,37022396,T. Baker,,,,,,,,,,,,,,,,,,,,,,,
9da1310a7158854a8070d9207d7042c9fff4f6ba,https://www.semanticscholar.org/paper/9da1310a7158854a8070d9207d7042c9fff4f6ba,Machine Learning: ECML 2003,,2003,19,95,0,true,Computer Science,1730104,N. Lavrac,1767339,D. Gamberger,1755851,H. Blockeel,1735220,L. Todorovski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fb144a1d31aec3b2bece6a59bd11a876a9fafb34,https://www.semanticscholar.org/paper/fb144a1d31aec3b2bece6a59bd11a876a9fafb34,Exploiting Open-Endedness to Solve Problems Through the Search for Novelty,"This paper establishes a link between the challenge of solving highly ambitious problems in machine learning and the goal of reproducing the dynamics of open-ended evolution in artificial life. A major problem with the objective function in machine learning is that through deception it may actually prevent the objective from being reached. In a similar way, selection in evolution may sometimes act to discourage increasing complexity. This paper proposes a single idea that both overcomes the obstacle of deception and suggests a simple new approach to open-ended evolution: Instead of either explicitly seeking an objective or modeling a domain to capture the open-endedness of natural evolution, the idea is to simply search for novelty. Even in an objective-based problem, such novelty search ignores the objective and searches for behavioral novelty. Yet because many points in the search space collapse to the same point in behavior space, it turns out that the search for novelty is computationally feasible. Furthermore, because there are only so many simple behaviors, the search for novelty leads to increasing complexity. In fact, on the way up the ladder of complexity, the search is likely to encounter at least one solution. In this way, by decoupling the idea of open-ended search from only artificial life worlds, the raw search for novelty can be applied to real world problems. Counterintuitively, in the deceptive maze navigation task in this paper, novelty search significantly outperforms objective-based search, suggesting a surprising new approach to machine learning.",2008,39,494,90,false,Computer Science,39799304,J. Lehman,1846883,Kenneth O. Stanley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5396e9858d70f09bf42f251621b5f2816a9cb660,https://www.semanticscholar.org/paper/5396e9858d70f09bf42f251621b5f2816a9cb660,Cover trees for nearest neighbor,"We present a tree data structure for fast nearest neighbor operations in general n-point metric spaces (where the data set consists of n points). The data structure requires O(n) space regardless of the metric's structure yet maintains all performance properties of a navigating net (Krauthgamer & Lee, 2004b). If the point set has a bounded expansion constant c, which is a measure of the intrinsic dimensionality, as defined in (Karger & Ruhl, 2002), the cover tree data structure can be constructed in O (c6n log n) time. Furthermore, nearest neighbor queries require time only logarithmic in n, in particular O (c12 log n) time. Our experimental results show speedups over the brute force search varying between one and several orders of magnitude on natural machine learning datasets.",2006,29,845,94,true,Computer Science,2624289,A. Beygelzimer,144695232,S. Kakade,144162125,J. Langford,,,,,,,,,Mathematics,,,,,,,,,,,,,,,,,,,,,,
4ec06dda674cd5f93351f0ab5871391671f9b974,https://www.semanticscholar.org/paper/4ec06dda674cd5f93351f0ab5871391671f9b974,Medical Image Analysis using Convolutional Neural Networks: A Review,,2017,142,509,11,true,Computer Science,9514351,A. Qayyum,144608640,S. Anwar,144974259,Muhammad Majid,1387433697,M. Awais,3436574,M. Alnowami,,,,,Medicine,,,,,,,,,,,,,,,,,,,,,,
3558dc0a0139d6a3dd48458d207c497db027ab1b,https://www.semanticscholar.org/paper/3558dc0a0139d6a3dd48458d207c497db027ab1b,Thirty Years of Machine Learning: The Road to Pareto-Optimal Wireless Networks,"Future wireless networks have a substantial potential in terms of supporting a broad range of complex compelling applications both in military and civilian fields, where the users are able to enjoy high-rate, low-latency, low-cost and reliable information services. Achieving this ambitious goal requires new radio techniques for adaptive learning and intelligent decision making because of the complex heterogeneous nature of the network structures and wireless services. Machine learning (ML) algorithms have great success in supporting big data analytics, efficient parameter estimation and interactive decision making. Hence, in this article, we review the thirty-year history of ML by elaborating on supervised learning, unsupervised learning, reinforcement learning and deep learning. Furthermore, we investigate their employment in the compelling applications of wireless networks, including heterogeneous networks (HetNets), cognitive radios (CR), Internet of Things (IoT), machine to machine networks (M2M), and so on. This article aims for assisting the readers in clarifying the motivation and methodology of the various ML algorithms, so as to invoke them for hitherto unexplored services as well as scenarios of future wireless networks.",2019,380,230,7,true,Computer Science,145210497,JingJing Wang,1750017,Chunxiao Jiang,50024622,Haijun Zhang,145659296,Yong Ren,66073306,Kwang-Cheng Chen,1730180,L. Hanzo,,,,,,,,,,,,,,,,,,,,,,,,,
c0e5a471179d2d8c7025febe77a90c3a99c7c9fa,https://www.semanticscholar.org/paper/c0e5a471179d2d8c7025febe77a90c3a99c7c9fa,Learning With $\ell ^{1}$-Graph for Image Analysis,"The graph construction procedure essentially determines the potentials of those graph-oriented learning algorithms for image analysis. In this paper, we propose a process to build the so-called directed ¿1-graph, in which the vertices involve all the samples and the ingoing edge weights to each vertex describe its ¿1-norm driven reconstruction from the remaining samples and the noise. Then, a series of new algorithms for various machine learning tasks, e.g., data clustering, subspace learning, and semi-supervised learning, are derived upon the ¿1-graphs. Compared with the conventional k -nearest-neighbor graph and ¿-ball graph, the ¿1-graph possesses the advantages: (1) greater robustness to data noise, (2) automatic sparsity, and (3) adaptive neighborhood for individual datum. Extensive experiments on three real-world datasets show the consistent superiority of ¿1-graph over those classic graphs in data clustering, subspace learning, and semi-supervised learning tasks.",2010,25,567,51,false,Mathematics,2055922779,Bin Cheng,1706007,Jianchao Yang,143653681,Shuicheng Yan,145692782,Yun Fu,153652752,Thomas S. Huang,,,,,Computer Science,Medicine,,,,,,,,,,,,,,,,,,,,,
07a04fa73ae666e730b6f50e2c9c96d0a11cff94,https://www.semanticscholar.org/paper/07a04fa73ae666e730b6f50e2c9c96d0a11cff94,Advances in Machine Learning,,2021,16,44,1,false,Computer Science,1733088,M. Someren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4603c2513605d18d8f7318c455aae32f20e0ecfc,https://www.semanticscholar.org/paper/4603c2513605d18d8f7318c455aae32f20e0ecfc,Ultra-Strong Machine Learning: comprehensibility of programs learned with ILP,,2018,56,84,8,true,Computer Science,145147566,S. Muggleton,1727734,Ute Schmid,26755201,Christina Zeller,1403549560,Alireza Tamaddoni-Nezhad,143862012,Tarek R. Besold,,,,,,,,,,,,,,,,,,,,,,,,,,,
