paperId,url,title,abstract,year,referenceCount,citationCount,influentialCitationCount,isOpenAccess,fieldsOfStudy/0,fieldsOfStudy/1,authors/0/authorId,authors/0/name,authors/1/authorId,authors/1/name,authors/2/authorId,authors/2/name,authors/3/authorId,authors/3/name,authors/4/authorId,authors/4/name,authors/5/authorId,authors/5/name,authors/6/authorId,authors/6/name,authors/7/authorId,authors/7/name,authors/8/authorId,authors/8/name,authors/9/authorId,authors/9/name,authors/10/authorId,authors/10/name,authors/11/authorId,authors/11/name,authors/12/authorId,authors/12/name,authors/13/authorId,authors/13/name,authors/14/authorId,authors/14/name,authors/15/authorId,authors/15/name,fieldsOfStudy/2,fieldsOfStudy/3,authors/16/authorId,authors/16/name
955fe2ee26d888ae22749b0853981b8b581b133d,https://www.semanticscholar.org/paper/955fe2ee26d888ae22749b0853981b8b581b133d,Holographic Embeddings of Knowledge Graphs,"
 
 Learning embeddings of entities and relations is an efficient and versatile method to perform machine learning on relational data such as knowledge graphs. In this work, we propose holographic embeddings (HolE) to learn compositional vector space representations of entire knowledge graphs. The proposed method is related to holographic models of associative memory in that it employs circular correlation to create compositional representations. By using correlation as the compositional operator, HolE can capture rich interactions but simultaneously remains efficient to compute, easy to train, and scalable to very large datasets. Experimentally, we show that holographic embeddings are able to outperform state-of-the-art methods for link prediction on knowledge graphs and relational learning benchmark datasets.
 
",2015,35,832,147,true,Computer Science,Mathematics,1729762,Maximilian Nickel,1690976,L. Rosasco,1685292,T. Poggio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6d0bd45930fcbdc64f826ae210980dfb6e0b8636,https://www.semanticscholar.org/paper/6d0bd45930fcbdc64f826ae210980dfb6e0b8636,Making Machine Learning Models Clinically Useful.,"Recent advances in supervised machine learning have improved diagnostic accuracy and prediction of treatment outcomes, in some cases surpassing the performance of clinicians.1 In supervised machine learning, a mathematical function is constructed via automated analysis of training data, which consists of input features (such as retinal images) and output labels (such as the grade of macular edema). With large training data sets and minimal human guidance, a computer learns to generalize from the information contained in the training data. The result is a mathematical function, a model, that can be used to map a new record to the corresponding diagnosis, such as an image to grade macular edema. Although machine learning–based models for classification or for predicting a future health state are being developed for diverse clinical applications, evidence is lacking that deployment of these models has improved care and patient outcomes.2 One barrier to demonstrating such improvement is the basis used to assess the performance of a model. Current approaches gauge performance by quantifying how closely the diagnosis or prediction made by the model matches known diagnoses or health outcomes. Quantifications include sensitivity, specificity, and positive predictive value, as well as measures such as the",2019,7,128,2,false,Medicine,,143665076,N. Shah,46802048,A. Milstein,151491825,Steven C Bagley PhD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d988c0ff9b6f023fa01c8f96f7218a30ca085de6,https://www.semanticscholar.org/paper/d988c0ff9b6f023fa01c8f96f7218a30ca085de6,Socially guided machine learning,"Social interaction will be key to enabling robots and machines in general to learn new tasks from ordinary people (not experts in robotics or machine learning). Everyday people who need to teach their machines new things will find it natural for to rely on their interpersonal interaction skills. This thesis provides several contributions towards the understanding of this Socially Guided Machine Learning scenario. 
While the topic of human input to machine learning algorithms has been explored to some extent, prior works have not gone far enough to understand what people will try to communicate when teaching a machine and how algorithms and learning systems can be modified to better accommodate a human partner. Interface techniques have been based on intuition and assumptions rather than grounded in human behavior, and often techniques are not demonstrated or evaluated with everyday people. 
Using a computer game, Sophie's Kitchen, an experiment with human subjects provides several insights about how people approach the task of teaching a machine. In particular, people want to direct and guide an agent's exploration process, they quickly use the behavior of the agent to infer a mental model of the learning process, and they utilize positive and negative feedback in asymmetric ways. Using a robotic platform, Leonardo, and 200 people in follow-up studies of modified versions of the Sophie's Kitchen game, four research themes are developed. 
The use of human guidance in a machine learning exploration can be successfully incorporated to improve learning performance. Novel learning approaches demonstrate aspects of goal-oriented learning. The transparency of the machine learner can have significant effects on the nature of the instruction received from the human teacher, which in turn positively impacts the learning process. Utilizing asymmetric interpretations of positive and negative feedback from a human partner, can result in a more efficient and robust learning experience. (Copies available exclusively from MIT Libraries, Rm. 14-0551, Cambridge, MA 02139-4307. Ph. 617-253-5668; Fax 617-253-1690.)",2006,107,74,4,false,Engineering,,1682788,A. Thomaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0f8ef4fc563af85744cf6214925a0fbf51edc2a7,https://www.semanticscholar.org/paper/0f8ef4fc563af85744cf6214925a0fbf51edc2a7,Predicting hepatitis B virus–positive metastatic hepatocellular carcinomas using gene expression profiling and supervised machine learning,,2003,52,807,25,false,Medicine,,145681410,Q. Ye,143822422,L. Qin,3216845,M. Forgues,2118241977,P. He,2152672855,J. Kim,121167337,A. Peng,144734711,R. Simon,2152883966,Yan Li,1885953,A. Robles,2140051186,Yidong Chen,11958223,Zeng-chen Ma,10234856,Zhi-quan Wu,39223684,S. Ye,3379467,Yin-kun Liu,145378441,Zhao-You Tang,31858898,X. Wang,,,,
a456265138c088a894301c0433dae938705a9bec,https://www.semanticscholar.org/paper/a456265138c088a894301c0433dae938705a9bec,Deep Sets,"We study the problem of designing models for machine learning tasks defined on sets. In contrast to the traditional approach of operating on fixed dimensional vectors, we consider objective functions defined on sets and are invariant to permutations. Such problems are widespread, ranging from the estimation of population statistics, to anomaly detection in piezometer data of embankment dams, to cosmology. Our main theorem characterizes the permutation invariant objective functions and provides a family of functions to which any permutation invariant objective function must belong. This family of functions has a special structure which enables us to design a deep network architecture that can operate on sets and which can be deployed on a variety of scenarios including both unsupervised and supervised learning tasks. We demonstrate the applicability of our method on population statistic estimation, point cloud classification, set expansion, and outlier detection.",2017,63,1322,167,false,Computer Science,Mathematics,1771307,M. Zaheer,2150275,Satwik Kottur,2111187,Siamak Ravanbakhsh,1719347,B. Póczos,145124475,R. Salakhutdinov,46234526,Alex Smola,,,,,,,,,,,,,,,,,,,,,,,,
bf864fa6c4ce7fba5e9be1ed61d514ce67bb9346,https://www.semanticscholar.org/paper/bf864fa6c4ce7fba5e9be1ed61d514ce67bb9346,Machine learning for precise quantum measurement.,"Adaptive feedback schemes are promising for quantum-enhanced measurements yet are complicated to design. Machine learning can autonomously generate algorithms in a classical setting. Here we adapt machine learning for quantum information and use our framework to generate autonomous adaptive feedback schemes for quantum measurement. In particular, our approach replaces guesswork in quantum measurement by a logical, fully automatic, programable routine. We show that our method yields schemes that outperform the best known adaptive scheme for interferometric phase estimation.",2009,25,139,3,true,Physics,Medicine,1878626,A. Hentschel,34655154,B. Sanders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Computer Science,,,
30e0ffeb519a4df2d4a2067e899c5fb5c5e85e70,https://www.semanticscholar.org/paper/30e0ffeb519a4df2d4a2067e899c5fb5c5e85e70,Exploiting Unintended Feature Leakage in Collaborative Learning,"Collaborative machine learning and related techniques such as federated learning allow multiple participants, each with his own training dataset, to build a joint model by training locally and periodically exchanging model updates. We demonstrate that these updates leak unintended information about participants' training data and develop passive and active inference attacks to exploit this leakage. First, we show that an adversarial participant can infer the presence of exact data points -- for example, specific locations -- in others' training data (i.e., membership inference). Then, we show how this adversary can infer properties that hold only for a subset of the training data and are independent of the properties that the joint model aims to capture. For example, he can infer when a specific person first appears in the photos used to train a binary gender classifier. We evaluate our attacks on a variety of tasks, datasets, and learning configurations, analyze their limitations, and discuss possible defenses.",2018,70,724,74,true,Computer Science,,145557680,Luca Melis,3469125,Congzheng Song,1728207,Emiliano De Cristofaro,1723945,Vitaly Shmatikov,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180a03aa6f09e2b06417b86e8f1828861633bd37,https://www.semanticscholar.org/paper/180a03aa6f09e2b06417b86e8f1828861633bd37,Privacy-preserving Machine Learning as a Service,"Abstract Machine learning algorithms based on deep Neural Networks (NN) have achieved remarkable results and are being extensively used in different domains. On the other hand, with increasing growth of cloud services, several Machine Learning as a Service (MLaaS) are offered where training and deploying machine learning models are performed on cloud providers’ infrastructure. However, machine learning algorithms require access to the raw data which is often privacy sensitive and can create potential security and privacy risks. To address this issue, we present CryptoDL, a framework that develops new techniques to provide solutions for applying deep neural network algorithms to encrypted data. In this paper, we provide the theoretical foundation for implementing deep neural network algorithms in encrypted domain and develop techniques to adopt neural networks within practical limitations of current homomorphic encryption schemes. We show that it is feasible and practical to train neural networks using encrypted data and to make encrypted predictions, and also return the predictions in an encrypted form. We demonstrate applicability of the proposed CryptoDL using a large number of datasets and evaluate its performance. The empirical results show that it provides accurate privacy-preserving training and classification.",2018,44,136,6,true,Computer Science,,2599072,Ehsan Hesamifard,1718305,H. Takabi,2053305594,Mehdi Ghasemi,1701402,Rebecca N. Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1d8980d04d411c314910d1926f3bbaac46c2197,https://www.semanticscholar.org/paper/d1d8980d04d411c314910d1926f3bbaac46c2197,DeepMIMO: A Generic Deep Learning Dataset for Millimeter Wave and Massive MIMO Applications,"Machine learning tools are finding interesting applications in millimeter wave (mmWave) and massive MIMO systems. This is mainly thanks to their powerful capabilities in learning unknown models and tackling hard optimization problems. To advance the machine learning research in mmWave/massive MIMO, however, there is a need for a common dataset. This dataset can be used to evaluate the developed algorithms, reproduce the results, set benchmarks, and compare the different solutions. In this work, we introduce the DeepMIMO dataset, which is a generic dataset for mmWave/massive MIMO channels. The DeepMIMO dataset generation framework has two important features. First, the DeepMIMO channels are constructed based on accurate ray-tracing data obtained from Remcom Wireless InSite. The DeepMIMO channels, therefore, capture the dependence on the environment geometry/materials and transmitter/receiver locations, which is essential for several machine learning applications. Second, the DeepMIMO dataset is generic/parameterized as the researcher can adjust a set of system and channel parameters to tailor the generated DeepMIMO dataset for the target machine learning application. The DeepMIMO dataset can then be completely defined by the (i) the adopted ray-tracing scenario and (ii) the set of parameters, which enables the accurate definition and reproduction of the dataset. In this paper, an example DeepMIMO dataset is described based on an outdoor ray-tracing scenario of 18 base stations and more than one million users. The paper also shows how this dataset can be used in an example deep learning application of mmWave beam prediction.",2019,21,182,24,false,Computer Science,Engineering,145719185,A. Alkhateeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mathematics,,,
412b230127c05dbeab72b9d9c8f6bc9c55d566f7,https://www.semanticscholar.org/paper/412b230127c05dbeab72b9d9c8f6bc9c55d566f7,The Mortality and Medical Costs of Air Pollution: Evidence from Changes in Wind Direction,"We estimate the causal effects of acute fine particulate matter exposure on mortality, health care use, and medical costs among the US elderly using Medicare data. We instrument for air pollution using changes in local wind direction and develop a new approach that uses machine learning to estimate the life-years lost due to pollution exposure. Finally, we characterize treatment effect heterogeneity using both life expectancy and generic machine learning inference. Both approaches find that mortality effects are concentrated in about 25 percent of the elderly population.",2016,111,277,51,true,Geography,Medicine,4292991,T. Deryugina,66372515,Garth Heutel,2099940622,Nolan H. Miller,40051475,D. Molitor,39573999,J. Reif,,,,,,,,,,,,,,,,,,,,,,,,,,
