paperId,url,title,abstract,year,referenceCount,citationCount,influentialCitationCount,isOpenAccess,fieldsOfStudy/0,authors/0/authorId,authors/0/name,authors/1/authorId,authors/1/name,authors/2/authorId,authors/2/name,fieldsOfStudy/1,authors/3/authorId,authors/3/name,authors/4/authorId,authors/4/name,authors/5/authorId,authors/5/name,authors/6/authorId,authors/6/name,authors/7/authorId,authors/7/name,fieldsOfStudy/2,authors/8/authorId,authors/8/name,authors/9/authorId,authors/9/name,authors/10/authorId,authors/10/name,authors/11/authorId,authors/11/name,authors/12/authorId,authors/12/name,authors/13/authorId,authors/13/name,authors/14/authorId,authors/14/name,authors/15/authorId,authors/15/name,authors/16/authorId,authors/16/name,authors/17/authorId,authors/17/name,authors/18/authorId,authors/18/name,authors/19/authorId,authors/19/name,authors/20/authorId,authors/20/name,authors/21/authorId,authors/21/name
bf1a1f8f1c51500bb96055957c371825499841c3,https://www.semanticscholar.org/paper/bf1a1f8f1c51500bb96055957c371825499841c3,"What Can Machines Learn, and What Does It Mean for Occupations and the Economy?","Advances in machine learning (ML) are poised to transform numerous occupations and industries. This raises the question of which tasks will be most affected by ML. We apply the rubric evaluating task potential for ML in Brynjolfsson and Mitchell (2017) to build measures of ""Suitability for Machine Learning"" (SML) and apply it to 18,156 tasks in O*NET. We find that (i) ML affects different occupations than earlier automation waves; (ii) most occupations include at least some SML tasks; (iii) few occupations are fully automatable using ML; and (iv) realizing the potential of ML usually requires redesign of job task content.",2018,20,206,15,true,Computer Science,2841157,E. Brynjolfsson,40975594,Tom Michael Mitchell,144148548,Daniel Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
789c0aa09ad004400a07074e0c1ecdca207dccf4,https://www.semanticscholar.org/paper/789c0aa09ad004400a07074e0c1ecdca207dccf4,Dynamic ensemble extreme learning machine based on sample entropy,,2012,39,122,3,false,Computer Science,39375300,Jun-Hai Zhai,2146236373,Hong-Yu Xu,2154495143,Xizhao Wang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7b6dc4d999d1067ef9d442576264a42574888ed9,https://www.semanticscholar.org/paper/7b6dc4d999d1067ef9d442576264a42574888ed9,Machine Learning Interatomic Potentials as Emerging Tools for Materials Science,"Atomic‐scale modeling and understanding of materials have made remarkable progress, but they are still fundamentally limited by the large computational cost of explicit electronic‐structure methods such as density‐functional theory. This Progress Report shows how machine learning (ML) is currently enabling a new degree of realism in materials modeling: by “learning” electronic‐structure data, ML‐based interatomic potentials give access to atomistic simulations that reach similar accuracy levels but are orders of magnitude faster. A brief introduction to the new tools is given, and then, applications to some select problems in materials science are highlighted: phase‐change materials for memory devices; nanoparticle catalysts; and carbon‐based electrodes for chemical sensing, supercapacitors, and batteries. It is hoped that the present work will inspire the development and wider use of ML‐based interatomic potentials in diverse areas of materials research.",2019,166,219,0,true,Materials Science,2432235,Volker L. Deringer,143629921,M. Caro,2559761,Gábor Csányi,Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899db02ba28ef2479b5bea3e51627685be5b3865,https://www.semanticscholar.org/paper/899db02ba28ef2479b5bea3e51627685be5b3865,Deep Recurrent Neural Networks for Human Activity Recognition,"Adopting deep learning methods for human activity recognition has been effective in extracting discriminative features from raw input sequences acquired from body-worn sensors. Although human movements are encoded in a sequence of successive samples in time, typical machine learning methods perform recognition tasks without exploiting the temporal correlations between input data samples. Convolutional neural networks (CNNs) address this issue by using convolutions across a one-dimensional temporal sequence to capture dependencies among input data. However, the size of convolutional kernels restricts the captured range of dependencies between data samples. As a result, typical models are unadaptable to a wide range of activity-recognition configurations and require fixed-length input windows. In this paper, we propose the use of deep recurrent neural networks (DRNNs) for building recognition models that are capable of capturing long-range dependencies in variable-length input sequences. We present unidirectional, bidirectional, and cascaded architectures based on long short-term memory (LSTM) DRNNs and evaluate their effectiveness on miscellaneous benchmark datasets. Experimental results show that our proposed models outperform methods employing conventional machine learning, such as support vector machine (SVM) and k-nearest neighbors (KNN). Additionally, the proposed models yield better performance than other deep learning techniques, such as deep believe networks (DBNs) and CNNs.",2017,32,257,22,true,Computer Science,30050286,Abdulmajid Murad,1739676,Jae-Young Pyun,,,Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4fd5672a30ec6a620556ccf8dc1d9e76fc67a5bf,https://www.semanticscholar.org/paper/4fd5672a30ec6a620556ccf8dc1d9e76fc67a5bf,Identification of novel antibacterial peptides by chemoinformatics and machine learning.,"The rise of antibiotic resistant pathogens is one of the most pressing global health issues. Discovery of new classes of antibiotics has not kept pace; new agents often suffer from cross-resistance to existing agents of similar structure. Short, cationic peptides with antimicrobial activity are essential to the host defenses of many organisms and represent a promising new class of antimicrobials. This paper reports the successful in silico screening for potent antibiotic peptides using a combination of QSAR and machine learning techniques. On the basis of initial high-throughput measurements of activity of over 1400 random peptides, artificial neural network models were built using QSAR descriptors and subsequently used to screen an in silico library of approximately 100,000 peptides. In vitro validation of the modeling showed 94% accuracy in identifying highly active peptides. The best peptides identified through screening were found to have activities comparable or superior to those of four conventional antibiotics and superior to the peptide most advanced in clinical development against a broad array of multiresistant human pathogens.",2009,32,242,7,false,Biology,2160852,C. Fjell,15888696,H. Jenssen,2458164,K. Hilpert,Medicine,2059932271,Warren A. Cheung,4550592,N. Panté,143696638,R. Hancock,145230547,A. Cherkasov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9822fb52af14447c407cd4935024e9b25b8370e6,https://www.semanticscholar.org/paper/9822fb52af14447c407cd4935024e9b25b8370e6,Database Schema Matching Using Machine Learning with Feature Selection,,2002,19,227,9,true,Computer Science,2055559313,J. Berlin,3115735,Amihai Motro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9a0f57d9be88ff5779a3a9877ce28cc8c61805e7,https://www.semanticscholar.org/paper/9a0f57d9be88ff5779a3a9877ce28cc8c61805e7,COVID-19 Future Forecasting Using Supervised Machine Learning Models,"Machine learning (ML) based forecasting mechanisms have proved their significance to anticipate in perioperative outcomes to improve the decision making on the future course of actions. The ML models have long been used in many application domains which needed the identification and prioritization of adverse factors for a threat. Several prediction methods are being popularly used to handle forecasting problems. This study demonstrates the capability of ML models to forecast the number of upcoming patients affected by COVID-19 which is presently considered as a potential threat to mankind. In particular, four standard forecasting models, such as linear regression (LR), least absolute shrinkage and selection operator (LASSO), support vector machine (SVM), and exponential smoothing (ES) have been used in this study to forecast the threatening factors of COVID-19. Three types of predictions are made by each of the models, such as the number of newly infected cases, the number of deaths, and the number of recoveries in the next 10 days. The results produced by the study proves it a promising mechanism to use these methods for the current scenario of the COVID-19 pandemic. The results prove that the ES performs best among all the used models followed by LR and LASSO which performs well in forecasting the new confirmed cases, death rate as well as recovery rate, while SVM performs poorly in all the prediction scenarios given the available dataset.",2020,26,240,13,true,Computer Science,1430656665,Furqan Rustam,9341675,A. Reshi,1403306506,A. Mehmood,,48621790,S. Ullah,1791452,Byung-Won On,48001308,W. Aslam,32016133,G. Choi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4ec47080fcb2967cbedf2b9d821d7b458aff8799,https://www.semanticscholar.org/paper/4ec47080fcb2967cbedf2b9d821d7b458aff8799,Bayesian Network Refinement Via Machine Learning Approach,"An approach to refining Bayesian network structures from new data is developed. Most previous work has only considered the refinement of the network's conditional probability parameters and has not addressed the issue of refining the network's structure. We tackle this problem by a machine learning approach based on a formalism known as the minimum description length (MDL) principle. The MDL principle is well suited to this task since it can perform tradeoffs between the accuracy, simplicity, and closeness to the existent structure. Another salient feature of this refinement approach is the capability of refining a network structure using partially specified data. Moreover, a localization scheme is developed for efficient computation of the description lengths since direct evaluation involves exponential time resources.",1998,25,59,2,false,Computer Science,144594306,Wai Lam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b01a7ec32097a1f57fb80ef4073bc8a487d241fb,https://www.semanticscholar.org/paper/b01a7ec32097a1f57fb80ef4073bc8a487d241fb,Using corpora in machine-learning chatbot systems,"A chatbot is a machine conversation system which interacts with human users via natural conversational language. Software to machine-learn conversational patterns from a transcribed dialogue corpus has been used to generate a range of chatbots speaking various languages and sublanguages including varieties of English, as well as French, Arabic and Afrikaans. This paper presents a program to learn from spoken transcripts of the Dialogue Diversity Corpus of English, the Minnesota French Corpus, the Corpus of Spoken Afrikaans, the Qur’an Arabic-English parallel corpus, and the British National Corpus of English; we discuss the problems which arose during learning and testing. Two main goals were achieved from the automation process. One was the ability to generate different versions of the chatbot in different languages, bringing chatbot technology to languages with few if any NLP resources: the corpus-based learning techniques transferred straightforwardly to develop chatbots for Afrikaans and Qur’anic Arabic. The second achievement was the ability to learn a very large number of categories within a short time, saving effort and errors in doing such work manually: we generated more than one million AIML categories or conversation-rules from the BNC corpus, 20 times the size of existing AIML rule-sets, and probably the biggest AI Knowledge-Base ever.",2005,42,136,1,false,Computer Science,1697090,B. A. Shawar,144214753,E. Atwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28d7bc36509e6b0e3f2e890928ec9b1a8c9fb53e,https://www.semanticscholar.org/paper/28d7bc36509e6b0e3f2e890928ec9b1a8c9fb53e,Applying an existing machine learning algorithm to text categorization,,1995,18,52,3,false,Computer Science,1789324,Isabelle Moulinier,1686738,J. Ganascia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e8aa24d9c64f1215a97e8118905fad0189a53b97,https://www.semanticscholar.org/paper/e8aa24d9c64f1215a97e8118905fad0189a53b97,Machine learning and applications in ultrafast photonics,,2020,133,94,1,true,Computer Science,32921446,G. Genty,51042841,L. Salmela,31295217,J. Dudley,,145711155,D. Brunner,14218005,A. Kokhanovskiy,145335010,S. Kobtsev,2408477,S. Turitsyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2ae0ab5303cb374e79193da4846c193c666acc67,https://www.semanticscholar.org/paper/2ae0ab5303cb374e79193da4846c193c666acc67,Machine Learning a General-Purpose Interatomic Potential for Silicon,"The success of first principles electronic structure calculation for predictive modeling in chemistry, solid state physics, and materials science is constrained by the limitations on simulated length and time scales due to computational cost and its scaling. Techniques based on machine learning ideas for interpolating the Born-Oppenheimer potential energy surface without explicitly describing electrons have recently shown great promise, but accurately and efficiently fitting the physically relevant space of configurations has remained a challenging goal. Here we present a Gaussian Approximation Potential for silicon that achieves this milestone, accurately reproducing density functional theory reference results for a wide range of observable properties, including crystal, liquid, and amorphous bulk phases, as well as point, line, and plane defects. We demonstrate that this new potential enables calculations that would be extremely expensive with a first principles electronic structure method, such as finite temperature phase boundary lines, self-diffusivity in the liquid, formation of the amorphous by slow quench, and dynamic brittle fracture. We show that the uncertainty quantification inherent to the Gaussian process regression framework gives a qualitative estimate of the potential's accuracy for a given atomic configuration. The success of this model shows that it is indeed possible to create a useful machine-learning-based interatomic potential that comprehensively describes a material, and serves as a template for the development of such models in the future.",2018,218,218,7,true,Physics,3938091,A. Bartók,11724553,J. Kermode,2105796,N. Bernstein,Materials Science,2559761,Gábor Csányi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6a83c4fcc99ba6753109301949c5b7cfa978079,https://www.semanticscholar.org/paper/c6a83c4fcc99ba6753109301949c5b7cfa978079,The Alignment Template Approach to Statistical Machine Translation,"A phrase-based statistical machine translation approach the alignment template approach is described. This translation approach allows for general many-to-many relations between words. Thereby, the context of words is taken into account in the translation model, and local changes in word order from source to target language can be learned explicitly. The model is described using a log-linear modeling approach, which is a generalization of the often used source-channel approach. Thereby, the model is easier to extend than classical statistical machine translation systems. We describe in detail the process for learning phrasal translations, the feature functions used, and the search algorithm. The evaluation of this approach is performed on three different tasks. For the German-English speech Verbmobil task, we analyze the effect of various system components. On the French-English Canadian Hansards task, the alignment template system obtains significantly better results than a single-word-based translation model. In the Chinese-English 2002 National Institute of Standards and Technology (NIST) machine translation evaluation it yields statistically significantly better NIST scores than all competing research and commercial translation systems.",2004,50,1053,78,true,Computer Science,2002316,F. Och,145322333,H. Ney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
