paperId,url,title,abstract,year,referenceCount,citationCount,influentialCitationCount,isOpenAccess,fieldsOfStudy/0,authors/0/authorId,authors/0/name,authors/1/authorId,authors/1/name,authors/2/authorId,authors/2/name,authors/3/authorId,authors/3/name,authors/4/authorId,authors/4/name,authors/5/authorId,authors/5/name,authors/6/authorId,authors/6/name,fieldsOfStudy/1,fieldsOfStudy/2,authors/7/authorId,authors/7/name,authors/8/authorId,authors/8/name,authors/9/authorId,authors/9/name,authors/10/authorId,authors/10/name,authors/11/authorId,authors/11/name
6cff959a9dc84733200ad7fcf7089ec4bb9fd1bb,https://www.semanticscholar.org/paper/6cff959a9dc84733200ad7fcf7089ec4bb9fd1bb,INDUCTION OF DECISION TREES USING RELIEFF,,1995,12,200,8,false,Engineering,143986204,I. Kononenko,2649889,E. Simec,,,,,,,,,,,,,,,,,,,,,,
4f48d20824b18e1cf151eabe0128a79e4cf47bb8,https://www.semanticscholar.org/paper/4f48d20824b18e1cf151eabe0128a79e4cf47bb8,Learning invariants using decision trees and implication counterexamples,"Inductive invariants can be robustly synthesized using a learning model where the teacher is a program verifier who instructs the learner through concrete program configurations, classified as positive, negative, and implications. We propose the first learning algorithms in this model with implication counter-examples that are based on machine learning techniques. In particular, we extend classical decision-tree learning algorithms in machine learning to handle implication samples, building new scalable ways to construct small decision trees using statistical measures. We also develop a decision-tree learning algorithm in this model that is guaranteed to converge to the right concept (invariant) if one exists. We implement the learners and an appropriate teacher, and show that the resulting invariant synthesis is efficient and convergent for a large suite of programs.",2016,85,161,20,true,Computer Science,1802463,P. Garg,1779795,D. Neider,145104529,P. Madhusudan,144590225,D. Roth,,,,,,,,,,,,,,,,,,
29b5bdabb6f0cf99523b3d142bbe2a01c5f903b5,https://www.semanticscholar.org/paper/29b5bdabb6f0cf99523b3d142bbe2a01c5f903b5,Dropout prediction in e-learning courses through the combination of machine learning techniques,,2009,57,311,15,false,Computer Science,3229142,I. Lykourentzou,2502166,I. Giannoukos,34951142,V. Nikolopoulos,2865161,G. Mpardis,2692971,V. Loumos,,,,,,,,,,,,,,,,
0c8c500cec9b74ebc7be44c52b79d2bd78234605,https://www.semanticscholar.org/paper/0c8c500cec9b74ebc7be44c52b79d2bd78234605,Best practices in machine learning for chemistry,,2021,30,81,0,true,Medicine,11413392,Nongnuch Artrith,3300287,K. Butler,144646737,François-Xavier Coudert,1964642,Seungwu Han,2385206,O. Isayev,2541031,Anubhav Jain,2143601680,Aron Walsh,,,,,,,,,,,,
0fd357e4e4d84629bdb0b49c83a5a71cd6c43359,https://www.semanticscholar.org/paper/0fd357e4e4d84629bdb0b49c83a5a71cd6c43359,Machine Learning Methods for Demand Estimation,"We survey and apply several techniques from the statistical and computer science literature to the problem of demand estimation. To improve out-of-sample prediction accuracy, we propose a method of combining the underlying models via linear regression. Our method is robust to a large number of regressors; scales easily to very large data sets; combines model selection and estimation; and can flexibly approximate arbitrary non-linear functions. We illustrate our method using a standard scanner panel data set and find that our estimates are considerably more accurate in out-of-sample predictions of demand than some commonly used alternatives.",2015,14,142,16,false,Economics,52624594,Patrick Bajari,2307080,Denis Nekipelov,3288177,Stephen P. Ryan,152790172,Miaoyu Yang,,,,,,,,,,,,,,,,,,
34bed85f10510753a39baf728fddb3c5e2116ae6,https://www.semanticscholar.org/paper/34bed85f10510753a39baf728fddb3c5e2116ae6,Applied machine learning and artificial intelligence in rheumatology,"Abstract Machine learning as a field of artificial intelligence is increasingly applied in medicine to assist patients and physicians. Growing datasets provide a sound basis with which to apply machine learning methods that learn from previous experiences. This review explains the basics of machine learning and its subfields of supervised learning, unsupervised learning, reinforcement learning and deep learning. We provide an overview of current machine learning applications in rheumatology, mainly supervised learning methods for e-diagnosis, disease detection and medical image analysis. In the future, machine learning will be likely to assist rheumatologists in predicting the course of the disease and identifying important disease factors. Even more interestingly, machine learning will probably be able to make treatment propositions and estimate their expected benefit (e.g. by reinforcement learning). Thus, in future, shared decision-making will not only include the patient’s opinion and the rheumatologist’s empirical and evidence-based experience, but it will also be influenced by machine-learned evidence.",2020,55,53,3,false,Medicine,114651311,M. Hügle,6229929,P. Omoumi,144517223,J. V. van Laar,145581493,J. Boedecker,3746534,T. Hügle,,,,,,,,,,,,,,,,
4e1f35169edb0debd734e7e5834b5672ca7911e1,https://www.semanticscholar.org/paper/4e1f35169edb0debd734e7e5834b5672ca7911e1,Low Data Drug Discovery with One-Shot Learning,"Recent advances in machine learning have made significant contributions to drug discovery. Deep neural networks in particular have been demonstrated to provide significant boosts in predictive power when inferring the properties and activities of small-molecule compounds (Ma, J. et al. J. Chem. Inf. Model.2015, 55, 263–27425635324). However, the applicability of these techniques has been limited by the requirement for large amounts of training data. In this work, we demonstrate how one-shot learning can be used to significantly lower the amounts of data required to make meaningful predictions in drug discovery applications. We introduce a new architecture, the iterative refinement long short-term memory, that, when combined with graph convolutional neural networks, significantly improves learning of meaningful distance metrics over small-molecules. We open source all models introduced in this work as part of DeepChem, an open-source framework for deep-learning in drug discovery (Ramsundar, B. deepchem.io. https://github.com/deepchem/deepchem, 2016).",2016,43,457,24,true,Computer Science,1400903276,H. Altae-Tran,2378027,Bharath Ramsundar,5929246,Aneesh S. Pappu,1806271,V. Pande,,,,,,,Mathematics,Medicine,,,,,,,,,,
6566d324f4834c73284049420a2c99c3063a1fef,https://www.semanticscholar.org/paper/6566d324f4834c73284049420a2c99c3063a1fef,Democratic co-learning,"For many machine learning applications it is important to develop algorithms that use both labeled and unlabeled data. We present democratic colearning in which multiple algorithms instead of multiple views enable learners to label data for each other. Our technique leverages off the fact that different learning algorithms have different inductive biases and that better predictions can be made by the voted majority. We also present democratic priority sampling, a new example selection method for active learning.",2004,20,207,22,false,Computer Science,2150921406,Yan Zhou,32150954,S. Goldman,,,,,,,,,,,,,,,,,,,,,,
8a8e4fa580a81ba2fcb86965f323709cafcab275,https://www.semanticscholar.org/paper/8a8e4fa580a81ba2fcb86965f323709cafcab275,Representation Learning for Dynamic Graphs: A Survey,"Graphs arise naturally in many real-world applications including social networks, recommender systems, ontologies, biology, and computational finance. Traditionally, machine learning models for graphs have been mostly designed for static graphs. However, many applications involve evolving graphs. This introduces important challenges for learning and inference since nodes, attributes, and edges change over time. In this survey, we review the recent advances in representation learning for dynamic graphs, including dynamic knowledge graphs. We describe existing models from an encoder-decoder perspective, categorize these encoders and decoders based on the techniques they employ, and analyze the approaches in each category. We also review several prominent applications and widely used datasets and highlight directions for future research.",2019,286,143,14,false,Computer Science,2470890,Seyed Mehran Kazemi,46186660,Rishab Goel,40133859,Kshitij Jain,66895761,I. Kobyzev,40639989,Akshay Sethi,123211350,Peter Forsyth,1807041,P. Poupart,Mathematics,,1704422,K. Borgwardt,,,,,,,,
6338670193f9fdcfd3b6e7cec414f15ca906a85f,https://www.semanticscholar.org/paper/6338670193f9fdcfd3b6e7cec414f15ca906a85f,SVDFeature: a toolkit for feature-based collaborative filtering,"In this paper we introduce SVDFeature, a machine learning toolkit for feature-based collaborative filtering. SVDFeature is designed to efficiently solve the feature-based matrix factorization. The feature-based setting allows us to build factorization models incorporating side information such as temporal dynamics, neighborhood relationship, and hierarchical information. The toolkit is capable of both rate prediction and collaborative ranking, and is carefully designed for efficient training on large-scale data set. Using this toolkit, we built solutions to win KDD Cup for two consecutive years.",2012,3,231,33,false,Computer Science,1913774,Tianqi Chen,2108309275,Weinan Zhang,2117522623,Qiuxia Lu,1995670,Kailong Chen,2115548759,Zhao Zheng,1811427,Yong Yu,,,,,,,,,,,,,,
