paperId,url,title,abstract,year,referenceCount,citationCount,influentialCitationCount,isOpenAccess,fieldsOfStudy/0,fieldsOfStudy/1,authors/0/authorId,authors/0/name,authors/1/authorId,authors/1/name,authors/2/authorId,authors/2/name,authors/3/authorId,authors/3/name,authors/4/authorId,authors/4/name,authors/5/authorId,authors/5/name,fieldsOfStudy/2,authors/6/authorId,authors/6/name,authors/7/authorId,authors/7/name,authors/8/authorId,authors/8/name,authors/9/authorId,authors/9/name,authors/10/authorId,authors/10/name,authors/11/authorId,authors/11/name,authors/12/authorId,authors/12/name,authors/13/authorId,authors/13/name,authors/14/authorId,authors/14/name,authors/15/authorId,authors/15/name,authors/16/authorId,authors/16/name,authors/17/authorId,authors/17/name,authors/18/authorId,authors/18/name,authors/19/authorId,authors/19/name,authors/20/authorId,authors/20/name,authors/21/authorId,authors/21/name,authors/22/authorId,authors/22/name,authors/23/authorId,authors/23/name,authors/24/authorId,authors/24/name,authors/25/authorId,authors/25/name,authors/26/authorId,authors/26/name,authors/27/authorId,authors/27/name,authors/28/authorId,authors/28/name,authors/29/authorId,authors/29/name,authors/30/authorId,authors/30/name,authors/31/authorId,authors/31/name,authors/32/authorId,authors/32/name,authors/33/authorId,authors/33/name,authors/34/authorId,authors/34/name,authors/35/authorId,authors/35/name,authors/36/authorId,authors/36/name,authors/37/authorId,authors/37/name,authors/38/authorId,authors/38/name,authors/39/authorId,authors/39/name,authors/40/authorId,authors/40/name,authors/41/authorId,authors/41/name,authors/42/authorId,authors/42/name,authors/43/authorId,authors/43/name,authors/44/authorId,authors/44/name,authors/45/authorId,authors/45/name,authors/46/authorId,authors/46/name,authors/47/authorId,authors/47/name,authors/48/authorId,authors/48/name,authors/49/authorId,authors/49/name,authors/50/authorId,authors/50/name,authors/51/authorId,authors/51/name,authors/52/authorId,authors/52/name,authors/53/authorId,authors/53/name,authors/54/authorId,authors/54/name,authors/55/authorId,authors/55/name,authors/56/authorId,authors/56/name,authors/57/authorId,authors/57/name,authors/58/authorId,authors/58/name,authors/59/authorId,authors/59/name,authors/60/authorId,authors/60/name,authors/61/authorId,authors/61/name,authors/62/authorId,authors/62/name,authors/63/authorId,authors/63/name,authors/64/authorId,authors/64/name,authors/65/authorId,authors/65/name,authors/66/authorId,authors/66/name,authors/67/authorId,authors/67/name,authors/68/authorId,authors/68/name,authors/69/authorId,authors/69/name,authors/70/authorId,authors/70/name,authors/71/authorId,authors/71/name,authors/72/authorId,authors/72/name,authors/73/authorId,authors/73/name,authors/74/authorId,authors/74/name,authors/75/authorId,authors/75/name,authors/76/authorId,authors/76/name,authors/77/authorId,authors/77/name,authors/78/authorId,authors/78/name,authors/79/authorId,authors/79/name,authors/80/authorId,authors/80/name,authors/81/authorId,authors/81/name,authors/82/authorId,authors/82/name,authors/83/authorId,authors/83/name,authors/84/authorId,authors/84/name,authors/85/authorId,authors/85/name,authors/86/authorId,authors/86/name,authors/87/authorId,authors/87/name,authors/88/authorId,authors/88/name,authors/89/authorId,authors/89/name,authors/90/authorId,authors/90/name,authors/91/authorId,authors/91/name,authors/92/authorId,authors/92/name,authors/93/authorId,authors/93/name,authors/94/authorId,authors/94/name,authors/95/authorId,authors/95/name,authors/96/authorId,authors/96/name,authors/97/authorId,authors/97/name,authors/98/authorId,authors/98/name,authors/99/authorId,authors/99/name,authors/100/authorId,authors/100/name,authors/101/authorId,authors/101/name,authors/102/authorId,authors/102/name,authors/103/authorId,authors/103/name,authors/104/authorId,authors/104/name,authors/105/authorId,authors/105/name,authors/106/authorId,authors/106/name,authors/107/authorId,authors/107/name,authors/108/authorId,authors/108/name,authors/109/authorId,authors/109/name,authors/110/authorId,authors/110/name,authors/111/authorId,authors/111/name,authors/112/authorId,authors/112/name,authors/113/authorId,authors/113/name,authors/114/authorId,authors/114/name,authors/115/authorId,authors/115/name,authors/116/authorId,authors/116/name,authors/117/authorId,authors/117/name
0a8ccbf9f337c08984a769b64a50b1984e13fbd6,https://www.semanticscholar.org/paper/0a8ccbf9f337c08984a769b64a50b1984e13fbd6,Toolkits and Libraries for Deep Learning,,2017,12,111,2,true,Computer Science,Medicine,144917634,B. Erickson,1986491,P. Korfiatis,2015410,Z. Akkus,4729578,T. Kline,4655969,K. Philbrick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a134313c09f23f8c7c8c5ec4e6b578784ab496b5,https://www.semanticscholar.org/paper/a134313c09f23f8c7c8c5ec4e6b578784ab496b5,Accelerated Monte Carlo simulations with restricted Boltzmann machines,"Despite their exceptional flexibility and popularity, the Monte Carlo methods often suffer from slow mixing times for challenging statistical physics problems. We present a general strategy to overcome this difficulty by adopting ideas and techniques from the machine learning community. We fit the unnormalized probability of the physical model to a feedforward neural network and reinterpret the architecture as a restricted Boltzmann machine. Then, exploiting its feature detection ability, we utilize the restricted Boltzmann machine for efficient Monte Carlo updates and to speed up the simulation of the original physical system. We implement these ideas for the Falicov-Kimball model and demonstrate improved acceptance ratio and autocorrelation time near the phase transition point.",2016,47,168,7,true,Physics,Mathematics,2143701665,Li Huang,2152514294,Lei Wang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79ac1ac6fcbb0e75e67eecefdfa2978fc4dd09f9,https://www.semanticscholar.org/paper/79ac1ac6fcbb0e75e67eecefdfa2978fc4dd09f9,'First Aid for You': getting to know your learning style using machine learning,"Research on learning has shown that students learn differently and that they prefer to use different type of resources. Adaptive educational systems can support different learning characteristics by building a model of the student's learning behaviour and subsequently adapting the learning environment to match different needs. However major challenges exist, as it is not clear how a student model of learning style can be accurately built. One solution may be in the use of machine learning techniques. This paper presents 'First Aid For You', a novel adaptive educational system that dynamically determines learning style using machine learning techniques. The paper describes how it uses the Feider & Solomon Index of Learning Style to design an environment for different learning styles. It also describes how, as the student interacts with the learning environment, it uses the Naive Bayes algorithm to predict the student's preferred learning style and adaptively customize the learning environment.",2005,11,34,0,false,Computer Science,,145240878,Declan Kelly,1704775,B. Tangney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5abb0aacf11480b702ffa727de46c134348b1390,https://www.semanticscholar.org/paper/5abb0aacf11480b702ffa727de46c134348b1390,Machine Learning Methods for Planning,,1994,0,75,2,false,Computer Science,,145293454,Steven Minton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1f58e8d4c827037d4c2a1afc695a88704e088beb,https://www.semanticscholar.org/paper/1f58e8d4c827037d4c2a1afc695a88704e088beb,Inductive Representation Learning on Temporal Graphs,"Inductive representation learning on temporal graphs is an important step toward salable machine learning on real-world dynamic networks. The evolving nature of temporal dynamic graphs requires handling new nodes as well as capturing temporal patterns. The node embeddings, which are now functions of time, should represent both the static node features and the evolving topological structures. Moreover, node and topological features can be temporal as well, whose patterns the node embeddings should also capture. We propose the temporal graph attention (TGAT) layer to efficiently aggregate temporal-topological neighborhood features as well as to learn the time-feature interactions. For TGAT, we use the self-attention mechanism as building block and develop a novel functional time encoding technique based on the classical Bochner's theorem from harmonic analysis. By stacking TGAT layers, the network recognizes the node embeddings as functions of time and is able to inductively infer embeddings for both new and observed nodes as the graph evolves. The proposed approach handles both node classification and link prediction task, and can be naturally extended to include the temporal edge features. We evaluate our method with transductive and inductive tasks under temporal settings with two benchmark and one industrial dataset. Our TGAT model compares favorably to state-of-the-art baselines as well as the previous temporal graph embedding approaches.",2020,38,178,58,false,Computer Science,Mathematics,2118285164,Da Xu,39772097,Chuanwei Ruan,3064955,Evren Körpeoglu,152663193,Sushant Kumar,1684085,Kannan Achan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6a2efd7e59ec314e29850e744be05eb65ccdfbc4,https://www.semanticscholar.org/paper/6a2efd7e59ec314e29850e744be05eb65ccdfbc4,Making AI Forget You: Data Deletion in Machine Learning,"Intense recent discussions have focused on how to provide individuals with control over when their data can and cannot be used --- the EU's Right To Be Forgotten regulation is an example of this effort. In this paper we initiate a framework studying what to do when it is no longer permissible to deploy models derivative from specific user data. In particular, we formulate the problem of efficiently deleting individual data points from trained machine learning models. For many standard ML models, the only way to completely remove an individual's data is to retrain the whole model from scratch on the remaining data, which is often not computationally practical. We investigate algorithmic principles that enable efficient data deletion in ML. For the specific setting of k-means clustering, we propose two provably efficient deletion algorithms which achieve an average of over 100X improvement in deletion efficiency across 6 datasets, while producing clusters of comparable statistical quality to a canonical k-means++ baseline.",2019,95,142,22,false,Computer Science,Mathematics,35308773,Antonio A. Ginart,152565355,M. Guan,1806083,G. Valiant,145085305,James Y. Zou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271c040ea880abc2470f72690ed89bc3d8a11a2c,https://www.semanticscholar.org/paper/271c040ea880abc2470f72690ed89bc3d8a11a2c,Improving the accuracy and speed of support vector learning machines,,1997,0,222,7,false,Computer Science,,79783680,C. Burges,1707625,B. Schölkopf,2099637865,Mozer,2054400760,M. Jordan,2214848,T. Petsche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4200ce8f26606b5f20511c879d3ff4d21709b6c,https://www.semanticscholar.org/paper/d4200ce8f26606b5f20511c879d3ff4d21709b6c,A review of machine learning for the optimization of production processes,,2019,128,97,3,false,Engineering,,150978254,D. Weichert,94564331,Patrick Link,2020810780,Anke Stoll,1804144,S. Rüping,2295665,S. Ihlenfeldt,145057418,S. Wrobel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc62320d22a861d1d2e0eff7b150b06afc98e1f6,https://www.semanticscholar.org/paper/dc62320d22a861d1d2e0eff7b150b06afc98e1f6,Learning and Generalization: With Applications to Neural Networks,"How does a machine learn a new concept on the basis of examples? This second edition takes account of important new developments in the field. It also deals extensively with the theory of learning control systems, now comparably mature to learning of neural networks.",2002,0,180,41,false,Computer Science,,145271313,M. Vidyasagar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5568c78e4dd7bbe5ff56ad4477370014221aee5d,https://www.semanticscholar.org/paper/5568c78e4dd7bbe5ff56ad4477370014221aee5d,MACHINE LEARNING METHODS FOR SPAM E-MAIL CLASSIFICATION,"The increasing volume of unsolicited bulk e-mail (also known as spam) has generated a need for reliable anti-spam filters. Machine learning techniques now days used to automatically filter the spam e-mail in a very successful rate. In this paper we review some of the most popular machine learning methods (Bayesian classification, k-NN, ANNs, SVMs, Artificial immune system and Rough sets) and of their applicability to the problem of spam Email classification. Descriptions of the algorithms are presented, and the comparison of their performance on the SpamAssassin spam corpus is presented.",2011,17,105,8,true,Computer Science,,38185321,W. Awad,70354616,S. Elseuofi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
