paperId,url,title,abstract,year,referenceCount,citationCount,influentialCitationCount,isOpenAccess,fieldsOfStudy/0,authors/0/authorId,authors/0/name,authors/1/authorId,authors/1/name,authors/2/authorId,authors/2/name,authors/3/authorId,authors/3/name,authors/4/authorId,authors/4/name,authors/5/authorId,authors/5/name,authors/6/authorId,authors/6/name,authors/7/authorId,authors/7/name,authors/8/authorId,authors/8/name,authors/9/authorId,authors/9/name,authors/10/authorId,authors/10/name,authors/11/authorId,authors/11/name,authors/12/authorId,authors/12/name,authors/13/authorId,authors/13/name,fieldsOfStudy/1,fieldsOfStudy/2,authors/14/authorId,authors/14/name,authors/15/authorId,authors/15/name,authors/16/authorId,authors/16/name,authors/17/authorId,authors/17/name,authors/18/authorId,authors/18/name,authors/19/authorId,authors/19/name,authors/20/authorId,authors/20/name,authors/21/authorId,authors/21/name,authors/22/authorId,authors/22/name,authors/23/authorId,authors/23/name
1cf485914368e763db2b39e0cfb8faa616aa67d3,https://www.semanticscholar.org/paper/1cf485914368e763db2b39e0cfb8faa616aa67d3,Machine learning‐based phenogrouping in heart failure to identify responders to cardiac resynchronization therapy,We tested the hypothesis that a machine learning (ML) algorithm utilizing both complex echocardiographic data and clinical parameters could be used to phenogroup a heart failure (HF) cohort and identify patients with beneficial response to cardiac resynchronization therapy (CRT).,2018,32,117,2,true,Medicine,2469112,M. Čikeš,1402021133,S. Sanchez-Martinez,2631406,B. Claggett,2259331,N. Duchateau,50186507,G. Piella,1688567,C. Butakoff,50103318,A. Pouleur,21452635,D. Knappe,1390073322,T. Biering-Sørensen,4737467,V. Kutyifa,3145614,A. Moss,144400731,K. Stein,49329330,S. Solomon,144609278,B. Bijnens,,,,,,,,,,,,,,,,,,,,,,
24e250cb8a94742eed51dc2035fb41bddea2ceb9,https://www.semanticscholar.org/paper/24e250cb8a94742eed51dc2035fb41bddea2ceb9,Applying reinforcement learning towards automating resource allocation and application scalability in the cloud,"Public Infrastructure as a Service (IaaS) clouds such as Amazon, GoGrid and Rackspace deliver computational resources by means of virtualisation technologies. These technologies allow multiple independent virtual machines to reside in apparent isolation on the same physical host. Dynamically scaling applications running on IaaS clouds can lead to varied and unpredictable results because of the performance interference effects associated with co‐located virtual machines. Determining appropriate scaling policies in a dynamic non‐stationary environment is non‐trivial. One principle advantage exhibited by IaaS clouds over their traditional hosting counterparts is the ability to scale resources on‐demand. However, a problem arises concerning resource allocation as to which resources should be added and removed when the underlying performance of the resource is in a constant state of flux. Decision theoretic frameworks such as Markov Decision Processes are particularly suited to decision making under uncertainty. By applying a temporal difference, reinforcement learning algorithm known as Q‐learning, optimal scaling policies can be determined. Additionally, reinforcement learning techniques typically suffer from curse of dimensionality problems, where the state space grows exponentially with each additional state variable. To address this challenge, we also present a novel parallel Q‐learning approach aimed at reducing the time taken to determine optimal policies whilst learning online. Copyright © 2012 John Wiley & Sons, Ltd.",2013,38,202,18,true,Computer Science,47862122,E. Barrett,48313838,E. Howley,2462471,J. Duggan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cfa2646776405d50533055ceb1b7f050e9014dcb,https://www.semanticscholar.org/paper/cfa2646776405d50533055ceb1b7f050e9014dcb,Semi-Supervised Recursive Autoencoders for Predicting Sentiment Distributions,"We introduce a novel machine learning framework based on recursive autoencoders for sentence-level prediction of sentiment label distributions. Our method learns vector space representations for multi-word phrases. In sentiment prediction tasks these representations outperform other state-of-the-art approaches on commonly used datasets, such as movie reviews, without using any pre-defined sentiment lexica or polarity shifting rules. We also evaluate the model's ability to predict sentiment distributions on a new dataset based on confessions from the experience project. The dataset consists of personal user stories annotated with multiple labels which, when aggregated, form a multinomial distribution that captures emotional reactions. Our algorithm can more accurately predict distributions over such labels compared to several competitive baselines.",2011,38,1288,135,false,Computer Science,2166511,R. Socher,143845796,Jeffrey Pennington,40150953,E. Huang,34699434,A. Ng,144783904,Christopher D. Manning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b7ae5c745ed5ab496b60ec5dc57db26712c177e,https://www.semanticscholar.org/paper/3b7ae5c745ed5ab496b60ec5dc57db26712c177e,Machine learning in individual claims reserving,Abstract Machine learning techniques make it feasible to calculate claims reserves on individual claims data. This paper illustrates how these techniques can be used by providing an explicit example in individual claims reserving.,2018,21,66,11,false,Computer Science,3254367,M. Wüthrich,,,,,,,,,,,,,,,,,,,,,,,,,,,Business,Mathematics,,,,,,,,,,,,,,,,,,,,
3dbb621f1c35c659f3ce6efadad7aa16308fae13,https://www.semanticscholar.org/paper/3dbb621f1c35c659f3ce6efadad7aa16308fae13,Breast cancer histopathological image classification using Convolutional Neural Networks,"The performance of most conventional classification systems relies on appropriate data representation and much of the efforts are dedicated to feature engineering, a difficult and time-consuming process that uses prior expert domain knowledge of the data to create useful features. On the other hand, deep learning can extract and organize the discriminative information from the data, not requiring the design of feature extractors by a domain expert. Convolutional Neural Networks (CNNs) are a particular type of deep, feedforward network that have gained attention from research community and industry, achieving empirical successes in tasks such as speech recognition, signal processing, object recognition, natural language processing and transfer learning. In this paper, we conduct some preliminary experiments using the deep learning approach to classify breast cancer histopathological images from BreaKHis, a publicly dataset available at http://web.inf.ufpr.br/vri/breast-cancer-database. We propose a method based on the extraction of image patches for training the CNN and the combination of these patches for final classification. This method aims to allow using the high-resolution histopathological images from BreaKHis as input to existing CNN, avoiding adaptations of the model that can lead to a more complex and computationally costly architecture. The CNN performance is better when compared to previously reported results obtained by other machine learning models trained with hand-crafted textural descriptors. Finally, we also investigate the combination of different CNNs using simple fusion rules, achieving some improvement in recognition rates.",2016,33,559,41,false,Computer Science,32786132,F. Spanhol,144925520,Luiz Oliveira,144518944,C. Petitjean,1804638,L. Heutte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18939eadc9c4460c8385e0591cde214a1ead067b,https://www.semanticscholar.org/paper/18939eadc9c4460c8385e0591cde214a1ead067b,Reliable evaluation of adversarial robustness with an ensemble of diverse parameter-free attacks,"The field of defense strategies against adversarial attacks has significantly grown over the last years, but progress is hampered as the evaluation of adversarial defenses is often insufficient and thus gives a wrong impression of robustness. Many promising defenses could be broken later on, making it difficult to identify the state-of-the-art. Frequent pitfalls in the evaluation are improper tuning of hyperparameters of the attacks, gradient obfuscation or masking. In this paper we first propose two extensions of the PGD-attack overcoming failures due to suboptimal step size and problems of the objective function. We then combine our novel attacks with two complementary existing ones to form a parameter-free, computationally affordable and user-independent ensemble of attacks to test adversarial robustness. We apply our ensemble to over 50 models from papers published at recent top machine learning and computer vision venues. In all except one of the cases we achieve lower robust test accuracy than reported in these papers, often by more than $10\%$, identifying several broken defenses.",2020,58,653,225,false,Computer Science,39171784,Francesco Croce,143610806,Matthias Hein,,,,,,,,,,,,,,,,,,,,,,,,,Mathematics,,,,,,,,,,,,,,,,,,,,,
16f05470e01a0c6fd7e925f77d48302bbf872189,https://www.semanticscholar.org/paper/16f05470e01a0c6fd7e925f77d48302bbf872189,Online Algorithms for Rent-Or-Buy with Expert Advice,"We study the use of predictions by multiple experts (such as machine learning algorithms) to improve the performance of online algorithms. In particular, we consider the classical rent-or-buy problem (also called ski rental), and obtain algorithms that provably improve their performance over the adversarial scenario by using these predictions. We also prove matching lower bounds to show that our algorithms are the best possible, and perform experiments to empirically validate their performance in practice.",2019,20,86,6,false,Computer Science,144979147,Sreenivas Gollapudi,1715972,Debmalya Panigrahi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f1f83b6d5956d56e6600e68a9ca5891377cef87,https://www.semanticscholar.org/paper/5f1f83b6d5956d56e6600e68a9ca5891377cef87,Utilization of machine-learning models to accurately predict the risk for critical COVID-19,,2020,57,118,5,true,Medicine,119033666,Dany H. Assaf,1825878450,Yaara Gutman,3195270,Yair Neuman,66626086,G. Segal,48688306,S. Amit,1423548695,S. Gefen-Halevi,84458512,Noya Shilo,2052370055,Avi Epstein,1398224767,R. Mor-cohen,49415379,A. Biber,4180471,G. Rahav,48909355,I. Levy,34509954,A. Tirosh,,,,,,,,,,,,,,,,,,,,,,,,
1d4b4f1ca1e7492820411fd668f09984fefe8c3e,https://www.semanticscholar.org/paper/1d4b4f1ca1e7492820411fd668f09984fefe8c3e,Visual Analytics for Explainable Deep Learning,"Recently, deep learning has been advancing the state of the art in artificial intelligence to a new level, and humans rely on artificial intelligence techniques more than ever. However, even with such unprecedented advancements, the lack of explanation regarding the decisions made by deep learning models and absence of control over their internal processes act as major drawbacks in critical decision-making processes, such as precision medicine and law enforcement. In response, efforts are being made to make deep learning interpretable and controllable by humans. This article reviews visual analytics, information visualization, and machine learning perspectives relevant to this aim, and discusses potential challenges and future research directions.",2018,18,158,10,true,Computer Science,1795455,J. Choo,48641970,Shixia Liu,,,,,,,,,,,,,,,,,,,,,,,,,Mathematics,Medicine,,,,,,,,,,,,,,,,,,,,
05ceee276cfbb202ae4177f047f30d255d9aba9e,https://www.semanticscholar.org/paper/05ceee276cfbb202ae4177f047f30d255d9aba9e,Detection of COVID-19 Infection from Routine Blood Exams with Machine Learning: A Feasibility Study,,2020,56,191,21,true,Medicine,1783994613,Davide Brinati,19173181,A. Campagner,153501570,Davide Ferrari,40361946,M. Locatelli,145244821,G. Banfi,3037324,F. Cabitza,,,,,,,,,,,,,,,,,Computer Science,,,,,,,,,,,,,,,,,,,,,
