paperId,url,title,abstract,year,referenceCount,citationCount,influentialCitationCount,isOpenAccess,fieldsOfStudy/0,authors/0/authorId,authors/0/name,authors/1/authorId,authors/1/name,authors/2/authorId,authors/2/name,authors/3/authorId,authors/3/name,authors/4/authorId,authors/4/name,authors/5/authorId,authors/5/name,authors/6/authorId,authors/6/name,fieldsOfStudy/1,authors/7/authorId,authors/7/name,authors/8/authorId,authors/8/name,authors/9/authorId,authors/9/name,authors/10/authorId,authors/10/name,authors/11/authorId,authors/11/name,authors/12/authorId,authors/12/name,authors/13/authorId,authors/13/name,authors/14/authorId,authors/14/name,authors/15/authorId,authors/15/name,fieldsOfStudy/2,fieldsOfStudy/3,authors/16/authorId,authors/16/name
9dae109dd5c94f4aa7d9a62db9ac472e9395403d,https://www.semanticscholar.org/paper/9dae109dd5c94f4aa7d9a62db9ac472e9395403d,Smart fog: Fog computing framework for unsupervised clustering analytics in wearable Internet of Things,"The increasing use of wearables in smart telehealth system led to the generation of large medical big data. Cloud and fog services leverage these data for assisting clinical procedures. IoT Healthcare has been benefited from this large pool of generated data. This paper suggests the use of low-resource machine learning on Fog devices kept close to wearables for smart telehealth. For traditional telecare systems, the signal processing and machine learning modules are deployed in the cloud that processes physiological data. This paper presents a Fog architecture that relied on unsupervised machine learning big data analysis for discovering patterns in physiological data. We developed a prototype using Intel Edison and Raspberry Pi that was tested on real-world pathological speech data from telemonitoring of patients with Parkinson's disease (PD). Proposed architecture employed machine learning for analysis of pathological speech data obtained from smart watches worn by the patients with PD. Results show that proposed architecture is promising for low-resource machine learning. It could be useful for other applications within wearable IoT for smart telehealth scenarios by translating machine learning approaches from the cloud backend to edge computing devices such as Fog.",2017,23,63,2,true,Computer Science,19206955,Debanjan Borthakur,1732944,Harishchandra Dubey,2163090,Nicholas Constant,39541546,L. Mahler,1690308,K. Mankodiya,,,,,,,,,,,,,,,,,,,,,,,,,,,
6f1b66645aa127c88afa83578c8f865d49f10280,https://www.semanticscholar.org/paper/6f1b66645aa127c88afa83578c8f865d49f10280,Multi-level hybrid support vector machine and extreme learning machine based on modified K-means for intrusion detection system,,2017,38,297,13,false,Computer Science,1398865616,Wathiq Laftah Al-Yaseen,2070207,Z. Othman,3417676,M. Nazri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
df51e3aa05047aec4646b9810236f01840f911bc,https://www.semanticscholar.org/paper/df51e3aa05047aec4646b9810236f01840f911bc,Predicting outcomes of case based legal arguments,"In this paper, we introduce IBP, an algorithm that combines reasoning with an abstract domain model and case-based reasoning techniques to predict the outcome of case-based legal arguments. Unlike the predictions generated by statistical or machine-learning techniques, IBP's predictions are accompanied by explanations.We describe an empirical evaluation of IBP, in which we compare our algorithm to prediction based on Hypo's and CATO's relevance criteria, and to a number of widely used machine learning algorithms. IBP reaches higher accuracy than all competitors, and hypothesis testing shows that the observed differences are statistically significant. An ablation study indicates that both sources of knowledge in IBP contribute to the accuracy of its predictions.",2003,25,117,21,false,Computer Science,2001479,Stefanie Brüninghaus,1770311,Kevin D. Ashley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60e3c4d57c82a3b0d25a454e7e7d31a59154f21c,https://www.semanticscholar.org/paper/60e3c4d57c82a3b0d25a454e7e7d31a59154f21c,Machine Learning Methods for Computer Security (Dagstuhl Perspectives Workshop 12371),"The study of learning in adversarial environments is an emerging discipline at the juncture between machine learning and computer security that raises new questions within both fields. 
 
The interest in learning-based methods for security and system design applications comes from the high degree of complexity of phenomena underlying the security and reliability of computer systems. As it becomes increasingly difficult to reach the desired properties by design alone, learning methods are being used to obtain a better understanding of various data collected from these complex systems. 
 
However, learning approaches can be co-opted or evaded by adversaries, who change to counter them. To-date, there has been limited research into learning techniques that are resilient to attacks with provable robustness guarantees making the task of designing secure learning-based systems a lucrative open 
research area with many challenges. 
 
The Perspectives Workshop, ``Machine Learning Methods for Computer Security'' was convened to bring together interested researchers from both the computer security and machine learning communities to discuss techniques, challenges, and future research directions for secure learning and learning-based security applications. 
 
This workshop featured twenty-two invited talks from leading researchers within the secure learning community covering topics in adversarial learning, game-theoretic learning, collective classification, privacy-preserving learning, security evaluation metrics, digital forensics, authorship identification, adversarial advertisement detection, learning for offensive security, and data sanitization. The workshop also featured workgroup sessions 
organized into three topic: machine learning for computer security, secure learning, and future applications of secure learning.",2012,0,47,1,false,Computer Science,1687701,A. Joseph,1754215,P. Laskov,1710171,F. Roli,1787610,J. Tygar,39743720,Blaine Nelson,,,,,,,,,,,,,,,,,,,,,,,,,,,
3f9a004654095a2e23699869ed517662d4b42f93,https://www.semanticscholar.org/paper/3f9a004654095a2e23699869ed517662d4b42f93,A Machine Learning Approach for Feature-Sensitive Motion Planning,,2004,30,113,3,false,Computer Science,143675341,M. Morales,144922292,Lydia Tapia,2157171,R. Pearce,145954385,S. Rodríguez,1678972,N. Amato,,,,,,,,,,,,,,,,,,,,,,,,,,,
f57554fa3537b3b2d14a1c50b85cd88045803592,https://www.semanticscholar.org/paper/f57554fa3537b3b2d14a1c50b85cd88045803592,Improving refugee integration through data-driven algorithmic assignment,"Data-driven refugee assignment The continuing refugee crisis has made it necessary for governments to find ways to resettle individuals and families in host communities. Bansak et al. used a machine learning approach to develop an algorithm for geographically placing refugees to optimize their overall employment rate. The authors developed and tested the algorithm on segments of registry data from the United States and Switzerland. The algorithm improved the employment prospects of refugees in the United States by ∼40% and in Switzerland by ∼75%. Science, this issue p. 325 A machine learning–based algorithm for assigning refugees can improve their employment prospects over current approaches. Developed democracies are settling an increased number of refugees, many of whom face challenges integrating into host societies. We developed a flexible data-driven algorithm that assigns refugees across resettlement locations to improve integration outcomes. The algorithm uses a combination of supervised machine learning and optimal matching to discover and leverage synergies between refugee characteristics and resettlement sites. The algorithm was tested on historical registry data from two countries with different assignment regimes and refugee populations, the United States and Switzerland. Our approach led to gains of roughly 40 to 70%, on average, in refugees’ employment outcomes relative to current assignment practices. This approach can provide governments with a practical and cost-efficient policy tool that can be immediately implemented within existing institutional structures.",2018,38,161,17,false,Medicine,8074481,Kirk Bansak,35299236,Jeremy Ferwerda,4600197,Jens Hainmueller,50033874,Andrea Dillon,4026563,Dominik Hangartner,39523274,Duncan Lawrence,2223030,J. Weinstein,,,,,,,,,,,,,,,,,,,,,,,
8aabf5ba342d37edc1ebd89ba898c70b0a4ca121,https://www.semanticscholar.org/paper/8aabf5ba342d37edc1ebd89ba898c70b0a4ca121,On the Convergence of the Concave-Convex Procedure,"The concave-convex procedure (CCCP) is a majorization-minimization algorithm that solves d.c. (difference of convex functions) programs as a sequence of convex programs. In machine learning, CCCP is extensively used in many learning algorithms like sparse support vector machines (SVMs), transductive SVMs, sparse principal component analysis, etc. Though widely used in many applications, the convergence behavior of CCCP has not gotten a lot of specific attention. Yuille and Rangarajan analyzed its convergence in their original paper, however, we believe the analysis is not complete. Although the convergence of CCCP can be derived from the convergence of the d.c. algorithm (DCA), its proof is more specialized and technical than actually required for the specific case of CCCP. In this paper, we follow a different reasoning and show how Zangwill's global convergence theory of iterative algorithms provides a natural framework to prove the convergence of CCCP, allowing a more elegant and simple proof. This underlines Zangwill's theory as a powerful and general framework to deal with the convergence issues of iterative algorithms, after also being used to prove the convergence of algorithms like expectation-maximization, generalized alternating minimization, etc. In this paper, we provide a rigorous analysis of the convergence of CCCP by addressing these questions: (i) When does CCCP find a local minimum or a stationary point of the d.c. program under consideration? (ii) When does the sequence generated by CCCP converge? We also present an open problem on the issue of local convergence of CCCP.",2009,36,418,42,false,Computer Science,3313411,Bharath K. Sriperumbudur,1725533,G. Lanckriet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91f19b43cedec7ba5c3796a6bc16018455c7a531,https://www.semanticscholar.org/paper/91f19b43cedec7ba5c3796a6bc16018455c7a531,A study of the effect of different types of noise on the precision of supervised learning techniques,,2010,31,337,9,true,Computer Science,35102478,D. Nettleton,1398964794,Albert Orriols-Puig,3013172,A. Fornells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e08f14111728901945f8c3b384b2f75746935e0d,https://www.semanticscholar.org/paper/e08f14111728901945f8c3b384b2f75746935e0d,Making Gradient Descent Optimal for Strongly Convex Stochastic Optimization,"Stochastic gradient descent (SGD) is a simple and popular method to solve stochastic optimization problems which arise in machine learning. For strongly convex problems, its convergence rate was known to be O(log(T)/T), by running SGD for T iterations and returning the average point. However, recent results showed that using a different algorithm, one can get an optimal O(1/T) rate. This might lead one to believe that standard SGD is suboptimal, and maybe should even be replaced as a method of choice. In this paper, we investigate the optimality of SGD in a stochastic setting. We show that for smooth problems, the algorithm attains the optimal O(1/T) rate. However, for non-smooth problems, the convergence rate with averaging might really be Ω(log(T)/T), and this is not just an artifact of the analysis. On the flip side, we show that a simple modification of the averaging step suffices to recover the O(1/T) rate, and no other change of the algorithm is necessary. We also present experimental results which support our findings, and point out open problems.",2011,17,597,73,false,Computer Science,1680046,A. Rakhlin,1768909,O. Shamir,37564609,Karthik Sridharan,,,,,,,,,Mathematics,,,,,,,,,,,,,,,,,,,,,,
994ddbea26882f70131ca01cc1bd474dabf0ace3,https://www.semanticscholar.org/paper/994ddbea26882f70131ca01cc1bd474dabf0ace3,Learning based digital matting,"We cast some new insights into solving the digital matting problem by treating it as a semi-supervised learning task in machine learning. A local learning based approach and a global learning based approach are then produced, to fit better the scribble based matting and the trimap based matting, respectively. Our approaches are easy to implement because only some simple matrix operations are needed. They are also extremely accurate because they can efficiently handle the nonlinear local color distributions by incorporating the kernel trick, that are beyond the ability of many previous works. Our approaches can outperform many recent matting methods, as shown by the theoretical analysis and comprehensive experiments. The new insights may also inspire several more works.",2009,23,183,36,false,Computer Science,1746086,Yuanjie Zheng,1708413,C. Kambhamettu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9802a3a31e12485aa4447ec33e6ae4b9800edc0c,https://www.semanticscholar.org/paper/9802a3a31e12485aa4447ec33e6ae4b9800edc0c,Rough Sets: Theoretical Aspects of Reasoning about Data,"I. Theoretical Foundations.- 1. Knowledge.- 1.1. Introduction.- 1.2. Knowledge and Classification.- 1.3. Knowledge Base.- 1.4. Equivalence, Generalization and Specialization of Knowledge.- Summary.- Exercises.- References.- 2. Imprecise Categories, Approximations and Rough Sets.- 2.1. Introduction.- 2.2. Rough Sets.- 2.3. Approximations of Set.- 2.4. Properties of Approximations.- 2.5. Approximations and Membership Relation.- 2.6. Numerical Characterization of Imprecision.- 2.7. Topological Characterization of Imprecision.- 2.8. Approximation of Classifications.- 2.9. Rough Equality of Sets.- 2.10. Rough Inclusion of Sets.- Summary.- Exercises.- References.- 3. Reduction of Knowledge.- 3.1. Introduction.- 3.2. Reduct and Core of Knowledge.- 3.3. Relative Reduct and Relative Core of Knowledge.- 3.4. Reduction of Categories.- 3.5. Relative Reduct and Core of Categories.- Summary.- Exercises.- References.- 4. Dependencies in Knowledge Base.- 4.1. Introduction.- 4.2. Dependency of Knowledge.- 4.3. Partial Dependency of Knowledge.- Summary.- Exercises.- References.- 5. Knowledge Representation.- 5.1. Introduction.- 5.2. Examples.- 5.3. Formal Definition.- 5.4. Significance of Attributes.- 5.5. Discernibility Matrix.- Summary.- Exercises.- References.- 6. Decision Tables.- 6.1. Introduction.- 6.2. Formal Definition and Some Properties.- 6.3. Simplification of Decision Tables.- Summary.- Exercises.- References.- 7. Reasoning about Knowledge.- 7.1. Introduction.- 7.2. Language of Decision Logic.- 7.3. Semantics of Decision Logic Language.- 7.4. Deduction in Decision Logic.- 7.5. Normal Forms.- 7.6. Decision Rules and Decision Algorithms.- 7.7. Truth and Indiscernibility.- 7.8. Dependency of Attributes.- 7.9. Reduction of Consistent Algorithms.- 7.10. Reduction of Inconsistent Algorithms.- 7.11. Reduction of Decision Rules.- 7.12. Minimization of Decision Algorithms.- Summary.- Exercises.- References.- II. Applications.- 8. Decision Making.- 8.1. Introduction.- 8.2. Optician's Decisions Table.- 8.3. Simplification of Decision Table.- 8.4. Decision Algorithm.- 8.5. The Case of Incomplete Information.- Summary.- Exercises.- References.- 9. Data Analysis.- 9.1. Introduction.- 9.2. Decision Table as Protocol of Observations.- 9.3. Derivation of Control Algorithms from Observation.- 9.4. Another Approach.- 9.5. The Case of Inconsistent Data.- Summary.- Exercises.- References.- 10. Dissimilarity Analysis.- 10.1. Introduction.- 10.2. The Middle East Situation.- 10.3. Beauty Contest.- 10.4. Pattern Recognition.- 10.5. Buying a Car.- Summary.- Exercises.- References.- 11. Switching Circuits.- 11.1. Introduction.- 11.2. Minimization of Partially Defined Switching Functions.- 11.3. Multiple-Output Switching Functions.- Summary.- Exercises.- References.- 12. Machine Learning.- 12.1. Introduction.- 12.2. Learning From Examples.- 12.3. The Case of an Imperfect Teacher.- 12.4. Inductive Learning.- Summary.- Exercises.- References.",1991,0,4911,321,false,Mathematics,69054960,Z. Pawlak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07d2ee90b475d2c0d1ed91f6485e86784f61189f,https://www.semanticscholar.org/paper/07d2ee90b475d2c0d1ed91f6485e86784f61189f,150 Successful Machine Learning Models: 6 Lessons Learned at Booking.com,"Booking.com is the world's largest online travel agent where millions of guests find their accommodation and millions of accommodation providers list their properties including hotels, apartments, bed and breakfasts, guest houses, and more. During the last years we have applied Machine Learning to improve the experience of our customers and our business. While most of the Machine Learning literature focuses on the algorithmic or mathematical aspects of the field, not much has been published about how Machine Learning can deliver meaningful impact in an industrial environment where commercial gains are paramount. We conducted an analysis on about 150 successful customer facing applications of Machine Learning, developed by dozens of teams in Booking.com, exposed to hundreds of millions of users worldwide and validated through rigorous Randomized Controlled Trials. Following the phases of a Machine Learning project we describe our approach, the many challenges we found, and the lessons we learned while scaling up such a complex technology across our organization. Our main conclusion is that an iterative, hypothesis driven process, integrated with other disciplines was fundamental to build 150 successful products enabled by Machine Learning.",2019,14,52,1,false,Computer Science,38239271,Lucas Bernardi,3315969,Themistoklis Mavridis,103873581,PabloA . Estevez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
