paperId,url,title,abstract,year,referenceCount,citationCount,influentialCitationCount,isOpenAccess,fieldsOfStudy/0,fieldsOfStudy/1,authors/0/authorId,authors/0/name,authors/1/authorId,authors/1/name,authors/2/authorId,authors/2/name,authors/3/authorId,authors/3/name,authors/4/authorId,authors/4/name,authors/5/authorId,authors/5/name,authors/6/authorId,authors/6/name,authors/7/authorId,authors/7/name,authors/8/authorId,authors/8/name,authors/9/authorId,authors/9/name,authors/10/authorId,authors/10/name,authors/11/authorId,authors/11/name,fieldsOfStudy/2
95aef2d99334420731593bb392e6397c48d722a0,https://www.semanticscholar.org/paper/95aef2d99334420731593bb392e6397c48d722a0,Prediction of MicroRNA-Disease Associations Based on Social Network Analysis Methods,"MicroRNAs constitute an important class of noncoding, single-stranded, ~22 nucleotide long RNA molecules encoded by endogenous genes. They play an important role in regulating gene transcription and the regulation of normal development. MicroRNAs can be associated with disease; however, only a few microRNA-disease associations have been confirmed by traditional experimental approaches. We introduce two methods to predict microRNA-disease association. The first method, KATZ, focuses on integrating the social network analysis method with machine learning and is based on networks derived from known microRNA-disease associations, disease-disease associations, and microRNA-microRNA associations. The other method, CATAPULT, is a supervised machine learning method. We applied the two methods to 242 known microRNA-disease associations and evaluated their performance using leave-one-out cross-validation and 3-fold cross-validation. Experiments proved that our methods outperformed the state-of-the-art methods.",2015,67,144,2,true,Biology,Medicine,144268946,Q. Zou,2108952705,Jinjin Li,40300673,Qingqi Hong,144906697,Ziyu Lin,2108408362,Yun Wu,2108701882,Hua Shi,144250293,Y. Ju,,,,,,,,,,,
ce9a9ee7a531455fd5de053790ff0bea2839def5,https://www.semanticscholar.org/paper/ce9a9ee7a531455fd5de053790ff0bea2839def5,Hierarchy Through Composition with Multitask LMDPs,"Proceedings of the 34th International Conference on Machine Learning, PMLR 70:3017-3026, Sydney, Australia, 6-11 August 2017",2017,41,30,1,false,Computer Science,,34927843,Andrew M. Saxe,20928686,A. Earle,2831294,Benjamin Rosman,,,,,,,,,,,,,,,,,,,
8cf7496c3303fbc4b74ccc6ccba135be3b94aca2,https://www.semanticscholar.org/paper/8cf7496c3303fbc4b74ccc6ccba135be3b94aca2,Classifying Single-Trial EEG During Motor Imagery by Iterative Spatio-Spectral Patterns Learning (ISSPL),"In most current motor-imagery-based brain-computer interfaces (BCIs), machine learning is carried out in two consecutive stages: feature extraction and feature classification. Feature extraction has focused on automatic learning of spatial filters, with little or no attention being paid to optimization of parameters for temporal filters that still require time-consuming, ad hoc manual tuning. In this paper, we present a new algorithm termed iterative spatio-spectral patterns learning (ISSPL) that employs statistical learning theory to perform automatic learning of spatio-spectral filters. In ISSPL, spectral filters and the classifier are simultaneously parameterized for optimization to achieve good generalization performance. A detailed derivation and theoretical analysis of ISSPL are given. Experimental results on two datasets show that the proposed algorithm can correctly identify the discriminative frequency bands, demonstrating the algorithm's superiority over contemporary approaches in classification performance.",2008,32,164,16,false,Computer Science,Medicine,39533001,Wei Wu,1782783,Xiaorong Gao,145031714,Bo Hong,145834126,Shangkai Gao,,,,,,,,,,,,,,,,,
6a060a59e0595ca487d89f70281dcc8a40fd36f6,https://www.semanticscholar.org/paper/6a060a59e0595ca487d89f70281dcc8a40fd36f6,The promise of machine learning in predicting treatment outcomes in psychiatry,"For many years, psychiatrists have tried to understand factors involved in response to medications or psychotherapies, in order to personalize their treatment choices. There is now a broad and growing interest in the idea that we can develop models to personalize treatment decisions using new statistical approaches from the field of machine learning and applying them to larger volumes of data. In this pursuit, there has been a paradigm shift away from experimental studies to confirm or refute specific hypotheses towards a focus on the overall explanatory power of a predictive model when tested on new, unseen datasets. In this paper, we review key studies using machine learning to predict treatment outcomes in psychiatry, ranging from medications and psychotherapies to digital interventions and neurobiological treatments. Next, we focus on some new sources of data that are being used for the development of predictive models based on machine learning, such as electronic health records, smartphone and social media data, and on the potential utility of data from genetics, electrophysiology, neuroimaging and cognitive testing. Finally, we discuss how far the field has come towards implementing prediction tools in real‐world clinical practice. Relatively few retrospective studies to‐date include appropriate external validation procedures, and there are even fewer prospective studies testing the clinical feasibility and effectiveness of predictive models. Applications of machine learning in psychiatry face some of the same ethical challenges posed by these techniques in other areas of medicine or computer science, which we discuss here. In short, machine learning is a nascent but important approach to improve the effectiveness of mental health care, and several prospective clinical studies suggest that it may be working already.",2021,239,68,2,false,Medicine,,6609752,A. Chekroud,82934036,Julia Bondar,145171115,Jaime Delgadillo,2659843,Gavin Doherty,83024519,Akash R. Wasil,38565406,M. Fokkema,34221966,Z. Cohen,145763736,D. Belgrave,4423584,R. DeRubeis,2046648,R. Iniesta,5672681,D. Dwyer,6047002,Karmel W. Choi,
6bb476f85f913786220afd3a34f56b3282396270,https://www.semanticscholar.org/paper/6bb476f85f913786220afd3a34f56b3282396270,Low-Power Circuits for Brain–Machine Interfaces,"This paper presents work on ultra-low-power circuits for brain–machine interfaces with applications for paralysis prosthetics, stroke, Parkinson's disease, epilepsy, prosthetics for the blind, and experimental neuroscience systems. The circuits include a micropower neural amplifier with adaptive power biasing for use in multi-electrode arrays; an analog linear decoding and learning architecture for data compression; low-power radio-frequency (RF) impedance-modulation circuits for data telemetry that minimize power consumption of implanted systems in the body; a wireless link for efficient power transfer; mixed-signal system integration for efficiency, robustness, and programmability; and circuits for wireless stimulation of neurons with power-conserving sleep modes and awake modes. Experimental results from chips that have stimulated and recorded from neurons in the zebra finch brain and results from RF power-link, RF data-link, electrode-recording and electrode-stimulating systems are presented. Simulations of analog learning circuits that have successfully decoded prerecorded neural signals from a monkey brain are also presented.",2008,35,98,6,true,Computer Science,Medicine,1994245,R. Sarpeshkar,2719728,W. Wattanapanitch,2489215,Scott K. Arfin,2542919,B. Rapoport,2432757,S. Mandal,48564101,M. Baker,2200355,M. Fee,145299648,S. Musallam,2189155,R. Andersen,,,,,,,
5385f8d2e6bd80a663127a5f04e724c80345ef1b,https://www.semanticscholar.org/paper/5385f8d2e6bd80a663127a5f04e724c80345ef1b,Scaling Up Inductive Learning with Massive Parallelism,,1996,35,22,0,true,Computer Science,,1752722,F. Provost,3304904,John M. Aronis,,,,,,,,,,,,,,,,,,,,,
e46429c5522d6a598b1f3e6c29a87fbeaf118538,https://www.semanticscholar.org/paper/e46429c5522d6a598b1f3e6c29a87fbeaf118538,Machine Learning Based DDoS Attack Detection from Source Side in Cloud,"Denial of service (DOS) attacks are a serious threat to network security. These attacks are often sourced from virtual machines in the cloud, rather than from the attacker's own machine, to achieve anonymity and higher network bandwidth. Past research focused on analyzing traffic on the destination (victim's) side with predefined thresholds. These approaches have significant disadvantages. They are only passive defenses after the attack, they cannot use the outbound statistical features of attacks, and it is hard to trace back to the attacker with these approaches. In this paper, we propose a DOS attack detection system on the source side in the cloud, based on machine learning techniques. This system leverages statistical information from both the cloud server's hypervisor and the virtual machines, to prevent network packages from being sent out to the outside network. We evaluate nine machine learning algorithms and carefully compare their performance. Our experimental results show that more than 99.7% of four kinds of DOS attacks are successfully detected. Our approach does not degrade performance and can be easily extended to broader DOS attacks.",2017,16,95,10,false,Computer Science,,21145493,Zecheng He,2146331573,Tianwei Zhang,144220460,R. Lee,,,,,,,,,,,,,,,,,,,
d92689401ee861f27950cb7c54b68a2c72e91221,https://www.semanticscholar.org/paper/d92689401ee861f27950cb7c54b68a2c72e91221,Hybrid Recommendation System for Heart Disease Diagnosis based on Multiple Kernel Learning with Adaptive Neuro-Fuzzy Inference System,,2017,72,182,3,false,Computer Science,,10148761,Gunasekaran Manogaran,3365591,R. Varatharajan,121522447,M. K. Priyan,,,,,,,,,,,,,,,,,,,
506b7c8056d3aa3c1fd73e75ed36658f03a392e0,https://www.semanticscholar.org/paper/506b7c8056d3aa3c1fd73e75ed36658f03a392e0,User Modeling for Adaptive News Access,,2000,33,578,27,false,Computer Science,,1691741,Daniel Billsus,1694780,M. Pazzani,,,,,,,,,,,,,,,,,,,,,
73e1644ad4aab9e11c1e46eea513141c4930602d,https://www.semanticscholar.org/paper/73e1644ad4aab9e11c1e46eea513141c4930602d,A Literature Survey on Domain Adaptation of Statistical Classifiers,"The domain adaptation problem, especially domain adaptation in natural language processing, started gaining much attention very recently [Daumé III and Marcu, 2006, Blitzer et al., 2006, Ben-David et al., 2007, Daumé III, 2007, Satpal and Sarawagi, 2007]. However, some special kinds of domain adaptation problems have been studied before under different names such as class imbalance [Japkowicz and Stephen, 2002], covariate shift [Shimodaira, 2000], and sample selection bias [Heckman, 1979]. There are also some well-studied machine learning problems that are closely related but not equivalent to domain adaptation, including multi-task learning [Caruana, 1997] and semi-supervised learning [Chapelle et al., 2006]. In this literature survey, we review existing work in both the machine learning and the natural language processing communities related to domain adaptation. Because this relatively new topic is constantly attracting attention, our survey is necessarily incomplete. Nevertheless, we try to cover the major lines of work that we are aware of up to the date this survey is written. This survey will also be constantly updated. The goal of this literature survey is twofold. First, existing studies on domain adaptation seem very different from each other, and different terms are used to refer to the problem. There has not been any survey that connects these different studies. This survey thus tries to organize the existing work in a systematic way and draw a big picture of the domain adaptation problem with its possible solutions. Second, a systematic literature survey shows the limitations of current work and points out promising directions that should be explored.",2007,40,257,13,false,Computer Science,,143610475,James J. Jiang,,,,,,,,,,,,,,,,,,,,,,,
