paperId,url,title,abstract,year,referenceCount,citationCount,influentialCitationCount,isOpenAccess,fieldsOfStudy/0,fieldsOfStudy/1,authors/0/authorId,authors/0/name,authors/1/authorId,authors/1/name,authors/2/authorId,authors/2/name,authors/3/authorId,authors/3/name,authors/4/authorId,authors/4/name,authors/5/authorId,authors/5/name,authors/6/authorId,authors/6/name,fieldsOfStudy/2,authors/7/authorId,authors/7/name,authors/8/authorId,authors/8/name,authors/9/authorId,authors/9/name,authors/10/authorId,authors/10/name,authors/11/authorId,authors/11/name,fieldsOfStudy/3,authors/12/authorId,authors/12/name,authors/13/authorId,authors/13/name,authors/14/authorId,authors/14/name,authors/15/authorId,authors/15/name,authors/16/authorId,authors/16/name,authors/17/authorId,authors/17/name,authors/18/authorId,authors/18/name,authors/19/authorId,authors/19/name
4aea3547974399a32d7aa7c007b10bd665e93fab,https://www.semanticscholar.org/paper/4aea3547974399a32d7aa7c007b10bd665e93fab,On Variational Bounds of Mutual Information,"Estimating and optimizing Mutual Information (MI) is core to many problems in machine learning; however, bounding MI in high dimensions is challenging. To establish tractable and scalable objectives, recent work has turned to variational bounds parameterized by neural networks, but the relationships and tradeoffs between these bounds remains unclear. In this work, we unify these recent developments in a single framework. We find that the existing variational lower bounds degrade when the MI is large, exhibiting either high bias or high variance. To address this problem, we introduce a continuum of lower bounds that encompasses previous bounds and flexibly trades off bias and variance. On high-dimensional, controlled problems, we empirically characterize the bias and variance of the bounds and their gradients and demonstrate the effectiveness of our new bounds for estimation and representation learning.",2019,53,423,69,False,Computer Science,Mathematics,16443937,Ben Poole,1955694.0,Sherjil Ozair,3422336.0,Aäron van den Oord,122113652.0,Alexander A. Alemi,145499435.0,G. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409cbeafc42c841628dcff2dfb373cd1c32a4820,https://www.semanticscholar.org/paper/409cbeafc42c841628dcff2dfb373cd1c32a4820,Multi-centre diagnostic classification of individual structural neuroimaging scans from patients with major depressive disorder.,"Quantitative abnormalities of brain structure in patients with major depressive disorder have been reported at a group level for decades. However, these structural differences appear subtle in comparison with conventional radiologically defined abnormalities, with considerable inter-subject variability. Consequently, it has not been possible to readily identify scans from patients with major depressive disorder at an individual level. Recently, machine learning techniques such as relevance vector machines and support vector machines have been applied to predictive classification of individual scans with variable success. Here we describe a novel hybrid method, which combines machine learning with feature selection and characterization, with the latter aimed at maximizing the accuracy of machine learning prediction. The method was tested using a multi-centre dataset of T(1)-weighted 'structural' scans. A total of 62 patients with major depressive disorder and matched controls were recruited from referred secondary care clinical populations in Aberdeen and Edinburgh, UK. The generalization ability and predictive accuracy of the classifiers was tested using data left out of the training process. High prediction accuracy was achieved (~90%). While feature selection was important for maximizing high predictive accuracy with machine learning, feature characterization contributed only a modest improvement to relevance vector machine-based prediction (~5%). Notably, while the only information provided for training the classifiers was T(1)-weighted scans plus a categorical label (major depressive disorder versus controls), both relevance vector machine and support vector machine 'weighting factors' (used for making predictions) correlated strongly with subjective ratings of illness severity. These results indicate that machine learning techniques have the potential to inform clinical practice and research, as they can make accurate predictions about brain scan data from individual subjects. Furthermore, machine learning weighting factors may reflect an objective biomarker of major depressive disorder illness severity, based on abnormalities of brain structure.",2012,60,171,8,True,Medicine,Psychology,145321317,B. Mwangi,2991780.0,Klaus P. Ebmeier,103363505.0,K. Matthews,143956424.0,J. Steele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e8b30ebe3351680c3b039555ae0a8d0865ad829b,https://www.semanticscholar.org/paper/e8b30ebe3351680c3b039555ae0a8d0865ad829b,Neural networks and machine learning,"In recent years neural computing has emerged as a practical technology, with successful applications in many fields. The majority of these applications are concerned with problems in pattern recognition, and make use of feedforward network architectures such as the multilayer perceptron and the radial basis function network. Also, it has become widely acknowledged that successful applications of neural computing require a principled, rather than ad hoc, approach. (From the preface to ""Neural Networks for Pattern Recognition"" by C.M. Bishop, Oxford Univ Press 1995.) This NATO volume, based on a 1997 workshop, presents a coordinated series of tutorial articles covering recent developments in the field of neural computing. It is ideally suited to graduate students and researchers.",1998,0,166,6,False,Computer Science,,2113861474,C. Bishop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4a554da55fd9ff76c99e25d2ce937b225dc1100c,https://www.semanticscholar.org/paper/4a554da55fd9ff76c99e25d2ce937b225dc1100c,A survey of named entity recognition and classification,"This survey covers fifteen years of research in the Named Entity Recognition and Classification (NERC) field, from 1991 to 2006. We report observations about languages, named entity types, domains and textual genres studied in the literature. From the start, NERC systems have been developed using hand-made rules, but now machine learning techniques are widely used. These techniques are surveyed along with other critical aspects of NERC such as features and evaluation methods. Features are word-level, dictionary-level and corpus-level representations of words in a document. Evaluation techniques, ranging from intuitive exact match to very complex matching techniques with adjustable cost of errors, are an indisputable key to progress.",2007,84,2439,184,False,Computer Science,,40421028,David Nadeau,1714612.0,S. Sekine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fbf9812f29156024ec693b4633a21303eead309d,https://www.semanticscholar.org/paper/fbf9812f29156024ec693b4633a21303eead309d,Machine learning algorithm validation with a limited sample size,"Advances in neuroimaging, genomic, motion tracking, eye-tracking and many other technology-based data collection methods have led to a torrent of high dimensional datasets, which commonly have a small number of samples because of the intrinsic high cost of data collection involving human participants. High dimensional data with a small number of samples is of critical importance for identifying biomarkers and conducting feasibility and pilot work, however it can lead to biased machine learning (ML) performance estimates. Our review of studies which have applied ML to predict autistic from non-autistic individuals showed that small sample size is associated with higher reported classification accuracy. Thus, we have investigated whether this bias could be caused by the use of validation methods which do not sufficiently control overfitting. Our simulations show that K-fold Cross-Validation (CV) produces strongly biased performance estimates with small sample sizes, and the bias is still evident with sample size of 1000. Nested CV and train/test split approaches produce robust and unbiased performance estimates regardless of sample size. We also show that feature selection if performed on pooled training and testing data is contributing to bias considerably more than parameter tuning. In addition, the contribution to bias by data dimensionality, hyper-parameter space and number of CV folds was explored, and validation methods were compared with discriminable data. The results suggest how to design robust testing methodologies when working with small datasets and how to interpret the results of other studies based on what validation method was used.",2019,31,387,7,True,Medicine,Computer Science,8452323,A. Vabalas,2283643.0,E. Gowen,2910758.0,E. Poliakoff,1807736.0,A. Casson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f3e2f770a68128e9cfbabbf591a7c427a0f9e239,https://www.semanticscholar.org/paper/f3e2f770a68128e9cfbabbf591a7c427a0f9e239,Predicting Risk of Suicide Attempts Over Time Through Machine Learning,"Traditional approaches to the prediction of suicide attempts have limited the accuracy and scale of risk detection for these dangerous behaviors. We sought to overcome these limitations by applying machine learning to electronic health records within a large medical database. Participants were 5,167 adult patients with a claim code for self-injury (i.e., ICD-9, E95x); expert review of records determined that 3,250 patients made a suicide attempt (i.e., cases), and 1,917 patients engaged in self-injury that was nonsuicidal, accidental, or nonverifiable (i.e., controls). We developed machine learning algorithms that accurately predicted future suicide attempts (AUC = 0.84, precision = 0.79, recall = 0.95, Brier score = 0.14). Moreover, accuracy improved from 720 days to 7 days before the suicide attempt, and predictor importance shifted across time. These findings represent a step toward accurate and scalable risk detection and provide insight into how suicide attempt risk shifts over time.",2017,45,345,11,False,Psychology,,27032213,Colin G. Walsh,144945435.0,J. Ribeiro,39865485.0,J. Franklin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2413fa296543159b32d16350d9e29f7db528790,https://www.semanticscholar.org/paper/c2413fa296543159b32d16350d9e29f7db528790,Explaining machine learning classifiers through diverse counterfactual explanations,"Post-hoc explanations of machine learning models are crucial for people to understand and act on algorithmic predictions. An intriguing class of explanations is through counterfactuals, hypothetical examples that show people how to obtain a different prediction. We posit that effective counterfactual explanations should satisfy two properties: feasibility of the counterfactual actions given user context and constraints, and diversity among the counterfactuals presented. To this end, we propose a framework for generating and evaluating a diverse set of counterfactual explanations based on determinantal point processes. To evaluate the actionability of counterfactuals, we provide metrics that enable comparison of counterfactual-based methods to other local explanation methods. We further address necessary tradeoffs and point to causal implications in optimizing for counterfactuals. Our experiments on four real-world datasets show that our framework can generate a set of counterfactuals that are diverse and well approximate local decision boundaries, outperforming prior approaches to generating diverse counterfactuals. We provide an implementation of the framework at https://github.com/microsoft/DiCE.",2019,46,384,77,True,Computer Science,Mathematics,120935900,R. Mothilal,144676398.0,Amit Sharma,40348583.0,Chenhao Tan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1f845410fae2bc7bf2029d7993ea0477fe78f823,https://www.semanticscholar.org/paper/1f845410fae2bc7bf2029d7993ea0477fe78f823,Machine learning for composite materials,"Machine learning (ML) has been perceived as a promising tool for the design and discovery of novel materials for a broad range of applications. In this prospective paper, we summarize recent progress in the applications of ML to composite materials modeling and design. An overview of how different types of ML algorithms can be applied to accelerate composite research is presented. This framework is envisioned to revolutionize approaches to design and optimize composites for the next generation of materials with unprecedented properties.",2019,89,122,0,True,Materials Science,,153246325,Chun‐Teh Chen,11329466.0,Grace X. Gu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daec341c0819d589b38a781808a5b1aae7c5547e,https://www.semanticscholar.org/paper/daec341c0819d589b38a781808a5b1aae7c5547e,Machine learning: a guide to current research,Judge: A Case-Based Reasoning System.- Changing Language While Learning Recursive Descriptions from Examples.- Learning by Disjunctive Spanning.- Transfer of Knowledge between Teaching and Learning Systems.- Some Approaches to Knowledge Acquisition.- Analogical Learning with Multiple Models.- The World Modelers Project: Objectives and Simulator Architecture.- The Acquisition of Procedural Knowledge through Inductive Learning.- Learning Static Evaluation Functions by Linear Regression.- Plan Invention and Plan Transformation.- A Brief Overview of Explanatory Schema Acquisition.- The EG Project: Recent Progress.- Learning Causal Relations.- Functional Properties and Concept Formation.- Explanation-Based Learning in Logic Circuit Design.- A Proposed Method of Conceptual Clustering for Structured and Decomposable Objects.- Exploiting Functional Vocabularies to Learn Structural Descriptions.- Combining Numeric and Symbolic Learning Techniques.- Learning by Understanding Analogies.- Analogical Reasoning in the Context of Acquiring Problem Solving Expertise.- Planning and Learning in a Design Domain: The Problems Plan Interactions.- Inference of Incorrect Operators.- A Conceptual Framework for Concept Identification.- Neural Modeling as One Approach to Machine Learning.- Steps Toward Building a Dynamic Memory.- Learning by Composition.- Knowledge Acquisition: Investigations and General Principles.- Purpose-Directed Analogy: A Summary of Current Research.- Development of a Framework for Contextual Concept Learning.- On Safely Ignoring Hypotheses.- A Model of Acquiring Problem Solving Expertise.- Another Learning Problem: Symbolic Process Prediction.- Learning at LRI Orsay.- Coper: A Methodology for Learning Invariant Functional Descriptions.- Using Experience as a Guide for Problem Solving.- Heuristics as Invariants and its Application to Learning.- Components of Learning in a Reactive Environment.- The Development of Structures through Interaction.- Complex Learning Environments: Hierarchies and the use of Explanation.- Prediction and Control in an Active Environment.- Better Information Retrieval through Linguistic Sophistication.- Machine Learning Research in the Artificial Intelligence Laboratory at Illinois.- Overview of the Prodigy Learning Apprentice.- A Learning Apprentice System for VLSI Design.- Generalizing Explanations of Narratives into Schemata.- Why Are Design Derivations Hard to Replay?.- An Architecture for Experiential Learning.- Knowledge Extraction through Learning from Examples.- Learning Concepts with a Prototype-Based Model for Concept Representation.- Recent Progress on the Mathematician's Apprentice Project.- Acquiring Domain Knowledge from Fragments of Advice.- Calm: Contestation for Argumentative Learning Machine.- Directed Experimentation for Theory Revision and Conceptual Knowledge Acquisition.- Goal-Free Learning by Analogy.- A Scientific Approach to Practical Induction.- Exploring Shifts of Representation.- Current Research on Learning in Soar.- Learning Concepts in a Complex Robot World.- Learning Evaluation Functions.- Learning from Data with Errors.- Explanation-Based Manipulator Learning.- Learning Classical Physics.- Views and Causality in Discovery: Modelling Human Induction.- Learning Control Information.- An Investigation of the Nature of Mathematical Discovery.- Learning How to Reach a Goal: A Strategy for the Multiple Classes Classification Problem.- Conceptual Clustering Of Structured Objects.- Learning in Intractable Domains.- On Compiling Explainable Models of a Design Domain.- What Can Be Learned?.- Learning Heuristic Rules from Deep Reasoning.- Learning a Domain Theory by Completing Explanations.- Learning Implementation Rules with Operating-Conditions Depending on Internal Structures in VLSI Design.- Overview of the Odysseus Learning Apprentice.- Learning from Exceptions in Databases.- Learning Apprentice Systems Research at Schlumberger.- Language Acquisition: Learning Phrases in Context.- References.,1986,0,118,6,False,Computer Science,,40975594,Tom Michael Mitchell,143712374.0,J. Carbonell,2421006.0,R. Michalski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dccce5d05645a55d9b5b291c02f80e1017892a9e,https://www.semanticscholar.org/paper/dccce5d05645a55d9b5b291c02f80e1017892a9e,More efficiency in multiple kernel learning,"An efficient and general multiple kernel learning (MKL) algorithm has been recently proposed by Sonnenburg et al. (2006). This approach has opened new perspectives since it makes the MKL approach tractable for large-scale problems, by iteratively using existing support vector machine code. However, it turns out that this iterative algorithm needs several iterations before converging towards a reasonable solution. In this paper, we address the MKL problem through an adaptive 2-norm regularization formulation. Weights on each kernel matrix are included in the standard SVM empirical risk minimization problem with a l1 constraint to encourage sparsity. We propose an algorithm for solving this problem and provide an new insight on MKL algorithms based on block 1-norm regularization by showing that the two approaches are equivalent. Experimental results show that the resulting algorithm converges rapidly and its efficiency compares favorably to other MKL algorithms.",2007,16,324,36,True,Mathematics,Computer Science,1792962,A. Rakotomamonjy,144570279.0,F. Bach,1794818.0,S. Canu,1802711.0,Yves Grandvalet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
