paperId,url,title,abstract,year,referenceCount,citationCount,influentialCitationCount,isOpenAccess,fieldsOfStudy/0,fieldsOfStudy/1,authors/0/authorId,authors/0/name,authors/1/authorId,authors/1/name,authors/2/authorId,authors/2/name,authors/3/authorId,authors/3/name,authors/4/authorId,authors/4/name,fieldsOfStudy/2,fieldsOfStudy/3,authors/5/authorId,authors/5/name,authors/6/authorId,authors/6/name,authors/7/authorId,authors/7/name,authors/8/authorId,authors/8/name,authors/9/authorId,authors/9/name,authors/10/authorId,authors/10/name,authors/11/authorId,authors/11/name,authors/12/authorId,authors/12/name,authors/13/authorId,authors/13/name,authors/14/authorId,authors/14/name,authors/15/authorId,authors/15/name,authors/16/authorId,authors/16/name,authors/17/authorId,authors/17/name,authors/18/authorId,authors/18/name,authors/19/authorId,authors/19/name,authors/20/authorId,authors/20/name,authors/21/authorId,authors/21/name,authors/22/authorId,authors/22/name
a7976c2bacfbb194ddbe7fd10c2e50a545cf4081,https://www.semanticscholar.org/paper/a7976c2bacfbb194ddbe7fd10c2e50a545cf4081,LSTM: A Search Space Odyssey,"Several variants of the long short-term memory (LSTM) architecture for recurrent neural networks have been proposed since its inception in 1995. In recent years, these networks have become the state-of-the-art models for a variety of machine learning problems. This has led to a renewed interest in understanding the role and utility of various computational components of typical LSTM variants. In this paper, we present the first large-scale analysis of eight LSTM variants on three representative tasks: speech recognition, handwriting recognition, and polyphonic music modeling. The hyperparameters of all LSTM variants for each task were optimized separately using random search, and their importance was assessed using the powerful functional ANalysis Of VAriance framework. In total, we summarize the results of 5400 experimental runs ( $\approx 15$  years of CPU time), which makes our study the largest of its kind on LSTM networks. Our results show that none of the variants can improve upon the standard LSTM architecture significantly, and demonstrate the forget gate and the output activation function to be its most critical components. We further observe that the studied hyperparameters are virtually independent and derive guidelines for their efficient adjustment.",2015,52,3682,286,True,Computer Science,Medicine,3035541,Klaus Greff,2100612.0,R. Srivastava,2865775.0,J. Koutník,1714059.0,Bas R. Steunebrink,145341374.0,J. Schmidhuber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1435c09304f24a1310e6ede11bf5dfb4dbe78c3d,https://www.semanticscholar.org/paper/1435c09304f24a1310e6ede11bf5dfb4dbe78c3d,Should We Really Use Post-Hoc Tests Based on Mean-Ranks?,"The statistical comparison of multiple algorithms over multiple data sets is fundamental in machine learning. This is typically carried out by the Friedman test. When the Friedman test rejects the null hypothesis, multiple comparisons are carried out to establish which are the significant differences among algorithms. The multiple comparisons are usually performed using the mean-ranks test. The aim of this technical note is to discuss the inconsistencies of the mean-ranks post-hoc test with the goal of discouraging its use in machine learning as well as in medicine, psychology, etc. We show that the outcome of the mean-ranks test depends on the pool of algorithms originally included in the experiment. In other words, the outcome of the comparison between algorithms A and B depends also on the performance of the other algorithms included in the original experiment. This can lead to paradoxical situations. For instance the difference between A and B could be declared significant if the pool comprises algorithms C, D, E and not significant if the pool comprises algorithms F, G, H. To overcome these issues, we suggest instead to perform the multiple comparison using a test whose outcome only depends on the two algorithms being compared, such as the sign-test or the Wilcoxon signed-rank test.",2015,23,219,12,False,Computer Science,Mathematics,1792368,A. Benavoli,1680295.0,Giorgio Corani,32441746.0,F. Mangili,,,,,Physics,Biology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
965a6451ba5eca2dc17d0bacac4cabb551edb050,https://www.semanticscholar.org/paper/965a6451ba5eca2dc17d0bacac4cabb551edb050,Memory and the Computational Brain: Why Cognitive Science will Transform Neuroscience,"Preface. 1. Information. Shannon's Theory of Communication. Measuring Information. Efficient Coding. Information and the Brain. Digital and Analog Signals. Appendix: The Information Content of Rare Versus Common Events and Signals. 2. Bayesian Updating. Bayes' Theorem and Our Intuitions About Evidence. Using Bayes' Rule. Summary. 3. Functions. Functions of One Argument. Composition and Decomposition of Functions. Functions of More than One Argument. The Limits to Functional Decomposition. Functions Can Map to Multi-Part Outputs. Mapping to Multiple-Element Outputs Does Not Increase Expressive Power. Defining Particular Functions. Summary: Physical/Neurobiological Implications of Facts about Functions. 4. Representations. Some Simple Examples. Notation. The Algebraic Representation of Geometry. 5. Symbols. Physical Properties of Good Symbols. Symbol Taxonomy. Summary. 6. Procedures. Algorithms. Procedures, Computation, and Symbols. Coding and Procedures. Two Senses of Knowing. A Geometric Example. 7. Computation. Formalizing Procedures. The Turing Machine. Turing Machine for the Successor Function. Turing Machines for f is -even Turing Machines for f + Minimal Memory Structure. General Purpose Computer. Summary. 8. Architectures. One-Dimensional Look-Up Tables (If-Then Implementation). Adding State Memory: Finite-State Machines. Adding Register Memory. Summary. 9. Data Structures. Finding Information in Memory. An Illustrative Example. Procedures and the Coding of Data Structures. The Structure of the Read-Only Biological Memory. 10. Computing with Neurons. Transducers and Conductors. Synapses and the Logic Gates. The Slowness of It All. The Time-Scale Problem. Synaptic Plasticity. Recurrent Loops in Which Activity Reverberates. 11. The Nature of Learning. Learning As Rewiring. Synaptic Plasticity and the Associative Theory of Learning. Why Associations Are Not Symbols. Distributed Coding. Learning As the Extraction and Preservation of Useful Information. Updating an Estimate of One's Location. 12. Learning Time and Space. Computational Accessibility. Learning the Time of Day. Learning Durations. Episodic Memory. 13. The Modularity of Learning. Example 1: Path Integration. Example 2: Learning the Solar Ephemeris. Example 3: ""Associative"" Learning. Summary. 14. Dead Reckoning in a Neural Network. Reverberating Circuits as Read/Write Memory Mechanisms. Implementing Combinatorial Operations by Table-Look-Up. The Full Model. The Ontogeny of the Connections? How Realistic is the Model? Lessons to be Drawn. Summary. 15. Neural Models of Interval Timing. Timing an Interval on First Encounter. Dworkin's Paradox. Neurally Inspired Models. The Deeper Problems. 16. The Molecular Basis of Memory. The Need to Separate Theory of Memory from Theory of Learning. The Coding Question. A Cautionary Tale. Why Not Synaptic Conductance? A Molecular or Sub-Molecular Mechanism? Bringing the Data to the Computational Machinery. Is It Universal? References. Glossary. Index.",2009,172,217,12,False,Computer Science,,2646034,C. Gallistel,2093373961.0,A. King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14e97585f51e3cd866dba0c9ff30c2289b6e47c7,https://www.semanticscholar.org/paper/14e97585f51e3cd866dba0c9ff30c2289b6e47c7,A review of machine learning,"This paper reviews Machine Learning (ML), and extends and complements previous work (Kocabas, 1991; Kalkanis and Conroy, 1991). Although this paper focuses on inductive learning, it at least touches on a great many aspects of ML in general. In addition, incremental induction is also reviewed. Therefore, a general review of ML is presented, but specific detail which has been covered previously is omitted, although other relevant references are noted, and later material is commented upon.",1997,177,88,6,False,Computer Science,,2076590622,David M. Dutton,32056453.0,G. V. Conroy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8a2045c0eadec75b2cf5b5b3353e01b7973bda67,https://www.semanticscholar.org/paper/8a2045c0eadec75b2cf5b5b3353e01b7973bda67,When Does Machine Learning FAIL? Generalized Transferability for Evasion and Poisoning Attacks,"Attacks against machine learning systems represent a growing threat as highlighted by the abundance of attacks proposed lately. However, attacks often make unrealistic assumptions about the knowledge and capabilities of adversaries. To evaluate this threat systematically, we propose the FAIL attacker model, which describes the adversary's knowledge and control along four dimensions. The FAIL model allows us to consider a wide range of weaker adversaries that have limited control and incomplete knowledge of the features, learning algorithms and training instances utilized. Within this framework, we evaluate the generalized transferability of a known evasion attack and we design StingRay, a targeted poisoning attack that is broadly applicable---it is practical against 4 machine learning applications, which use 3 different learning algorithms, and it can bypass 2 existing defenses. Our evaluation provides deeper insights into the transferability of poison and evasion samples across models and suggests promising directions for investigating defenses against this threat.",2018,61,174,17,False,Computer Science,,31765629,Octavian Suciu,4951026.0,R. Marginean,40898242.0,Yigitcan Kaya,1722360.0,Hal Daumé,3343194.0,T. Dumitras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cae9d90524cccac5081666985d5d055b71697cee,https://www.semanticscholar.org/paper/cae9d90524cccac5081666985d5d055b71697cee,Tensor Comprehensions: Framework-Agnostic High-Performance Machine Learning Abstractions,"Deep learning models with convolutional and recurrent networks are now ubiquitous and analyze massive amounts of audio, image, video, text and graph data, with applications in automatic translation, speech-to-text, scene understanding, ranking user preferences, ad placement, etc. Competing frameworks for building these networks such as TensorFlow, Chainer, CNTK, Torch/PyTorch, Caffe1/2, MXNet and Theano, explore different tradeoffs between usability and expressiveness, research or production orientation and supported hardware. They operate on a DAG of computational operators, wrapping high-performance libraries such as CUDNN (for NVIDIA GPUs) or NNPACK (for various CPUs), and automate memory allocation, synchronization, distribution. Custom operators are needed where the computation does not fit existing high-performance library calls, usually at a high engineering cost. This is frequently required when new operators are invented by researchers: such operators suffer a severe performance penalty, which limits the pace of innovation. Furthermore, even if there is an existing runtime call these frameworks can use, it often doesn't offer optimal performance for a user's particular network architecture and dataset, missing optimizations between operators as well as optimizations that can be done knowing the size and shape of data. Our contributions include (1) a language close to the mathematics of deep learning called Tensor Comprehensions offering both imperative and declarative styles, (2) a polyhedral Just-In-Time compiler to convert a mathematical description of a deep learning DAG into a CUDA kernel with delegated memory management and synchronization, also providing optimizations such as operator fusion and specialization for specific sizes, (3) a compilation cache populated by an autotuner. [Abstract cutoff]",2018,96,313,42,False,Computer Science,,1800919,Nicolas Vasilache,2054833547.0,O. Zinenko,2097631216.0,Theodoros Theodoridis,47316088.0,Priya Goyal,2375710.0,Zach DeVito,,,16521420.0,William S. Moses,1772079.0,Sven Verdoolaege,144187067.0,Andrew Adams,145509576.0,Albert Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597a73c173b921b6adf17835ace73bfdb2de7111,https://www.semanticscholar.org/paper/597a73c173b921b6adf17835ace73bfdb2de7111,Modeling virtualized applications using machine learning techniques,"With the growing adoption of virtualized datacenters and cloud hosting services, the allocation and sizing of resources such as CPU, memory, and I/O bandwidth for virtual machines (VMs) is becoming increasingly important. Accurate performance modeling of an application would help users in better VM sizing, thus reducing costs. It can also benefit cloud service providers who can offer a new charging model based on the VMs' performance instead of their configured sizes. In this paper, we present techniques to model the performance of a VM-hosted application as a function of the resources allocated to the VM and the resource contention it experiences. To address this multi-dimensional modeling problem, we propose and refine the use of two machine learning techniques: artificial neural network (ANN) and support vector machine (SVM). We evaluate these modeling techniques using five virtualized applications from the RUBiS and Filebench suite of benchmarks and demonstrate that their median and 90th percentile prediction errors are within 4.36% and 29.17% respectively. These results are substantially better than regression based approaches as well as direct applications of machine learning techniques without our refinements. We also present a simple and effective approach to VM sizing and empirically demonstrate that it can deliver optimal results for 65% of the sizing problems that we studied and produces close-to-optimal sizes for the remaining 35%.",2012,40,128,14,False,Computer Science,Engineering,3070722,Sajib Kundu,1709495.0,R. Rangaswami,2063996022.0,Ajay Gulati,145914105.0,Ming Zhao,145058524.0,K. Dutta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
af0c9cc6361f17a1e5ef7234216a8d9fb4723d79,https://www.semanticscholar.org/paper/af0c9cc6361f17a1e5ef7234216a8d9fb4723d79,Classification of Mental Tasks from Eeg Signals Using Extreme Learning Machine,"In this paper, a recently developed machine learning algorithm referred to as Extreme Learning Machine (ELM) is used to classify five mental tasks from different subjects using electroencephalogram (EEG) signals available from a well-known database. Performance of ELM is compared in terms of training time and classification accuracy with a Backpropagation Neural Network (BPNN) classifier and also Support Vector Machines (SVMs). For SVMs, the comparisons have been made for both 1-against-1 and 1-against-all methods. Results show that ELM needs an order of magnitude less training time compared with SVMs and two orders of magnitude less compared with BPNN. The classification accuracy of ELM is similar to that of SVMs and BPNN. The study showed that smoothing of the classifiers' outputs can significantly improve their classification accuracies.",2006,25,233,12,False,Computer Science,Medicine,2972859,Nan-Ying Liang,1800678.0,P. Saratchandran,145678691.0,G. Huang,145411276.0,N. Sundararajan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a4e088a3d92f9299b6a8060c21a1082ecb251902,https://www.semanticscholar.org/paper/a4e088a3d92f9299b6a8060c21a1082ecb251902,Hyperbolic Entailment Cones for Learning Hierarchical Embeddings,"Learning graph representations via low-dimensional embeddings that preserve relevant network properties is an important class of problems in machine learning. We here present a novel method to embed directed acyclic graphs. Following prior work, we first advocate for using hyperbolic spaces which provably model tree-like structures better than Euclidean geometry. Second, we view hierarchical relations as partial orders defined using a family of nested geodesically convex cones. We prove that these entailment cones admit an optimal shape with a closed form expression both in the Euclidean and hyperbolic spaces. Moreover, they canonically define the embedding learning process. Experiments show significant improvements of our method over strong recent baselines both in terms of representational capacity and generalization.",2018,37,164,26,False,Mathematics,Computer Science,1882451,O. Ganea,9940262.0,Gary Bécigneul,143936663.0,Thomas Hofmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9ceae85a0bd4231cd2efe14884c40b7bc04d3dac,https://www.semanticscholar.org/paper/9ceae85a0bd4231cd2efe14884c40b7bc04d3dac,Accounting for Variance in Machine Learning Benchmarks,"Strong empirical evidence that one machine-learning algorithm A outperforms another one B ideally calls for multiple trials optimizing the learning pipeline over sources of variation such as data sampling, augmentation, parameter initialization, and hyperparameters choices. This is prohibitively expensive, and corners are cut to reach conclusions. We model the whole benchmarking process, revealing that variance due to data sampling, parameter initialization and hyperparameter choice impact markedly the results. We analyze the predominant comparison methods used today in the light of this variance. We show a counter-intuitive result that adding more sources of variation to an imperfect estimator approaches better the ideal estimator at a 51 × reduction in compute cost. Building on these results, we study the error rate of detecting improvements, on ﬁve different deep-learning tasks/architectures. This study leads us to propose recommendations for performance comparisons.",2021,71,51,4,False,Computer Science,Mathematics,2900675,Xavier Bouthillier,2097176461.0,Pierre Delaunay,1760944.0,Mirko Bronzi,49860096.0,Assya Trofimov,2051891988.0,B. Nichyporuk,,,2073094612.0,Justin Szeto,2051892157.0,Naz Sepah,34885007.0,Edward Raff,51054293.0,Kanika Madan,2961618.0,Vikram S. Voleti,3127597.0,S. Kahou,1748421.0,Vincent Michalski,1862138.0,Dmitriy Serdyuk,1699104.0,T. Arbel,98109738.0,Chris Pal,3025780.0,G. Varoquaux,120247189.0,Pascal Vincent,,,,,,,,,,,,
