paperId,url,title,abstract,year,referenceCount,citationCount,influentialCitationCount,isOpenAccess,fieldsOfStudy/0,authors/0/authorId,authors/0/name,authors/1/authorId,authors/1/name,authors/2/authorId,authors/2/name,authors/3/authorId,authors/3/name,authors/4/authorId,authors/4/name,authors/5/authorId,authors/5/name,authors/6/authorId,authors/6/name,authors/7/authorId,authors/7/name,fieldsOfStudy/1,fieldsOfStudy/2,fieldsOfStudy/3,authors/8/authorId,authors/8/name,authors/9/authorId,authors/9/name,authors/10/authorId,authors/10/name,authors/11/authorId,authors/11/name
3ab11a96f6c475afa7e5977886da301be4ed2f7f,https://www.semanticscholar.org/paper/3ab11a96f6c475afa7e5977886da301be4ed2f7f,Tux2: Distributed Graph Computation for Machine Learning,"TUX2 is a new distributed graph engine that bridges graph computation and distributed machine learning. TUX2 inherits the benefits of an elegant graph computation model, efficient graph layout, and balanced parallelism to scale to billion-edge graphs; we extend and optimize it for distributed machine learning to support heterogeneity, a Stale Synchronous Parallel model, and a new MEGA (Mini-batch, Exchange, GlobalSync, and Apply) model. 
 
We have developed a set of representative distributed machine learning algorithms in TUX2, covering both supervised and unsupervised learning. Compared to implementations on distributedmachine learning platforms, writing these algorithms in TUX2 takes only about 25% of the code: Our graph computation model hides the detailed management of data layout, partitioning, and parallelism from developers. Our extensive evaluation of TUX2, using large data sets with up to 64 billion edges, shows that TUX2 outperforms state-of-the-art distributed graph engines PowerGraph and PowerLyra by an order of magnitude, while beating two state-of-the-art distributed machine learning systems by at least 48%.",2017,43,53,2,False,Computer Science,9754946,Wencong Xiao,2870618.0,Jilong Xue,11009920.0,Youshan Miao,1700892.0,Z. Li,2145774559.0,Cheng Chen,145217421.0,Ming Wu,,Wei Li,93317102.0,Lidong Zhou,,,,,,,,,,,
db2b5d12152025f65d4e313c321a95be3aecbb29,https://www.semanticscholar.org/paper/db2b5d12152025f65d4e313c321a95be3aecbb29,Shop Class as Soulcraft: An Inquiry into the Value of Work,"Author Crawford argues for the revival of teaching the skills of tool, machine, and material use in the schools. He points to the decline in our knowledge of the artifacts of our culture and the resulting loss of self-determination. The teaching of manual competence has also provided a method of learning that is well suited to many students who are otherwise disenchanted with school.",2009,1,323,32,False,Computer Science,153856987,Matthew B. Crawford,,,,,,,,,,,,,,,,,,,,,,,,,
7c839a0cdbff5061c088be9f62ed3f72456ce4dd,https://www.semanticscholar.org/paper/7c839a0cdbff5061c088be9f62ed3f72456ce4dd,Machine Translation: Mining Text for Social Theory,"More of the social world lives within electronic text than ever before, from collective activity on the web, social media, and instant messaging to online transactions, government intelligence, and digitized libraries. This supply of text has elicited demand for natural language processing and machine learning tools to filter, search, and translate text into valuable data. We survey some of the most exciting computational approaches to text analysis, highlighting both supervised methods that extend old theories to new data and unsupervised techniques that discover hidden regularities worth theorizing. We then review recent research that uses these tools to develop social insight by exploring (a) collective attention and reasoning through the content of communication; (b) social relationships through the process of communication; and (c) social states, roles, and moves identified through heterogeneous signals within communication. We highlight social questions for which these advances could offer powerful ...",2016,120,178,4,False,Sociology,144002439,James A. Evans,144231556.0,Pedro Aceves,,,,,,,,,,,,,,,,,,,,,,,
08fa8d94f7d004547204f0743a24976c52cff796,https://www.semanticscholar.org/paper/08fa8d94f7d004547204f0743a24976c52cff796,High-level Decision Making for Safe and Reasonable Autonomous Lane Changing using Reinforcement Learning,"Machine learning techniques have been shown to outperform many rule-based systems for the decision-making of autonomous vehicles. However, applying machine learning is challenging due to the possibility of executing unsafe actions and slow learning rates. We address these issues by presenting a reinforcement learning-based approach, which is combined with formal safety verification to ensure that only safe actions are chosen at any time. We let a deep reinforcement learning (RL) agent learn to drive as close as possible to a desired velocity by executing reasonable lane changes on simulated highways with an arbitrary number of lanes. By making use of a minimal state representation, consisting of only 13 continuous features, and a Deep Q-Network (DQN), we are able to achieve fast learning rates. Our RL agent is able to learn the desired task without causing collisions and outperforms a complex, rule-based agent that we use for benchmarking.",2018,27,85,4,True,Computer Science,52170802,Branka Mirchevska,5142479.0,Christian Pek,50337113.0,M. Werling,3280431.0,M. Althoff,145581493.0,J. Boedecker,,,,,,,,,,,,,,,,,
622b68ab823b64e19430b7c41663c5aa0e835561,https://www.semanticscholar.org/paper/622b68ab823b64e19430b7c41663c5aa0e835561,Robust Visual Knowledge Transfer via Extreme Learning Machine-Based Domain Adaptation,"We address the problem of visual knowledge adaptation by leveraging labeled patterns from source domain and a very limited number of labeled instances in target domain to learn a robust classifier for visual categorization. This paper proposes a new extreme learning machine (ELM)-based cross-domain network learning framework, that is called ELM-based Domain Adaptation (EDA). It allows us to learn a category transformation and an ELM classifier with random projection by minimizing the ℓ2,1-norm of the network output weights and the learning error simultaneously. The unlabeled target data, as useful knowledge, is also integrated as a fidelity term to guarantee the stability during cross-domain learning. It minimizes the matching error between the learned classifier and a base classifier, such that many existing classifiers can be readily incorporated as the base classifiers. The network output weights cannot only be analytically determined, but also transferrable. In addition, a manifold regularization with Laplacian graph is incorporated, such that it is beneficial to semisupervised learning. Extensively, we also propose a model of multiple views, referred as MvEDA. Experiments on benchmark visual datasets for video event recognition and object recognition demonstrate that our EDA methods outperform the existing cross-domain learning methods.",2016,61,137,5,False,Computer Science,36685537,Lei Zhang,66396175.0,D. Zhang,,,,,,,,,,,,,Medicine,,,,,,,,,,
cbb044f113fa5b824cb776b370c08b1038b5b2eb,https://www.semanticscholar.org/paper/cbb044f113fa5b824cb776b370c08b1038b5b2eb,"Machine Learning for Public Administration Research, with Application to Organizational Reputation","Machine learning methods have gained a great deal of popularity in recent years among public administration scholars and practitioners. These techniques open the door to the analysis of text, image and other types of data that allow us to test foundational theories of public administration and to develop new theories. Despite the excitement surrounding machine learning methods, clarity regarding their proper use and potential pitfalls is lacking. This paper attempts to fill this gap in the literature through providing a machine learning ""guide to practice"" for public administration scholars and practitioners. Here, we take a foundational view of machine learning and describe how these methods can enrich public administration research and practice through their ability develop new measures, tap into new sources of data and conduct statistical inference and causal inference in a principled manner. We then turn our attention to the pitfalls of using these methods such as unvalidated measures and lack of interpretability. Finally, we demonstrate how machine learning techniques can help us learn about organizational reputation in federal agencies through an illustrated example using tweets from 13 executive federal agencies.",2018,37,59,1,True,Computer Science,41096358,L. Anastasopoulos,49153953.0,Andrew B. Whitford,,,,,,,,,,,,,Mathematics,,,,,,,,,,
4532a6dc17973a44d068ef64d8a40b8070209fbd,https://www.semanticscholar.org/paper/4532a6dc17973a44d068ef64d8a40b8070209fbd,Two-Layer Multiple Kernel Learning,"Multiple Kernel Learning (MKL) aims to learn kernel machines for solving a real machine learning problem (e.g. classification) by exploring the combinations of multiple kernels. The traditional MKL approach is in general “shallow” in the sense that the target kernel is simply a linear (or convex) combination of some base kernels. In this paper, we investigate a framework of Multi-Layer Multiple Kernel Learning (MLMKL) that aims to learn “deep” kernel machines by exploring the combinations of multiple kernels in a multi-layer structure, which goes beyond the conventional MKL approach. Through a multiple layer mapping, the proposed MLMKL framework offers higher flexibility than the regular MKL for finding the optimal kernel for applications. As the first attempt to this new MKL framework, we present a Two-Layer Multiple Kernel Learning (2LMKL) method together with two efficient algorithms for classification tasks. We analyze their generalization performances and have conducted an extensive set of experiments over 16 benchmark datasets, in which encouraging results showed that our method performed better than the conventional MKL methods.",2011,32,99,21,False,Mathematics,2146277,Jinfeng Zhuang,1807998.0,I. Tsang,1741126.0,S. Hoi,,,,,,,,,,,Computer Science,,,,,,,,,,
3d60a8c4e5a726380c47f99f6515de8276a8aafa,https://www.semanticscholar.org/paper/3d60a8c4e5a726380c47f99f6515de8276a8aafa,Machine Learning for Crack Detection: Review and Model Performance Comparison,"AbstractWith the advancement of machine learning (ML) and deep learning (DL), there is a great opportunity to enhance the development of automatic crack detection algorithms. In this paper, the aut...",2020,45,67,0,False,Computer Science,2000576666,Yung-An Hsieh,145073451.0,Y. Tsai,,,,,,,,,,,,,,,,,,,,,,,
627c14fe9097d459b8fd47e8a901694198be9d5d,https://www.semanticscholar.org/paper/627c14fe9097d459b8fd47e8a901694198be9d5d,Compressed Learning : Universal Sparse Dimensionality Reduction and Learning in the Measurement Domain,"In this paper, we provide theoretical results to show that compressed learning , learning directly in the compressed domain, is possible. In Particular, we provide tight bounds demonstrating that the linear kernel SVM’s classifier in the measurement domain, with high probability, has true accuracy close to the accuracy of the best linear threshold classifier in the data domain. We show that this is beneficial both from the compressed sensing and the machine learning points of view. Furthermore, we indicate that for a family of well-known compressed sensing matrices, compressed learning is universal, in the sense that learning and classification in the measurement domain works provided that the data are sparse in some, even unknown, basis. Moreover, we show that our results are also applicable to a family of smooth manifold-learning tasks. Finally, we support our claims with experimental results.",2009,36,168,16,False,,120874496,R. Calderbank,,,,,,,,,,,,,,,,,,,,,,,,,
cdc90e091e64b796f5069bda7bbfdc5a04bd6365,https://www.semanticscholar.org/paper/cdc90e091e64b796f5069bda7bbfdc5a04bd6365,Extrapolation and learning equations,"In classical machine learning, regression is treated as a black box process of identifying a suitable function from a hypothesis set without attempting to gain insight into the mechanism connecting inputs and outputs. In the natural sciences, however, finding an interpretable function for a phenomenon is the prime goal as it allows to understand and generalize results. This paper proposes a novel type of function learning network, called equation learner (EQL), that can learn analytical expressions and is able to extrapolate to unseen domains. It is implemented as an end-to-end differentiable feed-forward network and allows for efficient gradient based training. Due to sparsity regularization concise interpretable expressions can be obtained. Often the true underlying source expression is identified.",2016,28,63,4,False,Computer Science,144247521,G. Martius,1787591.0,Christoph H. Lampert,,,,,,,,,,,,,,,,,,,,,,,
