paperId,url,title,abstract,year,referenceCount,citationCount,influentialCitationCount,isOpenAccess,fieldsOfStudy/0,authors/0/authorId,authors/0/name,authors/1/authorId,authors/1/name,authors/2/authorId,authors/2/name,authors/3/authorId,authors/3/name,authors/4/authorId,authors/4/name,authors/5/authorId,authors/5/name,fieldsOfStudy/1,authors/6/authorId,authors/6/name,authors/7/authorId,authors/7/name,authors/8/authorId,authors/8/name,authors/9/authorId,authors/9/name,authors/10/authorId,authors/10/name,authors/11/authorId,authors/11/name,authors/12/authorId,authors/12/name,authors/13/authorId,authors/13/name,authors/14/authorId,authors/14/name,authors/15/authorId,authors/15/name,authors/16/authorId,authors/16/name,authors/17/authorId,authors/17/name,fieldsOfStudy/2,fieldsOfStudy/3,authors/18/authorId,authors/18/name,authors/19/authorId,authors/19/name,authors/20/authorId,authors/20/name,authors/21/authorId,authors/21/name,authors/22/authorId,authors/22/name,authors/23/authorId,authors/23/name,authors/24/authorId,authors/24/name,authors/25/authorId,authors/25/name,authors/26/authorId,authors/26/name,authors/27/authorId,authors/27/name,authors/28/authorId,authors/28/name,authors/29/authorId,authors/29/name,authors/30/authorId,authors/30/name,authors/31/authorId,authors/31/name,authors/32/authorId,authors/32/name,authors/33/authorId,authors/33/name
e6d207231dfbaf75383cc5f889bba8f4db00ee4f,https://www.semanticscholar.org/paper/e6d207231dfbaf75383cc5f889bba8f4db00ee4f,"Comprehensive Survey on Machine Learning in Vehicular Network: Technology, Applications and Challenges","Towards future intelligent vehicular network, the machine learning as the promising artificial intelligence tool is widely researched to intelligentize communication and networking functions. In this paper, we provide a comprehensive survey on various machine learning techniques applied to both communication and network parts in vehicular network. To benefit reading, we first give a preliminary on communication technologies and machine learning technologies in vehicular network. Then, we detailedly describe the challenges of conventional techniques in vehicular network and corresponding machine learning based solutions. Finally, we present several open issues and emphasize potential directions that are worthy of research for the future intelligent vehicular network.",2021,0,37,1,False,Computer Science,19282835,Fengxiao Tang,152877793.0,Bomin Mao,145842185.0,N. Kato,152593447.0,Guan Gui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d67b47aa0e7866e3e253544a9b214c040f852ea3,https://www.semanticscholar.org/paper/d67b47aa0e7866e3e253544a9b214c040f852ea3,Evaluating the Performance of Machine Learning Techniques in the Classification of Wisconsin Breast Cancer,"Breast cancer is a considerable problem among the women and causes death around the world. This disease can be detected by distinguishing malignant and benign tumors. Hence, doctors require trustworthy diagnosing process in order to differentiate between malignant and benign tumors. Therefore, the automation of this process is required to recognize tumors. Numerous research works have tried to apply the algorithms of machine learning for classifying breast cancer and it was proven by many researchers that machine learning algorithms act preferable in the diagnosing process. In this paper, three machine-learning algorithms (Support Vector Machine, K-nearest neighbors, and Decision tree) have been used and the performance of these classifiers has been compared in order to detect which classifier works better in the classification of breast cancer. Furthermore, the dataset of Wisconsin Breast Cancer (Diagnostic) has been used in this study. The main aim of this work is to make comparison among several classifiers and find the best classifier which gives better accuracy. The outcomes of this study have revealed that quadratic support vector machine grants the largest accuracy of (98.1%) with lowest false discovery rates. The experiments of this study have been carried out and managed in Matlab which has a special toolbox for machine learning algorithms.",2018,26,50,1,False,,51992035,O. I. Obaid,7349492.0,M. Mohammed,2640028.0,Mohd Khanapi Abd. Ghani,36795542.0,S. Mostafa,2169753056.0,Fahad Taha,2169746981.0,AL-Dhief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dd73f130092b0ab309334516df07e86e964e9de4,https://www.semanticscholar.org/paper/dd73f130092b0ab309334516df07e86e964e9de4,Experiments in Meta-level Learning with Ilp,"When considering new datasets for analysis with machine learning algorithms, we encounter the problem of choosing the algorithm which is best suited for the task at hand. The aim of meta-level learning is to relate the performance of diierent machine learning algorithms to the characteristics of the dataset. The relation is induced on the basis of empirical data about the performance of machine learning algorithms on the diierent datasets. In the paper, an Inductive Logic Programming (ILP) framework for meta-level learning is presented. The performance of three machine learning algorithms (the tree learning system C4.5, the rule learning system CN2 and the k-NN nearest neighbour classiier) were measured on twenty datasets from the UCI repository in order to obtain the dataset for meta-learning. The results of applying ILP on this meta-learning problem are presented and discussed.",1999,10,41,0,False,,2103786841,Ljup Co Todorovski,2052861106.0,So D Sa,2105454905.0,Zeroski,2060897885.0,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ac31f81456137da8c603847d7d6cedc339c51168,https://www.semanticscholar.org/paper/ac31f81456137da8c603847d7d6cedc339c51168,"Gravity Spy: integrating advanced LIGO detector characterization, machine learning, and citizen science","With the first direct detection of gravitational waves, the advanced laser interferometer gravitational-wave observatory (LIGO) has initiated a new field of astronomy by providing an alternative means of sensing the universe. The extreme sensitivity required to make such detections is achieved through exquisite isolation of all sensitive components of LIGO from non-gravitational-wave disturbances. Nonetheless, LIGO is still susceptible to a variety of instrumental and environmental sources of noise that contaminate the data. Of particular concern are noise features known as glitches, which are transient and non-Gaussian in their nature, and occur at a high enough rate so that accidental coincidence between the two LIGO detectors is non-negligible. Glitches come in a wide range of time-frequency-amplitude morphologies, with new morphologies appearing as the detector evolves. Since they can obscure or mimic true gravitational-wave signals, a robust characterization of glitches is paramount in the effort to achieve the gravitational-wave detection rates that are predicted by the design sensitivity of LIGO. This proves a daunting task for members of the LIGO Scientific Collaboration alone due to the sheer amount of data. In this paper we describe an innovative project that combines crowdsourcing with machine learning to aid in the challenging task of categorizing all of the glitches recorded by the LIGO detectors. Through the Zooniverse platform, we engage and recruit volunteers from the public to categorize images of time-frequency representations of glitches into pre-identified morphological classes and to discover new classes that appear as the detectors evolve. In addition, machine learning algorithms are used to categorize images after being trained on human-classified examples of the morphological classes. Leveraging the strengths of both classification methods, we create a combined method with the aim of improving the efficiency and accuracy of each individual classifier. The resulting classification and characterization should help LIGO scientists to identify causes of glitches and subsequently eliminate them from the data or the detector entirely, thereby improving the rate and accuracy of gravitational-wave observations. We demonstrate these methods using a small subset of data from LIGO’s first observing run.",2016,64,201,9,True,Physics,13322962,M. Zevin,39507823.0,S. Coughlin,3185424.0,S. Bahaadini,1962615.0,E. Besler,2116548.0,N. Rohani,2072563951.0,S. Allen,Medicine,49448026.0,M. Cabero,1716974.0,Kevin Crowston,144842935.0,A. Katsaggelos,38489633.0,S. Larson,2110897462.0,T. K. Lee,34769917.0,C. Lintott,1383461830.0,T. Littenberg,87451944.0,A. Lundgren,2064431404.0,C. Østerlund,,J R Smith,3021092.0,L. Trouille,4013201.0,V. Kalogera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccd64c17c811d0d60672ac1a4a4bbb222debfa5d,https://www.semanticscholar.org/paper/ccd64c17c811d0d60672ac1a4a4bbb222debfa5d,The Management of Context-Sensitive Features: A Review of Strategies,"In this paper, we review five heuristic strategies for handling context- sensitive features in supervised machine learning from examples. We discuss two methods for recovering lost (implicit) contextual information. We mention some evidence that hybrid strategies can have a synergetic effect. We then show how the work of several machine learning researchers fits into this framework. While we do not claim that these strategies exhaust the possibilities, it appears that the framework includes all of the techniques that can be found in the published literature on context-sensitive learning.",2002,25,70,3,False,Computer Science,1689647,Peter D. Turney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3003e9e965957ab262212635f313cdaf6ded13ed,https://www.semanticscholar.org/paper/3003e9e965957ab262212635f313cdaf6ded13ed,Machine Learning Energies of 2 Million Elpasolite (ABC_{2}D_{6}) Crystals.,"Elpasolite is the predominant quaternary crystal structure (AlNaK_{2}F_{6} prototype) reported in the Inorganic Crystal Structure Database. We develop a machine learning model to calculate density functional theory quality formation energies of all ∼2×10^{6} pristine ABC_{2}D_{6} elpasolite crystals that can be made up from main-group elements (up to bismuth). Our model's accuracy can be improved systematically, reaching a mean absolute error of 0.1  eV/atom for a training set consisting of 10×10^{3} crystals. Important bonding trends are revealed: fluoride is best suited to fit the coordination of the D site, which lowers the formation energy whereas the opposite is found for carbon. The bonding contribution of the elements A and B is very small on average. Low formation energies result from A and B being late elements from group II, C being a late (group I) element, and D being fluoride. Out of 2×10^{6} crystals, 90 unique structures are predicted to be on the convex hull-among which is NFAl_{2}Ca_{6}, with a peculiar stoichiometry and a negative atomic oxidation state for Al.",2015,45,231,0,True,Physics,145483118,Felix A Faber,13174355.0,Alexander Hans Gustav Lindmaa,7847508.0,O. A. von Lilienfeld,145399646.0,R. Armiento,,,,,Medicine,,,,,,,,,,,,,,,,,,,,,,,,,Materials Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6227e6923797c00ad3bd89b39643ee05faccb422,https://www.semanticscholar.org/paper/6227e6923797c00ad3bd89b39643ee05faccb422,Federated Learning in Mobile Edge Networks: A Comprehensive Survey,"In recent years, mobile devices are equipped with increasingly advanced sensing and computing capabilities. Coupled with advancements in Deep Learning (DL), this opens up countless possibilities for meaningful applications, e.g., for medical purposes and in vehicular networks. Traditional cloud-based Machine Learning (ML) approaches require the data to be centralized in a cloud server or data center. However, this results in critical issues related to unacceptable latency and communication inefficiency. To this end, Mobile Edge Computing (MEC) has been proposed to bring intelligence closer to the edge, where data is produced. However, conventional enabling technologies for ML at mobile edge networks still require personal data to be shared with external parties, e.g., edge servers. Recently, in light of increasingly stringent data privacy legislations and growing privacy concerns, the concept of Federated Learning (FL) has been introduced. In FL, end devices use their local data to train an ML model required by the server. The end devices then send the model updates rather than raw data to the server for aggregation. FL can serve as an enabling technology in mobile edge networks since it enables the collaborative training of an ML model and also enables DL for mobile edge network optimization. However, in a large-scale and complex mobile edge network, heterogeneous devices with varying constraints are involved. This raises challenges of communication costs, resource allocation, and privacy and security in the implementation of FL at scale. In this survey, we begin with an introduction to the background and fundamentals of FL. Then, we highlight the aforementioned challenges of FL implementation and review existing solutions. Furthermore, we present the applications of FL for mobile edge network optimization. Finally, we discuss the important challenges and future research directions in FL.",2019,222,713,48,True,Computer Science,1753717562,Wei Yang Bryan Lim,3046954.0,Nguyen Cong Luong,2233724.0,D. Hoang,2878072.0,Yutao Jiao,144791622.0,Ying-Chang Liang,153096457.0,Qiang Yang,Engineering,1713586.0,D. Niyato,1679209.0,C. Miao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7cad19a569461df23761f59d97bc7b9efa709832,https://www.semanticscholar.org/paper/7cad19a569461df23761f59d97bc7b9efa709832,Towards Automated Machine Learning: Evaluation and Comparison of AutoML Approaches and Tools,"There has been considerable growth and interest in industrial applications of machine learning (ML) in recent years. ML engineers, as a consequence, are in high demand across the industry, yet improving the efficiency of ML engineers remains a fundamental challenge. Automated machine learning (AutoML) has emerged as a way to save time and effort on repetitive tasks in ML pipelines, such as data pre-processing, feature engineering, model selection, hyperparameter optimization, and prediction result analysis. In this paper, we investigate the current state of AutoML tools aiming to automate these tasks. We conduct various evaluations of the tools on many datasets, in different data segments, to examine their performance, and compare their advantages and disadvantages on different test cases.",2019,17,102,9,True,Computer Science,4543607,A. Truong,145008132.0,Austin Walters,8606417.0,Jeremy Goodsitt,4634403.0,Keegan E. Hines,8954363.0,C. B. Bruss,2068373997.0,R. Farivar,Mathematics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aee1e402d5a2fe7c3096f5406bb8088ba587565c,https://www.semanticscholar.org/paper/aee1e402d5a2fe7c3096f5406bb8088ba587565c,Using supervised machine learning on large-scale online forums to classify course-related Facebook messages in predicting learning achievement within the personal learning environment,"ABSTRACT This paper demonstrated the use of the supervised Machine Learning (ML) for text classification to predict students’ final course grades in a hybrid Advanced Statistics course and exhibited the potential of using ML classified messages to identify students at risk of course failure. We built three classification models with training data of 76,936 posts from two large online forums and applied the models to classify messages into statistics-related and non-statistics-related posts in a private Facebook group. Three ML algorithms were compared in terms of classification effectiveness and congruency with human coding. Students with more messages endorsed by two or more ML algorithms as statistics-related had higher final course grades. Students who failed the course also had significantly fewer messages endorsed by all three ML algorithms than those who passed. Results suggest that ML can be used for identifying students in need of support within the personal learning environment and for quality control of the large-scale educational data.",2018,59,52,2,False,Computer Science,47876037,Jiun-Yu Wu,25219613.0,Yi-Cheng Hsiao,40373696.0,Mei-Wen Nian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a17bbef16253a0da824d528e5027ce77c986d10b,https://www.semanticscholar.org/paper/a17bbef16253a0da824d528e5027ce77c986d10b,Estimation of effective temperatures in quantum annealers for sampling applications: A case study with possible applications in deep learning,"An increase in the efficiency of sampling from Boltzmann distributions would have a significant impact on deep learning and other machine-learning applications. Recently, quantum annealers have been proposed as a potential candidate to speed up this task, but several limitations still bar these state-of-the-art technologies from being used effectively. One of the main limitations is that, while the device may indeed sample from a Boltzmann-like distribution, quantum dynamical arguments suggest it will do so with an {\it instance-dependent} effective temperature, different from its physical temperature. Unless this unknown temperature can be unveiled, it might not be possible to effectively use a quantum annealer for Boltzmann sampling. In this work, we propose a strategy to overcome this challenge with a simple effective-temperature estimation algorithm. We provide a systematic study assessing the impact of the effective temperatures in the learning of a special class of a restricted Boltzmann machine embedded on quantum hardware, which can serve as a building block for deep-learning architectures. We also provide a comparison to $k$-step contrastive divergence (CD-$k$) with $k$ up to 100. Although assuming a suitable fixed effective temperature also allows us to outperform one step contrastive divergence (CD-1), only when using an instance-dependent effective temperature do we find a performance close to that of CD-100 for the case studied here.",2015,27,153,10,True,Physics,3468759,M. Benedetti,1402789590.0,John Realpe-G'omez,144637418.0,R. Biswas,1402938096.0,A. Perdomo-Ortiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
