paperId,url,title,abstract,year,referenceCount,citationCount,influentialCitationCount,isOpenAccess,fieldsOfStudy/0,authors/0/authorId,authors/0/name,authors/1/authorId,authors/1/name,fieldsOfStudy/1,authors/2/authorId,authors/2/name,authors/3/authorId,authors/3/name,authors/4/authorId,authors/4/name,authors/5/authorId,authors/5/name,authors/6/authorId,authors/6/name,authors/7/authorId,authors/7/name,fieldsOfStudy/2,authors/8/authorId,authors/8/name,authors/9/authorId,authors/9/name,authors/10/authorId,authors/10/name,authors/11/authorId,authors/11/name,authors/12/authorId,authors/12/name,authors/13/authorId,authors/13/name,authors/14/authorId,authors/14/name,authors/15/authorId,authors/15/name,authors/16/authorId,authors/16/name,authors/17/authorId,authors/17/name,fieldsOfStudy/3
043b307af412fc7f9005822e6dabbe4f9d983472,https://www.semanticscholar.org/paper/043b307af412fc7f9005822e6dabbe4f9d983472,Mapping parallelism to multi-cores: a machine learning based approach,"The efficient mapping of program parallelism to multi-core processors is highly dependent on the underlying architecture. This paper proposes a portable and automatic compiler-based approach to mapping such parallelism using machine learning. It develops two predictors: a data sensitive and a data insensitive predictor to select the best mapping for parallel programs. They predict the number of threads and the scheduling policy for any given program using a model learnt off-line. By using low-cost profiling runs, they predict the mapping for a new unseen program across multiple input data sets. We evaluate our approach by selecting parallelism mapping configurations for OpenMP programs on two representative but different multi-core platforms (the Intel Xeon and the Cell processors). Performance of our technique is stable across programs and architectures. On average, it delivers above 96% performance of the maximum available on both platforms. It achieve, on average, a 37% (up to 17.5 times) performance improvement over the OpenMP runtime default scheme on the Cell platform. Compared to two recent prediction models, our predictors achieve better performance with a significant lower profiling cost.",2009,29,213,7,False,Computer Science,40072305,Zheng Wang,1401533251.0,M. O’Boyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3e50d6456492d20ad836658220202cbe1c9d7c9f,https://www.semanticscholar.org/paper/3e50d6456492d20ad836658220202cbe1c9d7c9f,Machine learning approaches for the prediction of signal peptides and other protein sorting signals.,"Prediction of protein sorting signals from the sequence of amino acids has great importance in the field of proteomics today. Recently, the growth of protein databases, combined with machine learning approaches, such as neural networks and hidden Markov models, have made it possible to achieve a level of reliability where practical use in, for example automatic database annotation is feasible. In this review, we concentrate on the present status and future perspectives of SignalP, our neural network-based method for prediction of the most well-known sorting signal: the secretory signal peptide. We discuss the problems associated with the use of SignalP on genomic sequences, showing that signal peptide prediction will improve further if integrated with predictions of start codons and transmembrane helices. As a step towards this goal, a hidden Markov model version of SignalP has been developed, making it possible to discriminate between cleaved signal peptides and uncleaved signal anchors. Furthermore, we show how SignalP can be used to characterize putative signal peptides from an archaeon, Methanococcus jannaschii. Finally, we briefly review a few methods for predicting other protein sorting signals and discuss the future of protein sorting prediction in general.",1999,62,625,42,True,Computer Science,145416108,H. Nielsen,8169197.0,S. Brunak,Medicine,3300090.0,G. von Heijne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ac3f8372b9d893dbdb7e4b9cd3df5ed825ffb548,https://www.semanticscholar.org/paper/ac3f8372b9d893dbdb7e4b9cd3df5ed825ffb548,"Twitter Sentiment Analysis: Lexicon Method, Machine Learning Method and Their Combination","This paper covers the two approaches for sentiment analysis: i) lexicon based method; ii) machine learning method. We describe several techniques to implement these approaches and discuss how they can be adopted for sentiment classification of Twitter messages. We present a comparative study of different lexicon combinations and show that enhancing sentiment lexicons with emoticons, abbreviations and social-media slang expressions increases the accuracy of lexicon-based classification for Twitter. We discuss the importance of feature generation and feature selection processes for machine learning sentiment classification. To quantify the performance of the main sentiment analysis methods over Twitter we run these algorithms on a benchmark Twitter dataset from the SemEval-2013 competition, task 2-B. The results show that machine learning method based on SVM and Naive Bayes classifiers outperforms the lexicon method. We present a new ensemble method that uses a lexicon based sentiment score as input feature for the machine learning approach. The combined method proved to produce more precise classifications. We also show that employing a cost-sensitive classifier for highly unbalanced datasets yields an improvement of sentiment classification performance up to 7%.",2015,84,131,6,False,Computer Science,1891372,Olga Kolchyna,2314341.0,T. T. P. Souza,Mathematics,1761192.0,P. Treleaven,8903071.0,T. Aste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8a9f26a4cee210e51c96f4016737605e31d490ee,https://www.semanticscholar.org/paper/8a9f26a4cee210e51c96f4016737605e31d490ee,A data ecosystem to support machine learning in materials science,"Facilitating the application of machine learning to materials science problems will require enhancing the data ecosystem to enable discovery and collection of data from many sources, automated dissemination of new data across the ecosystem, and the connecting of data with materials-specific machine learning models. Here, we present two projects, the Materials Data Facility (MDF) and the Data and Learning Hub for Science (DLHub), that address these needs. We use examples to show how MDF and DLHub capabilities can be leveraged to link data with machine learning models and how users can access those capabilities through web and programmatic interfaces.",2019,39,80,7,True,Materials Science,2338072,B. Blaiszik,47766095.0,Logan T. Ward,Physics,47549959.0,Marcus Schwarting,104220223.0,Jonathon Gaff,36319017.0,Ryan Chard,72559552.0,D. Pike,3091414.0,K. Chard,1698701.0,Ian T Foster,,,,,,,,,,,,,,,,,,,,,,
bcc81d8ab4ba6989d3be943540bd3885990c313f,https://www.semanticscholar.org/paper/bcc81d8ab4ba6989d3be943540bd3885990c313f,Toward Intelligent Vehicular Networks: A Machine Learning Framework,"As wireless networks evolve toward high mobility and providing better support for connected vehicles, a number of new challenges arise due to the resulting high dynamics in vehicular environments and thus motive rethinking of traditional wireless design methodologies. Future intelligent vehicles, which are at the heart of high mobility networks, are increasingly equipped with multiple advanced onboard sensors and keep generating large volumes of data. Machine learning, as an effective approach to artificial intelligence, can provide a rich set of tools to exploit such data for the benefit of the networks. In this paper, we first identify the distinctive characteristics of high mobility vehicular networks and motivate the use of machine learning to address the resulting challenges. After a brief introduction of the major concepts of machine learning, we discuss its applications to learn the dynamics of vehicular networks and make informed decisions to optimize network performance. In particular, we discuss in greater detail the application of reinforcement learning in managing network resources as an alternative to the prevalent optimization approach. Finally, some open issues worth further investigation are highlighted.",2018,92,143,3,False,Computer Science,144362942,L. Liang,2089063597.0,Hao Ye,Mathematics,1410112765.0,Geoffrey Y. Li,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd20055d314fa7ffbee9d702dfd5e4fd99257c62,https://www.semanticscholar.org/paper/bd20055d314fa7ffbee9d702dfd5e4fd99257c62,Measuring Corporate Culture Using Machine Learning,"We create a culture dictionary using one of the latest machine learning techniques—the word embedding model—and 209,480 earnings call transcripts. We score the five corporate cultural values of innovation, integrity, quality, respect, and teamwork for 62,664 firm-year observations over the period 2001–2018. We show that an innovative culture is broader than the usual measures of corporate innovation – R&D expenses and the number of patents. Moreover, we show that corporate culture correlates with business outcomes, including operational efficiency, risk-taking, earnings management, executive compensation design, firm value, and deal making, and that the culture-performance link is more pronounced in bad times. Finally, we present suggestive evidence that corporate culture is shaped by major corporate events, such as mergers and acquisitions.",2020,71,110,14,False,Business,101769938,Kai Li,39544108.0,Feng Mai,,145109025.0,R. Shen,1390935916.0,Xinyan Yan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b646ba235ba49ed545c7903dd033b50e3fa99f34,https://www.semanticscholar.org/paper/b646ba235ba49ed545c7903dd033b50e3fa99f34,Machine learning for identifying Randomized Controlled Trials: An evaluation and practitioner's guide,"Machine learning (ML) algorithms have proven highly accurate for identifying Randomized Controlled Trials (RCTs) but are not used much in practice, in part because the best way to make use of the technology in a typical workflow is unclear. In this work, we evaluate ML models for RCT classification (support vector machines, convolutional neural networks, and ensemble approaches). We trained and optimized support vector machine and convolutional neural network models on the titles and abstracts of the Cochrane Crowd RCT set. We evaluated the models on an external dataset (Clinical Hedges), allowing direct comparison with traditional database search filters. We estimated area under receiver operating characteristics (AUROC) using the Clinical Hedges dataset.",2018,42,195,5,True,Medicine,1808775,I. Marshall,1401080041.0,A. Noel-Storr,,37912398.0,J. Kuiper,2110226596.0,James Thomas,1912476.0,Byron C. Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7f7925d27da15a877d2991a83085f7ff0bc4badd,https://www.semanticscholar.org/paper/7f7925d27da15a877d2991a83085f7ff0bc4badd,Neural and adaptive systems : fundamentals through simulations,"Data Fitting with Linear Models. Pattern Recognition. Multilayer Perceptrons. Designing and Training MLPs. Function Approximation with MLPs, Radial Basis Functions, and Support Vector Machines. Hebbian Learning and Principal Component Analysis. Competitive and Kohonen Networks. Principles of Digital Signal Processing. Adaptive Filters. Temporal Processing with Neural Networks. Training and Using Recurrent Networks. Appendices. Glossary. Index.",2000,6,474,22,False,Computer Science,143961030,J. Príncipe,2290387.0,N. Euliano,,145973983.0,W. C. Lefebvre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a43cc163f4e570b28617ad8a40872ad9189349c,https://www.semanticscholar.org/paper/5a43cc163f4e570b28617ad8a40872ad9189349c,Robust Truncated Hinge Loss Support Vector Machines,"The support vector machine (SVM) has been widely applied for classification problems in both machine learning and statistics. Despite its popularity, however, SVM has some drawbacks in certain situations. In particular, the SVM classifier can be very sensitive to outliers in the training sample. Moreover, the number of support vectors (SVs) can be very large in many applications. To circumvent these drawbacks, we propose the robust truncated hinge loss SVM (RSVM), which uses a truncated hinge loss. The RSVM is shown to be more robust to outliers and to deliver more accurate classifiers using a smaller set of SVs than the standard SVM. Our theoretical results show that the RSVM is Fisher-consistent, even when there is no dominating class, a scenario that is particularly challenging for multicategory classification. Similar results are obtained for a class of margin-based classifiers.",2007,33,336,26,False,Mathematics,47095791,Yichao Wu,46399637.0,Yufeng Liu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4f0a8cad6d6a8d0397ad1bd35acce6458aa7164c,https://www.semanticscholar.org/paper/4f0a8cad6d6a8d0397ad1bd35acce6458aa7164c,Contrastive Representation Learning: A Framework and Review,"Contrastive Learning has recently received interest due to its success in self-supervised representation learning in the computer vision domain. However, the origins of Contrastive Learning date as far back as the 1990s and its development has spanned across many fields and domains including Metric Learning and natural language processing. In this paper, we provide a comprehensive literature review and we propose a general Contrastive Representation Learning framework that simplifies and unifies many different contrastive learning methods. We also provide a taxonomy for each of the components of contrastive learning in order to summarise it and distinguish it from other forms of machine learning. We then discuss the inductive biases which are present in any contrastive learning system and we analyse our framework under different views from various sub-fields of Machine Learning. Examples of how contrastive learning has been applied in computer vision, natural language processing, audio processing, and others, as well as in Reinforcement Learning are also presented. Finally, we discuss the challenges and some of the most promising future research directions ahead.",2020,122,188,9,True,Computer Science,1994194269,Phúc H. Lê Khắc,30978009.0,G. Healy,Mathematics,1680223.0,A. Smeaton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
