paperId,url,title,abstract,year,referenceCount,citationCount,influentialCitationCount,isOpenAccess,fieldsOfStudy/0,fieldsOfStudy/1,authors/0/authorId,authors/0/name,authors/1/authorId,authors/1/name,authors/2/authorId,authors/2/name,authors/3/authorId,authors/3/name,authors/4/authorId,authors/4/name,authors/5/authorId,authors/5/name,authors/6/authorId,authors/6/name,authors/7/authorId,authors/7/name,fieldsOfStudy/2,authors/8/authorId,authors/8/name,authors/9/authorId,authors/9/name,authors/10/authorId,authors/10/name,authors/11/authorId,authors/11/name,authors/12/authorId,authors/12/name,fieldsOfStudy/3
f6227e4c1caf47da99955b61253984bfbb0eddf8,https://www.semanticscholar.org/paper/f6227e4c1caf47da99955b61253984bfbb0eddf8,Benchmark Data Set for in Silico Prediction of Ames Mutagenicity,"Up to now, publicly available data sets to build and evaluate Ames mutagenicity prediction tools have been very limited in terms of size and chemical space covered. In this report we describe a new unique public Ames mutagenicity data set comprising about 6500 nonconfidential compounds (available as SMILES strings and SDF) together with their biological activity. Three commercial tools (DEREK, MultiCASE, and an off-the-shelf Bayesian machine learner in Pipeline Pilot) are compared with four noncommercial machine learning implementations (Support Vector Machines, Random Forests, k-Nearest Neighbors, and Gaussian Processes) on the new benchmark data set.",2009,8,241,9,False,Computer Science,Medicine,39960184,K. Hansen,2459012.0,S. Mika,34954622.0,T. Schroeter,2079588955.0,A. Sutter,14270207.0,A. T. Laak,1390062673.0,T. Steger-Hartmann,34305015.0,N. Heinrich,145034054.0,K. Müller,,,,,,,,,,,,
56453a88588732bbb9975166e019b052c4fcc0a7,https://www.semanticscholar.org/paper/56453a88588732bbb9975166e019b052c4fcc0a7,Estimating crop yields with deep learning and remotely sensed data,"This paper describes Illinois corn yield estimation using deep learning and another machine learning, SVR. Deep learning is a technique that has been attracting attention in recent years of machine learning, it is possible to implement using the Caffe. High accuracy estimation of crop yield is very important from the viewpoint of food security. However, since every country prepare data inhomogeneously, the implementation of the crop model in all regions is difficult. Deep learning is possible to extract important features for estimating the object from the input data, so it can be expected to reduce dependency of input data. The network model of two InnerProductLayer was the best algorithm in this study, achieving RMSE of 6.298 (standard value). This study highlights the advantages of deep learning for agricultural yield estimating.",2015,13,137,9,False,Computer Science,,46944179,Kentaro Kuwata,1721111.0,R. Shibasaki,,,,,,,,,,,,,,,,,,,,,,,,
4467bf31acec51141c4cb799e6cebbb8ef7150ec,https://www.semanticscholar.org/paper/4467bf31acec51141c4cb799e6cebbb8ef7150ec,Adoption of Machine Learning Techniques in Ecology and Earth Science,"The natural sciences, such as ecology and earth science, study complex interactions between biotic and abiotic systems in order to infer understanding and make predictions. Machine-learning-based methods have an advantage over traditional statistical methods in studying these systems because the former do not impose unrealistic assumptions (such as linearity), are capable of inferring missing data, and can reduce long-term expert annotation burden. Thus, a wider adoption of machine learning methods in ecology and earth science has the potential to greatly accelerate the pace and quality of science. Despite these advantages, machine learning techniques have not had wide spread adoption in ecology and earth science. This is largely due to 1) a lack of communication and collaboration between the machine learning research community and natural scientists, 2) a lack of easily accessible tools and services, and 3) the requirement for a robust training and test data set. These impediments can be overcome through financial support for collaborative work and the development of tools and services facilitating ML use. Natural scientists who have not yet used machine learning methods can be introduced to these techniques through Random Forest, a method that is easy to implement and performs well. This manuscript will 1) briefly describe several popular ML methods and their application to ecology and earth science, 2) discuss why ML methods are underutilized in natural science, and 3) propose solutions for barriers preventing wider ML adoption.",2016,230,91,4,True,Computer Science,,2058930,A. Thessen,,,,,,,,,,,,,,,,,,,,,,,,,,
0d678ce457ad13e0d13a96cd502cc9da0ae95dcd,https://www.semanticscholar.org/paper/0d678ce457ad13e0d13a96cd502cc9da0ae95dcd,Experimental Machine Learning of Quantum States.,"Quantum information technologies provide promising applications in communication and computation, while machine learning has become a powerful technique for extracting meaningful structures in ""big data."" A crossover between quantum information and machine learning represents a new interdisciplinary area stimulating progress in both fields. Traditionally, a quantum state is characterized by quantum-state tomography, which is a resource-consuming process when scaled up. Here we experimentally demonstrate a machine-learning approach to construct a quantum-state classifier for identifying the separability of quantum states. We show that it is possible to experimentally train an artificial neural network to efficiently learn and classify quantum states, without the need of obtaining the full information of the states. We also show how adding a hidden layer of neurons to the neural network can significantly boost the performance of the state classifier. These results shed new light on how classification of quantum states can be achieved with limited resources, and represent a step towards machine-learning-based applications in quantum information processing.",2017,47,93,0,True,Medicine,Physics,2111014047,Jun Gao,6891618.0,Lu-Feng Qiao,66183707.0,Zhi-Qiang Jiao,2109387083.0,Yue-Chi Ma,50989843.0,Cheng-Qiu Hu,51012274.0,Ruo-Jing Ren,8026905.0,Ai-Lin Yang,2109238434.0,Hao Tang,Computer Science,145666876.0,M. Yung,3398360.0,Xian-min Jin,,,,,,,
330dda431e0343a96f9d630a0b4ee526bd93ad11,https://www.semanticscholar.org/paper/330dda431e0343a96f9d630a0b4ee526bd93ad11,Domain Adaptation for Visual Applications: A Comprehensive Survey,"The aim of this paper is to give an overview of domain adaptation and transfer learning with a specific view on visual applications. After a general motivation, we first position domain adaptation in the larger transfer learning problem. Second, we try to address and analyze briefly the state-of-the-art methods for different types of scenarios, first describing the historical shallow methods, addressing both the homogeneous and the heterogeneous domain adaptation methods. Third, we discuss the effect of the success of deep convolutional architectures which led to new type of domain adaptation methods that integrate the adaptation within the deep architecture. Fourth, we overview the methods that go beyond image categorization, such as object detection or image segmentation, video analyses or learning visual attributes. Finally, we conclude the paper with a section where we relate domain adaptation to other machine learning solutions.",2017,286,373,14,False,Computer Science,,1808423,G. Csurka,,,,,,,,,,,,,,,,,,,,,,,,,,
1683ffc189d16b616131c300f45af87602d211f7,https://www.semanticscholar.org/paper/1683ffc189d16b616131c300f45af87602d211f7,Fast context-aware recommendations with factorization machines,"The situation in which a choice is made is an important information for recommender systems. Context-aware recommenders take this information into account to make predictions. So far, the best performing method for context-aware rating prediction in terms of predictive accuracy is Multiverse Recommendation based on the Tucker tensor factorization model. However this method has two drawbacks: (1) its model complexity is exponential in the number of context variables and polynomial in the size of the factorization and (2) it only works for categorical context variables. On the other hand there is a large variety of fast but specialized recommender methods which lack the generality of context-aware methods. We propose to apply Factorization Machines (FMs) to model contextual information and to provide context-aware rating predictions. This approach results in fast context-aware recommendations because the model equation of FMs can be computed in linear time both in the number of context variables and the factorization size. For learning FMs, we develop an iterative optimization method that analytically finds the least-square solution for one parameter given the other ones. Finally, we show empirically that our approach outperforms Multiverse Recommendation in prediction quality and runtime.",2011,21,525,43,False,Computer Science,,2843982,Steffen Rendle,2382247.0,Zeno Gantner,1825333.0,C. Freudenthaler,1388781075.0,L. Schmidt-Thieme,,,,,,,,,,,,,,,,,,,,
9a28e015836560996fe1e406891eeee11a3449c1,https://www.semanticscholar.org/paper/9a28e015836560996fe1e406891eeee11a3449c1,Machine learning for spoken dialogue systems,"During the last decade, research in the field of Spoken Dialogue Systems (SDS) has experienced increasing growth. However, the design and optimization of SDS is not only about combin- ing speech and language processing systems such as Automatic Speech Recognition (ASR), parsers, Natural Language Gener- ation (NLG), and Text-to-Speech (TTS) synthesis systems. It also requires the development of dialogue strategies taking at least into account the performances of these subsystems (and others), the nature of the task (e.g. form filling, tutoring, robot control, or database search/browsing), and the user's behaviour (e.g. cooperativeness, expertise). Due to the great variability of these factors, reuse of previous hand-crafted designs is also made very difficult. For these reasons, statistical machine learn- ing (ML) methods applied to automatic SDS optimization have been a leading research area for the last few years. In this paper, we provide a short review of the field and of recent advances.",2007,42,126,5,False,Computer Science,,1782798,Oliver Lemon,1721354.0,O. Pietquin,,,,,,,,,,,,,,,,,,,,,,,,
700dd2b620c12b06ba47225752b300c2c8d8c31f,https://www.semanticscholar.org/paper/700dd2b620c12b06ba47225752b300c2c8d8c31f,Learning to Discover Social Circles in Ego Networks,"Our personal social networks are big and cluttered, and currently there is no good way to organize them. Social networking sites allow users to manually categorize their friends into social circles (e.g. 'circles' on Google+, and 'lists' on Facebook and Twitter), however they are laborious to construct and must be updated whenever a user's network grows. We define a novel machine learning task of identifying users' social circles. We pose the problem as a node clustering problem on a user's ego-network, a network of connections between her friends. We develop a model for detecting circles that combines network structure as well as user profile information. For each circle we learn its members and the circle-specific user profile similarity metric. Modeling node membership to multiple circles allows us to detect overlapping as well as hierarchically nested circles. Experiments show that our model accurately identifies circles on a diverse set of data from Facebook, Google+, and Twitter for all of which we obtain hand-labeled ground-truth.",2012,40,1403,146,False,Computer Science,,35660011,Julian McAuley,1702139.0,J. Leskovec,,,,,,,,,,,,,,,,,,,,,,,,
a1abe16a6bc50b1e06e0a23282105db367854188,https://www.semanticscholar.org/paper/a1abe16a6bc50b1e06e0a23282105db367854188,Combinatorial screening for new materials in unconstrained composition space with machine learning,"Typically, computational screens for new materials sharply constrain the compositional search space, structural search space, or both, for the sake of tractability. To lift these constraints, we construct a machine learning model from a database of thousands of density functional theory (DFT) calculations. The resulting model can predict the thermodynamic stability of arbitrary compositions without any other input and with six orders of magnitude less computer time than DFT. We use this model to scan roughly 1.6 million candidate compositions for novel ternary compounds (AxByCz), and predict 4500 new stable materials. Our method can be readily applied to other descriptors of interest to accelerate domain-specific materials discovery.",2014,54,433,5,False,Materials Science,,8839934,B. Meredig,2075308233.0,Amit Agrawal,8407652.0,S. Kirklin,39280442.0,J. Saal,1907763.0,J. Doak,2117429617.0,Alan J Thompson,2119017058.0,Kunpeng Zhang,143975793.0,A. Choudhary,,2088553.0,C. Wolverton,,,,,,,,,
b208cff55a44f9daa82972f81690be29a2677e2d,https://www.semanticscholar.org/paper/b208cff55a44f9daa82972f81690be29a2677e2d,A Differentiable Programming System to Bridge Machine Learning and Scientific Computing,"Scientific computing is increasingly incorporating the advancements in machine learning and the ability to work with large amounts of data. At the same time, machine learning models are becoming increasingly sophisticated and exhibit many features often seen in scientific computing, stressing the capabilities of machine learning frameworks. Just as the disciplines of scientific computing and machine learning have shared common underlying infrastructure in the form of numerical linear algebra, we now have the opportunity to further share new computational infrastructure, and thus ideas, in the form of Differentiable Programming. We describe Zygote, a Differentiable Programming system that is able to take gradients of general program structures. We implement this system in the Julia programming language. Our system supports almost all language constructs (control flow, recursion, mutation, etc.) and compiles high-performance code without requiring any user intervention or refactoring to stage computations. This enables an expressive programming model for deep learning, but more importantly, it enables us to incorporate a large ecosystem of libraries in our models in a straightforward way. We discuss our approach to automatic differentiation, including its support for advanced techniques such as mixed-mode, complex and checkpointed differentiation, and present several examples of differentiating programs.",2019,50,107,4,False,Computer Science,,34289387,Mike Innes,144397527.0,A. Edelman,47247177.0,Keno Fischer,150956309.0,C. Rackauckas,2377846.0,Elliot Saba,2543935.0,Viral B. Shah,90684986.0,Will Tebbutt,,,,,,,,,,,,,,
