paperId,url,title,abstract,year,referenceCount,citationCount,influentialCitationCount,isOpenAccess,fieldsOfStudy/0,authors/0/authorId,authors/0/name,authors/1/authorId,authors/1/name,authors/2/authorId,authors/2/name,authors/3/authorId,authors/3/name,authors/4/authorId,authors/4/name,authors/5/authorId,authors/5/name,authors/6/authorId,authors/6/name,fieldsOfStudy/1,authors/7/authorId,authors/7/name,authors/8/authorId,authors/8/name,authors/9/authorId,authors/9/name,authors/10/authorId,authors/10/name,authors/11/authorId,authors/11/name,authors/12/authorId,authors/12/name,authors/13/authorId,authors/13/name,fieldsOfStudy/2,fieldsOfStudy/3,authors/14/authorId,authors/14/name,authors/15/authorId,authors/15/name,authors/16/authorId,authors/16/name,authors/17/authorId,authors/17/name,authors/18/authorId,authors/18/name,authors/19/authorId,authors/19/name,authors/20/authorId,authors/20/name,authors/21/authorId,authors/21/name,authors/22/authorId,authors/22/name,authors/23/authorId,authors/23/name,authors/24/authorId,authors/24/name,authors/25/authorId,authors/25/name
eea4ca46542125e02cd7b6de60f28c3710b3f7a3,https://www.semanticscholar.org/paper/eea4ca46542125e02cd7b6de60f28c3710b3f7a3,Enhancing one-class support vector machines for unsupervised anomaly detection,"Support Vector Machines (SVMs) have been one of the most successful machine learning techniques for the past decade. For anomaly detection, also a semi-supervised variant, the one-class SVM, exists. Here, only normal data is required for training before anomalies can be detected. In theory, the one-class SVM could also be used in an unsupervised anomaly detection setup, where no prior training is conducted. Unfortunately, it turns out that a one-class SVM is sensitive to outliers in the data. In this work, we apply two modifications in order to make one-class SVMs more suitable for unsupervised anomaly detection: Robust one-class SVMs and eta one-class SVMs. The key idea of both modifications is, that outliers should contribute less to the decision boundary as normal instances. Experiments performed on datasets from UCI machine learning repository show that our modifications are very promising: Comparing with other standard unsupervised anomaly detection algorithms, the enhanced one-class SVMs are superior on two out of four datasets. In particular, the proposed eta one-class SVM has shown the most promising results.",2013,76,293,34,False,Computer Science,11137394,Mennatallah Amer,2060959597.0,Markus Goldstein,2890092.0,S. Abdennadher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9c1379fa08a07e28bb85343f7f7d4d09c302bac,https://www.semanticscholar.org/paper/a9c1379fa08a07e28bb85343f7f7d4d09c302bac,Early exit optimizations for additive machine learned ranking systems,"Some commercial web search engines rely on sophisticated machine learning systems for ranking web documents. Due to very large collection sizes and tight constraints on query response times, online efficiency of these learning systems forms a bottleneck. An important problem in such systems is to speedup the ranking process without sacrificing much from the quality of results. In this paper, we propose optimization strategies that allow short-circuiting score computations in additive learning systems. The strategies are evaluated over a state-of-the-art machine learning system and a large, real-life query log, obtained from Yahoo!. By the proposed strategies, we are able to speedup the score computations by more than four times with almost no loss in result quality.",2010,37,131,16,True,Computer Science,1776940,B. B. Cambazoglu,2833561.0,H. Zaragoza,1730609.0,O. Chapelle,2108311747.0,Jiang Chen,2922252.0,Ciya Liao,1749245.0,Zhaohui Zheng,144090996.0,Jon Degenhardt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01a22723901061bfa7728f7fdfced2c1f54a3f57,https://www.semanticscholar.org/paper/01a22723901061bfa7728f7fdfced2c1f54a3f57,UP-Fall Detection Dataset: A Multimodal Approach,"Falls, especially in elderly persons, are an important health problem worldwide. Reliable fall detection systems can mitigate negative consequences of falls. Among the important challenges and issues reported in literature is the difficulty of fair comparison between fall detection systems and machine learning techniques for detection. In this paper, we present UP-Fall Detection Dataset. The dataset comprises raw and feature sets retrieved from 17 healthy young individuals without any impairment that performed 11 activities and falls, with three attempts each. The dataset also summarizes more than 850 GB of information from wearable sensors, ambient sensors and vision devices. Two experimental use cases were shown. The aim of our dataset is to help human activity recognition and machine learning research communities to fairly compare their fall detection solutions. It also provides many experimental possibilities for the signal recognition, vision, and machine learning community.",2019,50,133,17,True,Medicine,1390004875,María de Lourdes Martínez-Villaseñor,1963352.0,Hiram Ponce,145273511.0,J. Brieva,1409244306.0,E. Moya-Albor,1399280617.0,José Núñez-Martínez,1404743114.0,Carlos Peñafort-Asturiano,,,Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab60160e402f9154b41cae540a8f620478ed6708,https://www.semanticscholar.org/paper/ab60160e402f9154b41cae540a8f620478ed6708,Bond Risk Premiums with Machine Learning,"We show that machine learning methods, in particular, extreme trees and neural networks (NNs), provide strong statistical evidence in favor of bond return predictability. NN forecasts based on macroeconomic and yield information translate into economic gains that are larger than those obtained using yields alone. Interestingly, the nature of unspanned factors changes along the yield curve: stock- and labor-market-related variables are more relevant for short-term maturities, whereas output and income variables matter more for longer maturities. Finally, NN forecasts correlate with proxies for time-varying risk aversion and uncertainty, lending support to models featuring both channels.",2020,101,92,11,True,Mathematics,146467911,Daniele Bianchi,48556577.0,M. Büchner,2468965.0,A. Tamoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f8388dd1a13a8852bf926fed4beeabfd6405ca75,https://www.semanticscholar.org/paper/f8388dd1a13a8852bf926fed4beeabfd6405ca75,COVID-19 diagnosis prediction in emergency care patients: a machine learning approach,"The coronavirus disease (COVID-19) pandemic has increased the necessity of immediate clinical decisions and effective usage of healthcare resources. Currently, the most validated diagnosis test for COVID-19 (RT-PCR) is in shortage in most developing countries, which may increase infection rates and delay important preventive measures. The objective of this study was to predict the risk of positive COVID-19 diagnosis with machine learning, using as predictors only results from emergency care admission exams. We collected data from a sample of 235 adult patients from the Hospital Israelita Albert Einstein in Sao Paulo, Brazil, from 17 to 30 of March, 2020, of which 102 (43%) received a positive diagnosis of COVID-19 from RT-PCR tests. Five machine learning algorithms (neural networks, random forests, gradient boosting trees, logistic regression and support vector machines) were trained on a random sample of 70% of the patients, and performance was tested on new unseen data (30%). The best predictive performance was obtained by the support vector machines algorithm (AUC: 0.85; Sensitivity: 0.68; Specificity: 0.85; Brier Score: 0.16). In conclusion, we found that targeted decisions for receiving COVID-19 tests using only routinely-collected data is a promising new area with the use of machine learning algorithms.",2020,14,117,13,True,Medicine,145837621,A. F. M. Batista,2936012.0,J. Miraglia,150318677.0,T. H. R. Donato,66195683.0,A. C. Chiavegatto Filho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8bd14b13cbeb28f8a6aa9ea54fac1cfe6df2caee,https://www.semanticscholar.org/paper/8bd14b13cbeb28f8a6aa9ea54fac1cfe6df2caee,A Machine Learning Approach to TCP Throughput Prediction,"TCP throughput prediction is an important capability for networks where multiple paths exist between data senders and receivers. In this paper, we describe a new lightweight method for TCP throughput prediction. Our predictor uses Support Vector Regression (SVR); prediction is based on both prior file transfer history and measurements of simple path properties. We evaluate our predictor in a laboratory setting where ground truth can be measured with perfect accuracy. We report the performance of our predictor for oracular and practical measurements of path properties over a wide range of traffic conditions and transfer sizes. For bulk transfers in heavy traffic using oracular measurements, TCP throughput is predicted within 10% of the actual value 87% of the time, representing nearly a threefold improvement in accuracy over prior history-based methods. For practical measurements of path properties, predictions can be made within 10% of the actual value nearly 50% of the time, approximately a 60% improvement over history-based methods, and with much lower measurement traffic overhead. We implement our predictor in a tool called PathPerf, test it in the wide area, and show that PathPerf predicts TCP throughput accurately over diverse wide area paths.",2007,46,209,14,True,Computer Science,40182120,Mariyam Mirza,145966807.0,J. Sommers,1917752.0,P. Barford,1832364.0,Xiaojin Zhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95358dafae9cb7a7506167b5c96d55b4acb2ddcf,https://www.semanticscholar.org/paper/95358dafae9cb7a7506167b5c96d55b4acb2ddcf,Automated software vulnerability detection with machine learning,"Thousands of security vulnerabilities are discovered in production software each year, either reported publicly to the Common Vulnerabilities and Exposures database or discovered internally in proprietary code. Vulnerabilities often manifest themselves in subtle ways that are not obvious to code reviewers or the developers themselves. With the wealth of open source code available for analysis, there is an opportunity to learn the patterns of bugs that can lead to security vulnerabilities directly from data. In this paper, we present a data-driven approach to vulnerability detection using machine learning, specifically applied to C and C++ programs. We first compile a large dataset of hundreds of thousands of open-source functions labeled with the outputs of a static analyzer. We then compare methods applied directly to source code with methods applied to artifacts extracted from the build process, finding that source-based models perform better. We also compare the application of deep neural network models with more traditional models such as random forests and find the best performance comes from combining features learned by deep models with tree-based models. Ultimately, our highest performing model achieves an area under the precision-recall curve of 0.49 and an area under the ROC curve of 0.87.",2018,26,100,8,False,Computer Science,4413381,Jacob A. Harer,47714368.0,Louis Y. Kim,2070634196.0,Rebecca L. Russell,2066070614.0,Onur Ozdemir,49875163.0,Leonard Kosta,1872494.0,Akshay Rangamani,40902376.0,Lei H. Hamilton,Mathematics,2074038188.0,Gabriel I. Centeno,144007473.0,Jonathan R. Key,40900236.0,Paul M. Ellingwood,1940574.0,M. McConley,2156875.0,J. M. Opper,2065786106.0,Peter Chin,40900798.0,T. Lazovich,,,,,,,,,,,,,,,,,,,,,,,,,,
e8b3c5e2cf19768b61a263ed4762db98be60c3cb,https://www.semanticscholar.org/paper/e8b3c5e2cf19768b61a263ed4762db98be60c3cb,Inductive logic programming - from machine learning to software engineering,"From the Publisher: Although Inductive Logic Programming (ILP) is generally thought of as a research area at the intersection of machine learning and computational logic, Bergadano and Gunetti propose that most of the research in ILP has in fact come from machine learning, particularly in the evolution of inductive reasoning from pattern recognition, through initial approaches to symbolic machine learning, to recent techniques for learning relational concepts. In this book they provide an extended, up-to-date survey of ILP, emphasizing methods and systems suitable for software engineering applications, including inductive program development, testing, and maintenance. Inductive Logic Programming includes a definition of the basic ILP problem and its variations (incremental, with queries, for multiple predicates and predicate invention capabilities), a description of bottom-up operators and techniques (such as least general generalization, inverse resolution, and inverse implication), an analysis of top-down methods (mainly MIS and FOIL-like systems), and a survey of methods and languages for specifying inductive bias. Logic Programming series",1995,0,126,18,False,Computer Science,2080984,F. Bergadano,1792257.0,D. Gunetti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a4f981c06d398849eb78894e98e7c16ae4372d7e,https://www.semanticscholar.org/paper/a4f981c06d398849eb78894e98e7c16ae4372d7e,Learning multidimensional signal processing,"This paper presents our general strategy for designing learning machines as well as a number of particular designs. The search for methods allowing a sufficient level of adaptivity are based on two main principles: 1) simple adaptive local models; and 2) adaptive model distribution. Particularly important concepts in our work is mutual information and canonical correlation. Examples are given on learning feature descriptors, modeling disparity, synthesis of a global 3-mode model and a setup for reinforcement learning of online video coder parameter control.",1998,192,224,13,False,Computer Science,3117916,H. Knutsson,145290346.0,M. Borga,2976013.0,T. Landelius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1a61117710e2c089182b939a1978c928b3de7f5a,https://www.semanticscholar.org/paper/1a61117710e2c089182b939a1978c928b3de7f5a,Universal Approximation of Extreme Learning Machine With Adaptive Growth of Hidden Nodes,"Extreme learning machines (ELMs) have been proposed for generalized single-hidden-layer feedforward networks which need not be neuron-like and perform well in both regression and classification applications. In this brief, we propose an ELM with adaptive growth of hidden nodes (AG-ELM), which provides a new approach for the automated design of networks. Different from other incremental ELMs (I-ELMs) whose existing hidden nodes are frozen when the new hidden nodes are added one by one, in AG-ELM the number of hidden nodes is determined in an adaptive way in the sense that the existing networks may be replaced by newly generated networks which have fewer hidden nodes and better generalization performance. We then prove that such an AG-ELM using Lebesgue p-integrable hidden activation functions can approximate any Lebesgue p-integrable function on a compact input set. Simulation results demonstrate and verify that this new approach can achieve a more compact network architecture than the I-ELM.",2012,51,204,9,False,Computer Science,2118403946,Rui Zhang,1770395.0,Yuan Lan,145678691.0,G. Huang,98220533.0,Zongben Xu,,,,,,,Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
