paperId,url,title,abstract,year,referenceCount,citationCount,influentialCitationCount,isOpenAccess,fieldsOfStudy/0,authors/0/authorId,authors/0/name,authors/1/authorId,authors/1/name,fieldsOfStudy/1,authors/2/authorId,authors/2/name,authors/3/authorId,authors/3/name,authors/4/authorId,authors/4/name,authors/5/authorId,authors/5/name,fieldsOfStudy/2,authors/6/authorId,authors/6/name,authors/7/authorId,authors/7/name,authors/8/authorId,authors/8/name,authors/9/authorId,authors/9/name,authors/10/authorId,authors/10/name,authors/11/authorId,authors/11/name,authors/12/authorId,authors/12/name,authors/13/authorId,authors/13/name,authors/14/authorId,authors/14/name,authors/15/authorId,authors/15/name,authors/16/authorId,authors/16/name,authors/17/authorId,authors/17/name,authors/18/authorId,authors/18/name
7db91eae688399cd12e9b67885a0a684dfddd9de,https://www.semanticscholar.org/paper/7db91eae688399cd12e9b67885a0a684dfddd9de,A Human-Grounded Evaluation Benchmark for Local Explanations of Machine Learning,"In order for people to be able to trust and take advantage of the results of advanced machine learning and artificial intelligence solutions for real decision making, people need to be able to understand the machine rationale for given output. Research in explain artificial intelligence (XAI) addresses the aim, but there is a need for evaluation of human relevance and understandability of explanations. Our work contributes a novel methodology for evaluating the quality or human interpretability of explanations for machine learning models. We present an evaluation benchmark for instance explanations from text and image classifiers. The explanation meta-data in this benchmark is generated from user annotations of image and text samples. We describe the benchmark and demonstrate its utility by a quantitative evaluation on explanations generated from a recent machine learning algorithm. This research demonstrates how human-grounded evaluation could be used as a measure to qualify local machine-learning explanations.",2018,32,48,2,False,Computer Science,3228458,Sina Mohseni,1777991.0,E. Ragan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9440546c4d61b295482eef1d5580e10c26ab195,https://www.semanticscholar.org/paper/a9440546c4d61b295482eef1d5580e10c26ab195,Robust Federated Learning in a Heterogeneous Environment,"We study a recently proposed large-scale distributed learning paradigm, namely Federated Learning, where the worker machines are end users' own devices. Statistical and computational challenges arise in Federated Learning particularly in the presence of heterogeneous data distribution (i.e., data points on different devices belong to different distributions signifying different clusters) and Byzantine machines (i.e., machines that may behave abnormally, or even exhibit arbitrary and potentially adversarial behavior). To address the aforementioned challenges, first we propose a general statistical model for this problem which takes both the cluster structure of the users and the Byzantine machines into account. Then, leveraging the statistical model, we solve the robust heterogeneous Federated Learning problem \emph{optimally}; in particular our algorithm matches the lower bound on the estimation error in dimension and the number of data points. Furthermore, as a by-product, we prove statistical guarantees for an outlier-robust clustering algorithm, which can be considered as the Lloyd algorithm with robust estimation. Finally, we show via synthetic as well as real data experiments that the estimation error obtained by our proposed algorithm is significantly better than the non-Byzantine-robust algorithms; in particular, we gain at least by 53\% and 33\% for synthetic and real data experiments, respectively, in typical settings.",2019,45,102,4,False,Computer Science,2528309,Avishek Ghosh,32712046.0,Justin Hong,Mathematics,50559902.0,Dong Yin,144161012.0,K. Ramchandran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6324f2693d3a180d7d942dfc2e182b677a54e5da,https://www.semanticscholar.org/paper/6324f2693d3a180d7d942dfc2e182b677a54e5da,Machine learning techniques with probability vector for cooperative spectrum sensing in cognitive radio networks,"We study cooperative spectrum sensing in cognitive radio networks (CRN) using machine learning techniques in this paper. A low-dimensional probability vector is proposed as the feature vector for machine learning based classification, instead of the N-dimensional energy vector in a CRN with a single primary user (PU) and N secondary users (SUs). This proposed method down-converts a high-dimensional feature vector to a constant two-dimensional feature vector for machine learning techniques while keeping the same spectrum sensing performance if not better. Due to its lower dimension, the probability vector based classification is capable of having a smaller training duration and a shorter classification time for testing vectors.",2016,10,55,4,False,Computer Science,2198997,Yingqi Lu,3458576.0,P. Zhu,,2111224376.0,Donglin Wang,1888358.0,M. Fattouche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2b278761f88326ac13148e4764bd406d42ad3ba,https://www.semanticscholar.org/paper/c2b278761f88326ac13148e4764bd406d42ad3ba,q-means: A quantum algorithm for unsupervised machine learning,"Quantum machine learning is one of the most promising applications of a full-scale quantum computer. Over the past few years, many quantum machine learning algorithms have been proposed that can potentially offer considerable speedups over the corresponding classical algorithms. In this paper, we introduce q-means, a new quantum algorithm for clustering which is a canonical problem in unsupervised machine learning. The $q$-means algorithm has convergence and precision guarantees similar to $k$-means, and it outputs with high probability a good approximation of the $k$ cluster centroids like the classical algorithm. Given a dataset of $N$ $d$-dimensional vectors $v_i$ (seen as a matrix $V \in \mathbb{R}^{N \times d})$ stored in QRAM, the running time of q-means is $\widetilde{O}\left( k d \frac{\eta}{\delta^2}\kappa(V)(\mu(V) + k \frac{\eta}{\delta}) + k^2 \frac{\eta^{1.5}}{\delta^2} \kappa(V)\mu(V) \right)$ per iteration, where $\kappa(V)$ is the condition number, $\mu(V)$ is a parameter that appears in quantum linear algebra procedures and $\eta = \max_{i} ||v_{i}||^{2}$. For a natural notion of well-clusterable datasets, the running time becomes $\widetilde{O}\left( k^2 d \frac{\eta^{2.5}}{\delta^3} + k^{2.5} \frac{\eta^2}{\delta^3} \right)$ per iteration, which is linear in the number of features $d$, and polynomial in the rank $k$, the maximum square norm $\eta$ and the error parameter $\delta$. Both running times are only polylogarithmic in the number of datapoints $N$. Our algorithm provides substantial savings compared to the classical $k$-means algorithm that runs in time $O(kdN)$ per iteration, particularly for the case of large datasets.",2018,36,103,6,False,Computer Science,2658063,Iordanis Kerenidis,52189727.0,Jonas Landman,Physics,47637299.0,Alessandro Luongo,49428348.0,A. Prakash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0de4cea40644bf1c75b4c92bcc493d85b15c81c2,https://www.semanticscholar.org/paper/0de4cea40644bf1c75b4c92bcc493d85b15c81c2,A Machine Learning-Based Approximation of Strong Branching,"We present in this paper a new generic approach to variable branching in branch and bound for mixed-integer linear problems. Our approach consists in imitating the decisions taken by a good branching strategy, namely strong branching, with a fast approximation. This approximated function is created by a machine learning technique from a set of observed branching decisions taken by strong branching. The philosophy of the approach is similar to reliability branching. However, our approach can catch more complex aspects of observed previous branchings to take a branching decision. The experiments performed on randomly generated and MIPLIB problems show promising results.",2017,21,106,17,True,Mathematics,3032280,A. Alvarez,2291059.0,Q. Louveaux,Computer Science,1695713.0,L. Wehenkel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26feca29b05ac2abb7841f3a4172d0c28583ca33,https://www.semanticscholar.org/paper/26feca29b05ac2abb7841f3a4172d0c28583ca33,An Interpretable Machine Learning Model for Accurate Prediction of Sepsis in the ICU,"Objectives: Sepsis is among the leading causes of morbidity, mortality, and cost overruns in critically ill patients. Early intervention with antibiotics improves survival in septic patients. However, no clinically validated system exists for real-time prediction of sepsis onset. We aimed to develop and validate an Artificial Intelligence Sepsis Expert algorithm for early prediction of sepsis. Design: Observational cohort study. Setting: Academic medical center from January 2013 to December 2015. Patients: Over 31,000 admissions to the ICUs at two Emory University hospitals (development cohort), in addition to over 52,000 ICU patients from the publicly available Medical Information Mart for Intensive Care-III ICU database (validation cohort). Patients who met the Third International Consensus Definitions for Sepsis (Sepsis-3) prior to or within 4 hours of their ICU admission were excluded, resulting in roughly 27,000 and 42,000 patients within our development and validation cohorts, respectively. Interventions: None. Measurements and Main Results: High-resolution vital signs time series and electronic medical record data were extracted. A set of 65 features (variables) were calculated on hourly basis and passed to the Artificial Intelligence Sepsis Expert algorithm to predict onset of sepsis in the proceeding T hours (where T = 12, 8, 6, or 4). Artificial Intelligence Sepsis Expert was used to predict onset of sepsis in the proceeding T hours and to produce a list of the most significant contributing factors. For the 12-, 8-, 6-, and 4-hour ahead prediction of sepsis, Artificial Intelligence Sepsis Expert achieved area under the receiver operating characteristic in the range of 0.83–0.85. Performance of the Artificial Intelligence Sepsis Expert on the development and validation cohorts was indistinguishable. Conclusions: Using data available in the ICU in real-time, Artificial Intelligence Sepsis Expert can accurately predict the onset of sepsis in an ICU patient 4–12 hours prior to clinical recognition. A prospective study is necessary to determine the clinical utility of the proposed sepsis prediction model.",2017,31,379,8,True,Medicine,144422139,S. Nemati,34231949.0,A. Holder,,24816793.0,F. Razmi,49555023.0,Matthew D. Stanley,2384471.0,G. Clifford,3102078.0,T. Buchman,,,,,,,,,,,,,,,,,,,,,,,,,,,
b6bc0e56cfd57b3571adc469e2d830474b82c66e,https://www.semanticscholar.org/paper/b6bc0e56cfd57b3571adc469e2d830474b82c66e,Experimental Phase Estimation Enhanced By Machine Learning,"Phase estimation protocols provide a fundamental benchmark for the field of quantum metrology. The latter represents one of the most relevant applications of quantum theory, potentially enabling the capability of measuring unknown physical parameters with improved precision over classical strategies. Within this context, most theoretical and experimental studies have focused on determining the fundamental bounds and how to achieve them in the asymptotic regime where a large number of resources is employed. However, in most applications it is necessary to achieve optimal precisions by performing only a limited number of measurements. To this end, machine learning techniques can be applied as a powerful optimization tool. Here, we implement experimentally single-photon adaptive phase estimation protocols enhanced by machine learning, showing the capability of reaching optimal precision after a small number of trials. In particular, we introduce a new approach for Bayesian estimation that exhibit best performances for very low number of photons N. Furthermore, we study the resilience to noise of the tested methods, showing that the optimized Bayesian approach is very robust in the presence of imperfections. Application of this methodology can be envisaged in the more general multiparameter case, that represents a paradigmatic scenario for several tasks including imaging or Hamiltonian learning.",2017,112,64,3,True,Physics,32687701,Alessandro Lumino,27067685.0,E. Polino,Computer Science,26947571.0,A. S. Rab,152872062.0,G. Milani,35933774.0,N. Spagnolo,3253856.0,N. Wiebe,Mathematics,102982226.0,F. Sciarrino,,,,,,,,,,,,,,,,,,,,,,,,
acaddd7f05f6558708861bee3635218c78f21ea4,https://www.semanticscholar.org/paper/acaddd7f05f6558708861bee3635218c78f21ea4,Clonal operator and antibody clone algorithms,"Based on clonal selection theory, the main mechanisms of a clone in the immune system, which are explored in the field of artificial intelligence, are analyzed. An artificial immune system algorithm, antibody clone algorithm, is put forward. Compared with an improved gene algorithm, the new algorithm is shown to be an evolutionary strategy capable of solving complex machine learning tasks, like multi-modal optimization. Using Markov chain theories, it is proved that the antibody clone algorithm is convergent.",2002,8,85,3,False,Computer Science,49345807,Haifeng Du,144125122.0,L. Jiao,,2389051.0,Sun'an Wang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47f1eb0dc42189ba7cf21b76598c8217eb1b6e05,https://www.semanticscholar.org/paper/47f1eb0dc42189ba7cf21b76598c8217eb1b6e05,Learning the Difference that Makes a Difference with Counterfactually-Augmented Data,"Despite alarm over the reliance of machine learning systems on so-called spurious patterns, the term lacks coherent meaning in standard statistical frameworks. However, the language of causality offers clarity: spurious associations are due to confounding (e.g., a common cause), but not direct or indirect causal effects. In this paper, we focus on natural language processing, introducing methods and resources for training models less sensitive to spurious patterns. Given documents and their initial labels, we task humans with revising each document so that it (i) accords with a counterfactual target label; (ii) retains internal coherence; and (iii) avoids unnecessary changes. Interestingly, on sentiment analysis and natural language inference tasks, classifiers trained on original data fail on their counterfactually-revised counterparts and vice versa. Classifiers trained on combined datasets perform remarkably well, just shy of those specialized to either domain. While classifiers trained on either original or manipulated data alone are sensitive to spurious features (e.g., mentions of genre), models trained on the combined data are less sensitive to this signal. Both datasets are publicly available.",2019,37,316,49,False,Computer Science,9264826,Divyansh Kaushik,144547315.0,E. Hovy,Mathematics,32219137.0,Zachary Chase Lipton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cb7ee710f96dfe999b2b047155fbba079e806b9d,https://www.semanticscholar.org/paper/cb7ee710f96dfe999b2b047155fbba079e806b9d,DeepBurning: Automatic generation of FPGA-based learning accelerators for the Neural Network family,"Recent advances in Neural Networks (NN) are enabling more and more innovative applications. As an energy-efficient hardware solution, machine learning accelerators for CNNs or traditional ANNs are also gaining popularity in the area of embedded vision, robotics and cyberphysics. However, the design parameters of NN models vary significantly from application to application. Hence, it's hard to provide one general and highly-efficient hardware solution to accommodate all of them, and it is also impractical for the domain-specific developers to customize their own hardware targeting on a specific NN model. To deal with this dilemma, this study proposes a design automation tool, DeepBurning, allowing the application developers to build from scratch learning accelerators that targets their specific NN models with custom configurations and optimized performance. DeepBurning includes a RTL-level accelerator generator and a coordinated compiler that generates the control flow and data layout under the user-specified constraints. The results can be used to implement FPGA-based NN accelerator or help generate chip design for early design stage. In general, DeepBurning supports a large family of NN models, and greatly simplifies the design flow of NN accelerators for the machine learning or AI application developers. The evaluation shows that the generated learning accelerators burnt to our FPGA board exhibit great power efficiency compared to state-of-the-art FPGA-based solutions.",2016,10,185,8,False,Computer Science,144810556,Ying Wang,2111063139.0,Jie Xu,,2276854.0,Yinhe Han,47892692.0,Huawei Li,40613624.0,Xiaowei Li,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
