paperId,url,title,abstract,year,referenceCount,citationCount,influentialCitationCount,isOpenAccess,fieldsOfStudy/0,fieldsOfStudy/1,authors/0/authorId,authors/0/name,authors/1/authorId,authors/1/name,authors/2/authorId,authors/2/name,authors/3/authorId,authors/3/name,authors/4/authorId,authors/4/name,authors/5/authorId,authors/5/name,fieldsOfStudy/2,authors/6/authorId,authors/6/name,authors/7/authorId,authors/7/name,authors/8/authorId,authors/8/name,authors/9/authorId,authors/9/name,authors/10/authorId,authors/10/name,authors/11/authorId,authors/11/name,authors/12/authorId,authors/12/name
62b6c6c7f3cd1583cec342f7483bee4d725a0cca,https://www.semanticscholar.org/paper/62b6c6c7f3cd1583cec342f7483bee4d725a0cca,LoAdaBoost: Loss-based AdaBoost federated machine learning with reduced computational complexity on IID and non-IID intensive care data,"Intensive care data are valuable for improvement of health care, policy making and many other purposes. Vast amount of such data are stored in different locations, on many different devices and in different data silos. Sharing data among different sources is a big challenge due to regulatory, operational and security reasons. One potential solution is federated machine learning, which is a method that sends machine learning algorithms simultaneously to all data sources, trains models in each source and aggregates the learned models. This strategy allows utilization of valuable data without moving them. One challenge in applying federated machine learning is the possibly different distributions of data from diverse sources. To tackle this problem, we proposed an adaptive boosting method named LoAdaBoost that increases the efficiency of federated machine learning. Using intensive care unit data from hospitals, we investigated the performance of learning in IID and non-IID data distribution scenarios, and showed that the proposed LoAdaBoost method achieved higher predictive accuracy with lower computational complexity than the baseline method.",2018,24,64,2,False,Computer Science,Medicine,2143702320,Li Huang,1640266327.0,Yifeng Yin,2068057580.0,Z. Fu,50202240.0,Shifa Zhang,2072970968.0,Hao Deng,6396156.0,Dianbo Liu,,,,,,,,,,,,,,,
7ac7b6dbcf5107c7ad0ce29161f60c2834a06795,https://www.semanticscholar.org/paper/7ac7b6dbcf5107c7ad0ce29161f60c2834a06795,Alignment for Advanced Machine Learning Systems,"We survey eight research areas organized around one question: As learning systems become increasingly intelligent and autonomous, what design principles can best ensure that their behavior is aligned with the interests of the operators? We focus on two major technical obstacles to AI alignment: the challenge of specifying the right kind of objective functions, and the challenge of designing AI systems that avoid unintended consequences and undesirable behavior even in cases where the objective function does not line up perfectly with the intentions of the designers. Open problems surveyed in this research proposal include: How can we train reinforcement learners to take actions that are more amenable to meaningful assessment by intelligent overseers? What kinds of objective functions incentivize a system to “not have an overly large impact” or “not have many side effects”? We discuss these questions, related work, and potential directions for future research, with the goal of highlighting relevant research topics in machine learning that appear tractable today.",2020,109,58,4,False,Computer Science,,144364160,Jessica Taylor,2542795.0,Eliezer Yudkowsky,2254026.0,Patrick LaVictoire,2651789.0,Andrew Critch,,,,,,,,,,,,,,,,,,,
f4f9c7a52882e46fef6bca5e4732f3ca7ddefc65,https://www.semanticscholar.org/paper/f4f9c7a52882e46fef6bca5e4732f3ca7ddefc65,"BioSeq-Analysis: a platform for DNA, RNA and protein sequence analysis based on machine learning approaches","With the avalanche of biological sequences generated in the post-genomic age, one of the most challenging problems is how to computationally analyze their structures and functions. Machine learning techniques are playing key roles in this field. Typically, predictors based on machine learning techniques contain three main steps: feature extraction, predictor construction and performance evaluation. Although several Web servers and stand-alone tools have been developed to facilitate the biological sequence analysis, they only focus on individual step. In this regard, in this study a powerful Web server called BioSeq-Analysis (http://bioinformatics.hitsz.edu.cn/BioSeq-Analysis/) has been proposed to automatically complete the three main steps for constructing a predictor. The user only needs to upload the benchmark data set. BioSeq-Analysis can generate the optimized predictor based on the benchmark data set, and the performance measures can be reported as well. Furthermore, to maximize user's convenience, its stand-alone program was also released, which can be downloaded from http://bioinformatics.hitsz.edu.cn/BioSeq-Analysis/download/, and can be directly run on Windows, Linux and UNIX. Applied to three sequence analysis tasks, experimental results showed that the predictors generated by BioSeq-Analysis even outperformed some state-of-the-art methods. It is anticipated that BioSeq-Analysis will become a useful tool for biological sequence analysis.",2019,118,226,6,False,Biology,Computer Science,47655556,Bin Liu,,,,,,,,,,,Medicine,,,,,,,,,,,,,,
01cb4071a0a43aeef63e5d568ad5afe1fb8b2411,https://www.semanticscholar.org/paper/01cb4071a0a43aeef63e5d568ad5afe1fb8b2411,Domain Separation Networks,"The cost of large scale data collection and annotation often makes the application of machine learning algorithms to new tasks or datasets prohibitively expensive. One approach circumventing this cost is training models on synthetic data where annotations are provided automatically. Despite their appeal, such models often fail to generalize from synthetic to real images, necessitating domain adaptation algorithms to manipulate these models before they can be successfully applied. Existing approaches focus either on mapping representations from one domain to the other, or on learning to extract features that are invariant to the domain from which they were extracted. However, by focusing only on creating a mapping or shared representation between the two domains, they ignore the individual characteristics of each domain. We hypothesize that explicitly modeling what is unique to each domain can improve a model's ability to extract domain-invariant features. Inspired by work on private-shared component analysis, we explicitly learn to extract image representations that are partitioned into two subspaces: one component which is private to each domain and one which is shared across domains. Our model is trained to not only perform the task we care about in the source domain, but also to use the partitioned representation to reconstruct the images from both domains. Our novel architecture results in a model that outperforms the state-of-the-art on a range of unsupervised domain adaptation scenarios and additionally produces visualizations of the private and shared representations enabling interpretation of the domain adaptation process.",2016,34,1045,122,False,Computer Science,,2732737,Konstantinos Bousmalis,2814229.0,George Trigeorgis,2286640.0,N. Silberman,1707347.0,Dilip Krishnan,1761978.0,D. Erhan,,,,,,,,,,,,,,,,,
4a83b5a3967457b4f6d55396833f43aa3d97ff81,https://www.semanticscholar.org/paper/4a83b5a3967457b4f6d55396833f43aa3d97ff81,Machine fault classification: a neural network approach,"This paper presents a neural network approach for machine fault diagnosis. Specifically, two tasks are explained and discussed: (1) a neural network-based machine fault diagnosis model is developed using the back propagation (BP) learning paradigm; (2) network training efficiency is studied by varying the learning rate and learning momentum of the activation function. The results are presented and discussed.",1992,12,56,1,False,Engineering,,4265272,G. Knapp,2464624.0,Hsu-Pin Wang,,,,,,,,,,,,,,,,,,,,,,,
6ee1181b36af21e226e4c7c6fcb82bda63c1363a,https://www.semanticscholar.org/paper/6ee1181b36af21e226e4c7c6fcb82bda63c1363a,pCAMP: Performance Comparison of Machine Learning Packages on the Edges,"Machine learning has changed the computing paradigm. Products today are built with machine intelligence as a central attribute, and consumers are beginning to expect near-human interaction with the appliances they use. However, much of the deep learning revolution has been limited to the cloud. Recently, several machine learning packages based on edge devices have been announced which aim to offload the computing to the edges. However, little research has been done to evaluate these packages on the edges, making it difficult for end users to select an appropriate pair of software and hardware. In this paper, we make a performance comparison of several state-of-the-art machine learning packages on the edges, including TensorFlow, Caffe2, MXNet, PyTorch, and TensorFlow Lite. We focus on evaluating the latency, memory footprint, and energy of these tools with two popular types of neural networks on different edge devices. This evaluation not only provides a reference to select appropriate combinations of hardware and software packages for end users but also points out possible future directions to optimize packages for developers.",2019,29,67,5,False,Computer Science,,2153648026,Xingzhou Zhang,2118420197.0,Yifan Wang,38737155.0,Weisong Shi,,,,,,,,,,,,,,,,,,,,,
33e1bbb2c76b69f7a2d64d0cf754d1cddc056be1,https://www.semanticscholar.org/paper/33e1bbb2c76b69f7a2d64d0cf754d1cddc056be1,Near-linear time approximation algorithms for optimal transport via Sinkhorn iteration,"Computing optimal transport distances such as the earth mover's distance is a fundamental problem in machine learning, statistics, and computer vision. Despite the recent introduction of several algorithms with good empirical performance, it is unknown whether general optimal transport distances can be approximated in near-linear time. This paper demonstrates that this ambitious goal is in fact achieved by Cuturi's Sinkhorn Distances. This result relies on a new analysis of Sinkhorn iteration, which also directly suggests a new greedy coordinate descent algorithm, Greenkhorn, with the same theoretical guarantees. Numerical simulations illustrate that Greenkhorn significantly outperforms the classical Sinkhorn algorithm in practice.",2017,45,402,52,False,Computer Science,Mathematics,3407979,Jason M. Altschuler,51071691.0,J. Weed,2352281.0,P. Rigollet,,,,,,,,,,,,,,,,,,,,,
bf3fd0a26f7d4c4037aa0fb7fa54e947f498bca6,https://www.semanticscholar.org/paper/bf3fd0a26f7d4c4037aa0fb7fa54e947f498bca6,Lowering the barrier to applying machine learning,"Machine learning algorithms are key components in many cutting edge applications of computation. However, the full potential of machine learning has not been realized because using machine learning is hard, even for otherwise tech-savvy developers. This is because developing with machine learning is different than normal programming. My thesis is that developers applying machine learning need new general-purpose tools that provide structure for common processes and common pipelines while remaining flexible to account for variability in problems. In this paper, I describe my efforts to understanding the difficulties that developers face when applying machine learning. I then describe Gestalt, a general-purpose integrated development environment designed the application of machine learning. Finally, I describe work on developing a pattern language for building machine learning systems and creating new techniques that help developers understand the interaction between their data and learning algorithms.",2010,122,29,3,True,Computer Science,,39699737,Kayur Patel,,,,,,,,,,,,,,,,,,,,,,,,,
61c05d7cab4448a1585596cc7e00ab271c442c2e,https://www.semanticscholar.org/paper/61c05d7cab4448a1585596cc7e00ab271c442c2e,Optimizing distributions over molecular space. An Objective-Reinforced Generative Adversarial Network for Inverse-design Chemistry (ORGANIC),"Molecular discovery seeks to generate chemical species tailored to very speciﬁc needs. In this paper, we present ORGANIC , a framework based on Objective-Reinforced Generative Adversarial Networks (ORGAN), capable of producing a distribution over molecular space that matches with a certain set of desirable metrics. This methodology combines two successful techniques from the machine learning community: a Generative Adversarial Network (GAN), to create non-repetitive sensible molecular species, and Reinforcement Learning (RL), to bias this generative distribution towards certain attributes. We explore several applications, from optimization of random physicochemical properties to candidates for drug discovery and organic photovoltaic material design.",2017,48,193,6,False,Mathematics,,1380248978,Benjamín Sánchez-Lengeling,51112526.0,C. Outeiral,2176123442.0,GL Guimaraes,1380248954.0,Alán Aspuru-Guzik,,,,,,,,,,,,,,,,,,,
063b4fcf59444df073144675ac2c5fe1a63c233a,https://www.semanticscholar.org/paper/063b4fcf59444df073144675ac2c5fe1a63c233a,Extraction Patterns for Information Extraction Tasks : A Survey,"Information Extraction systems rely on a set of extraction patternsthat they use in order to retrieve from each document the relevant information. In this paper we survey the various types of extraction patterns that are generated by machine learning algorithms. We identify three main categories of patterns, which cover a variety of application domains, and we compare and contrast the patterns from each category.",1999,16,178,7,False,,,123035064,K. Minton,,,,,,,,,,,,,,,,,,,,,,,,,
5145a5c8fb950ff52d3ad991d9c1d9886d726451,https://www.semanticscholar.org/paper/5145a5c8fb950ff52d3ad991d9c1d9886d726451,On the Prospects for a (Deep) Learning Health Care System,"In 1976, Maxmen1 predicted that artificial intelligence (AI) in the 21st century would usher in “the postphysician era,” with health care provided by paramedics and computers. Today, the mass extinction of physicians remains unlikely. However, as outlined by Hinton2 in a related Viewpoint, the emergence of a radically different approach to AI, called deep learning, has the potential to effect major changes in clinical medicine and health care delivery. This Viewpoint reviews some of the factors driving wide adoption of deep learning and other forms of machine learning in the health ecosystem.",2018,19,140,4,False,Medicine,,144625283,C. Naylor,,,,,,,,,,,,,,,,,,,,,,,,,
eea2d27488e5ee098c62f85274a294c4c1993543,https://www.semanticscholar.org/paper/eea2d27488e5ee098c62f85274a294c4c1993543,Curious machines: active learning with structured instances,"Supervised machine learning is a branch of artificial intelligence concerned with automatically inducing predictive models from labeled data. Such learning approaches are useful for many interesting real-world applications, but particularly shine for tasks involving the automatic organization, extraction, and retrieval of information from large collections of data (e.g., text, images, and other digital media). In traditional supervised learning, one uses ""labeled"" training data to induce a model. However, labeled instances for real-world applications are often difficult, expensive, or time consuming to obtain. Consider a complex task such as extracting key person and organization names from text documents. While gathering large amounts of unlabeled documents for these tasks is often relatively easy (e.g., from the World Wide Web), labeling these texts usually requires experienced human annotators with specific domain knowledge and training. There are implicit costs associated with obtaining these labels from domain experts, such as limited time and financial resources. This is especially true for applications that involve learning from instances with complex structures, which can require labels at varying levels of granularity. Active learning addresses this inherent bottleneck by allowing the learner to selectively choose which parts of the available data are labeled for training. The goal is to maximize the accuracy of the learner through such ""queries,"" while minimizing the work required of human annotators. In this thesis, I explore several important questions regarding active learning for these and similar tasks involving structured instances. What query strategies are available for these learning algorithms, and how do they compare? How might a learner pose queries at different levels of granularity, as with multiple-instance learning? Are there relationships between certain properties of a query and its difficulty for the annotator? If so, can these relationships be learned and exploited during active learning? The answers to the questions illustrate the utility and promise of active learning algorithms in complex real-world learning systems.",2008,157,52,5,False,Computer Science,,144557047,M. Craven,1717452.0,Burr Settles,,,,,,,,,,,,,,,,,,,,,,,
570948aca9ba058da1a42d7dc7101326092d8be1,https://www.semanticscholar.org/paper/570948aca9ba058da1a42d7dc7101326092d8be1,A learning interface agent for scheduling meetings,"This paper describes a Learning Interface Agent for a meeting scheduling application. The agent employs Machine Learning techniques to customize itself to the user’s personal scheduling rules and preferences by observing the user’s actions and receiving direct userfeedback. Our approach provides the user with sophisticated control over the gradual delegation of scheduling tasks to the agent, as a trust relationship is built. We report upon an experiment in which a collection of such assistants became gradually more helpful to their users through the use of memory-based and reinforcement learning. The experimental data reported upon demonstrate that the learning approach to building intelligent interface agents is a very promising one which has several advantages over more standard approaches.",1993,12,192,8,False,Computer Science,,2683445,Robyn Kozierok,1701876.0,P. Maes,,,,,,,,,,,,,,,,,,,,,,,
