paperId,url,title,abstract,year,referenceCount,citationCount,influentialCitationCount,isOpenAccess,fieldsOfStudy/0,authors/0/authorId,authors/0/name,authors/1/authorId,authors/1/name,authors/2/authorId,authors/2/name,authors/3/authorId,authors/3/name,fieldsOfStudy/1,fieldsOfStudy/2,authors/4/authorId,authors/4/name,authors/5/authorId,authors/5/name,authors/6/authorId,authors/6/name,authors/7/authorId,authors/7/name,authors/8/authorId,authors/8/name,authors/9/authorId,authors/9/name,authors/10/authorId,authors/10/name,authors/11/authorId,authors/11/name,fieldsOfStudy/3,authors/12/authorId,authors/12/name,authors/13/authorId,authors/13/name,authors/14/authorId,authors/14/name,authors/15/authorId,authors/15/name,authors/16/authorId,authors/16/name,authors/17/authorId,authors/17/name,authors/18/authorId,authors/18/name,authors/19/authorId,authors/19/name,authors/20/authorId,authors/20/name,authors/21/authorId,authors/21/name,authors/22/authorId,authors/22/name,authors/23/authorId,authors/23/name,authors/24/authorId,authors/24/name,authors/25/authorId,authors/25/name,authors/26/authorId,authors/26/name,authors/27/authorId,authors/27/name
abcb8026694d0fafce5d1cc8230ce49f42a7f5e3,https://www.semanticscholar.org/paper/abcb8026694d0fafce5d1cc8230ce49f42a7f5e3,Hybrid SVM/HMM architectures for speech recognition,"In this paper, we describe the use of a powerful machine learning scheme, Support Vector Machines (SVM), within the framework of hidden Markov model (HMM) based speech recognition. The hybrid SVM/HMM system has been developed based on our public domain toolkit. The hybrid system has been evaluated on the OGI Alphadigits corpus and performs at 11.6% WER, as compared to 12.7% with a triphone mixture-Gaussian HMM system, while using only a fifth of the training data used by triphone system. Several important issues that arise out of the nature of SVM classiﬁers have been addressed. We are in the process of migrating this technology to large vocabulary recognition tasks like SWITCHBOARD.",2000,14,151,11,False,Computer Science,1782807,A. Ganapathiraju,144170973.0,J. Hamaker,1744408.0,J. Picone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269be66378a4314445a781b1bf577c5d61b93b71,https://www.semanticscholar.org/paper/269be66378a4314445a781b1bf577c5d61b93b71,Imitation Learning,"Imitation learning techniques aim to mimic human behavior in a given task. An agent (a learning machine) is trained to perform a task from demonstrations by learning a mapping between observations and actions. The idea of teaching by imitation has been around for many years; however, the field is gaining attention recently due to advances in computing and sensing as well as rising demand for intelligent applications. The paradigm of learning by imitation is gaining popularity because it facilitates teaching complex tasks with minimal expert knowledge of the tasks. Generic imitation learning methods could potentially reduce the problem of teaching a task to that of providing demonstrations, without the need for explicit programming or designing reward functions specific to the task. Modern sensors are able to collect and transmit high volumes of data rapidly, and processors with high computational power allow fast processing that maps the sensory data to actions in a timely manner. This opens the door for many potential AI applications that require real-time perception and reaction such as humanoid robots, self-driving vehicles, human computer interaction, and computer games, to name a few. However, specialized algorithms are needed to effectively and robustly learn models as learning by imitation poses its own set of challenges. In this article, we survey imitation learning methods and present design options in different steps of the learning process. We introduce a background and motivation for the field as well as highlight challenges specific to the imitation problem. Methods for designing and evaluating imitation learning tasks are categorized and reviewed. Special attention is given to learning methods in robotics and games as these domains are the most popular in the literature and provide a wide array of problems and methodologies. We extensively discuss combining imitation learning approaches using different sources and methods, as well as incorporating other motion learning methods to enhance imitation. We also discuss the potential impact on industry, present major applications, and highlight current and future research directions.",2017,166,214,6,True,Computer Science,2061099244,A. Hussein,1698684.0,M. Gaber,1807106.0,Eyad Elyan,8683625.0,Chrisina Jayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03c1db0b27621c051da7780c2fa72e012c7a726e,https://www.semanticscholar.org/paper/03c1db0b27621c051da7780c2fa72e012c7a726e,Kohonen feature maps as a supervised learning machine,"Kohonen feature maps as a supervised learning machine are proposed and discussed. The proposed models adopt supervised learning without modifying the basic learning algorithm. They behave as a supervised learning machine, which can learn input-output functions in addition to the characteristics of the conventional Kohonen feature maps. In the pattern recognition problems, the proposed models can structure the recognition system more simply than the conventional method, i.e., structuring a pattern recognition machine using a supervised learning machine after pre-processing by the Kohonen feature map. The proposed models do not distinguish the input vectors from the desired vectors because they regard them as the same kind of vectors. Several examples are simulated in order to compare with the conventional supervised learning machines. The results indicate the effectiveness of the proposed models.<<ETX>>",1993,5,40,3,False,Computer Science,2085100318,H. Ichiki,145719769.0,M. Hagiwara,1747731.0,M. Nakagawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ef172109af9456839dec1eea19b150f2210b3846,https://www.semanticscholar.org/paper/ef172109af9456839dec1eea19b150f2210b3846,Darwin machines and the nature of knowledge,"Learn and survive. Behind this simple equation lies a revolution in the study of knowledge, which has left the halls of philosophy for the labs of science. This book offers a cogent account of what such a move does to our understanding of the nature of learning, rationality, and intelligence. Bringing together evolutionary biology, psychology, and philosophy, Henry Plotkin presents a new science of knowledge, one that traces an unbreakable link between instinct and our ability to know. Contrary to the modern liberal idea that knowledge is something derived from experience, this science shows us that what we know is what our nature allows us to know, what our instincts tell us we must know. Since our ability to know our world depends primarily on what we call intelligence, intelligence must be understood as an extension of instinct. Drawing on contemporary evolutionary theory, especially notions of hierarchical structure and universal Darwinism, Plotkin tells us that the capacity for knowledge, which is what makes us human, is deeply rooted in our biology and, in a special sense, is shared by all living things. This leads to a discussion of animal and human intelligence as well as an appraisal of what an instinct-based capacity for knowledge might mean to our understanding of language, reasoning, emotion, and culture. The result is nothing less than a three-dimensional theory of our nature, in which all knowledge is adaptation and all adaptation is a specific form of knowledge.",1994,0,252,18,False,Psychology,40429633,H. Plotkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
db5511e90b2f4d650067ebf934294617eff81eca,https://www.semanticscholar.org/paper/db5511e90b2f4d650067ebf934294617eff81eca,Locate the Hate: Detecting Tweets against Blacks,"Although the social medium Twitter grants users freedom of speech, its instantaneous nature and retweeting features also amplify hate speech. Because Twitter has a sizeable black constituency, racist tweets against blacks are especially detrimental in the Twitter community, though this effect may not be obvious against a backdrop of half a billion tweets a day.1 We apply a supervised machine learning approach, employing inexpensively acquired labeled data from diverse Twitter accounts to learn a binary classifier for the labels “racist” and “nonracist.” The classifier has a 76% average accuracy on individual tweets, suggesting that with further improvements, our work can contribute data on the sources of anti-black hate speech.",2013,5,341,27,True,Computer Science,116436971,Irene Kwok,2136948237.0,Yuzhou Wang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6fe84ae5a785391e1f8805eb261cc7cb1bf8a2fc,https://www.semanticscholar.org/paper/6fe84ae5a785391e1f8805eb261cc7cb1bf8a2fc,APPLYING MACHINE LEARNING ALGORITHMS IN SOFTWARE DEVELOPMENT,"Machine learning deals with the issue of how to build programs that improve their performance at some task through experience. Machine learning algorithms have proven to be of great practical value in a variety of application domains. They are particularly useful for (a) poorly understood problem domains where little knowledge exists for the humans to develop effective algorithms; (b) domains where there are large databases containing valuable implicit regularities to be discovered; or (c) domains where programs must adapt to changing conditions. Not surprisingly, the field of software engineering turns out to be a fertile ground where many software development tasks could be formulated as learning problems and approached in terms of learning algorithms. In this paper, we first take a look at the characteristics and applicability of some frequently utilized machine learning algorithms. We then provide formulations of some software development tasks using learning algorithms. Finally, a brief summary is given of the existing work.",2000,18,38,4,False,Computer Science,1711711,Du Zhang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60061de387ca4d85a674a844893ecb2d30a3459e,https://www.semanticscholar.org/paper/60061de387ca4d85a674a844893ecb2d30a3459e,Robust online Hamiltonian learning,"In this work we combine two distinct machine learning methodologies, sequential Monte Carlo and Bayesian experimental design, and apply them to the problem of inferring the dynamical parameters of a quantum system. We design the algorithm with practicality in mind by including parameters that control trade-offs between the requirements on computational and experimental resources. The algorithm can be implemented online (during experimental data collection), avoiding the need for storage and post-processing. Most importantly, our algorithm is capable of learning Hamiltonian parameters even when the parameters change from experiment-to-experiment, and also when additional noise processes are present and unknown. The algorithm also numerically estimates the Cramer–Rao lower bound, certifying its own performance.",2012,96,130,3,False,Physics,10720158,C. Granade,2625463.0,C. Ferrie,3253856.0,N. Wiebe,28786601.0,D. Cory,Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03bb3537ce1baf2d6872ce8299935ef11f43390e,https://www.semanticscholar.org/paper/03bb3537ce1baf2d6872ce8299935ef11f43390e,Efficient nonparametric n -body force fields from machine learning,"The authors present a scheme to construct classical $n$-body force fields using Gaussian Process (GP) Regression, appropriately mapped over explicit n-body functions (M-FFs). The procedure is possible, and will yield accurate forces, whenever prior knowledge allows to restrict the interactions to a finite order $n$, so that the ``universal approximator'' resolving power of standard GPs or Neural Networks is not needed. Under these conditions, the proposed construction preserves flexibility of training, systematically improvable accuracy, and a clear framework for validation of the underlying machine learning technique. Moreover, the M-FFs are as fast as classical parametrized potentials, since they avoid lengthy summations over database entries or weight parameters.",2018,86,83,0,True,Computer Science,17859109,Aldo Glielmo,50978878.0,C. Zeni,145362749.0,A. D. Vita,,,Physics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2a8e26f7ad35b0a322936f648608aab3b6c1f44d,https://www.semanticscholar.org/paper/2a8e26f7ad35b0a322936f648608aab3b6c1f44d,Sparse and unique nonnegative matrix factorization through data preprocessing,"Nonnegative matrix factorization (NMF) has become a very popular technique in machine learning because it automatically extracts meaningful features through a sparse and part-based representation. However, NMF has the drawback of being highly ill-posed, that is, there typically exist many different but equivalent factorizations. In this paper, we introduce a completely new way to obtaining more well-posed NMF problems whose solutions are sparser. Our technique is based on the preprocessing of the nonnegative input data matrix, and relies on the theory of M-matrices and the geometric interpretation of NMF. This approach provably leads to optimal and sparse solutions under the separability assumption of Donoho and Stodden (2003), and, for rank-three matrices, makes the number of exact factorizations finite. We illustrate the effectiveness of our technique on several image data sets.",2012,48,140,7,False,Computer Science,2039115,Nicolas Gillis,,,,,,,Mathematics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22c6c6deac6141de63f9f6d2729a944a1e4a90a6,https://www.semanticscholar.org/paper/22c6c6deac6141de63f9f6d2729a944a1e4a90a6,Training SVM with indefinite kernels,"Similarity matrices generated from many applications may not be positive semidefinite, and hence can't fit into the kernel machine framework. In this paper, we study the problem of training support vector machines with an indefinite kernel. We consider a regularized SVM formulation, in which the indefinite kernel matrix is treated as a noisy observation of some unknown positive semidefinite one (proxy kernel) and the support vectors and the proxy kernel can be computed simultaneously. We propose a semi-infinite quadratically constrained linear program formulation for the optimization, which can be solved iteratively to find a global optimum solution. We further propose to employ an additional pruning strategy, which significantly improves the efficiency of the algorithm, while retaining the convergence property of the algorithm. In addition, we show the close relationship between the proposed formulation and multiple kernel learning. Experiments on a collection of benchmark data sets demonstrate the efficiency and effectiveness of the proposed algorithm.",2008,30,73,10,False,Mathematics,2108513551,Jianhui Chen,144030870.0,Jieping Ye,,,,,Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
